method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,425.3644314868805
vpd_simhash,0.0,1.0,1483.6572438162543
vpd_simhash,0.0,2.0,2263.265306122449
vpd_simhash,0.0,3.0,3125.8389261744965
vpd_simhash,0.0,4.0,3536.466165413534
vpd_simhash,0.0,5.0,3564.259259259259
vpd_simhash,0.0,6.0,3977.6
vpd_simhash,0.0,7.0,4014.68253968254
vpd_simhash,0.0,8.0,3950.595238095238
vpd_simhash,0.0,9.0,5065.625
vpd_simhash,0.0,10.0,5062.864077669903
vpd_simhash,0.0,11.0,5931.868131868132
vpd_simhash,0.0,12.0,5693.684210526316
vpd_simhash,0.0,13.0,6266.011235955056
vpd_simhash,0.0,14.0,6578.735632183908
vpd_simhash,0.0,15.0,6985.365853658536
vpd_simhash,0.0,16.0,8761.194029850747
vpd_simhash,0.0,17.0,8550.0
vpd_simhash,0.0,18.0,8032.291666666667
vpd_simhash,0.0,19.0,8378.767123287671
vpd_simhash,0.0,20.0,10629.166666666666
vpd_simhash,0.0,21.0,10413.983050847455
vpd_simhash,0.0,22.0,10638.362068965518
vpd_simhash,0.0,23.0,13693.478260869566
vpd_simhash,0.0,24.0,10982.894736842103
vpd_simhash,0.0,25.0,10317.063492063491
vpd_simhash,0.0,26.0,10756.666666666666
vpd_simhash,0.0,27.0,10801.25
vpd_simhash,0.0,28.0,11837.727272727272
vpd_simhash,0.0,29.0,10917.796610169493
vpd_simhash,0.0,30.0,12315.74074074074
vpd_simhash,0.0,31.0,11693.859649122807
vpd_simhash,0.0,32.0,13980.729166666666
vpd_simhash,0.0,33.0,12882.692307692309
vpd_simhash,0.0,34.0,12985.576923076924
vpd_simhash,0.0,35.0,12197.272727272728
vpd_simhash,0.0,36.0,13839.795918367348
vpd_simhash,0.0,37.0,13718.5
vpd_simhash,0.0,38.0,12100.44642857143
vpd_simhash,0.0,39.0,10965.416666666666
vpd_simhash,0.0,40.0,13074.51923076923
vpd_simhash,0.0,41.0,13300.490196078432
vpd_simhash,0.0,42.0,11257.5
vpd_simhash,0.0,43.0,12596.75925925926
vpd_simhash,0.0,44.0,12648.148148148148
vpd_simhash,0.0,45.0,15776.704545454546
vpd_simhash,0.0,46.0,15007.777777777776
vpd_simhash,0.0,47.0,14671.875
vpd_simhash,0.0,48.0,13952.551020408164
vpd_simhash,0.0,49.0,14083.5
