method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,427.9207920792079
vpd_simhash,0.0,1.0,786.32
vpd_simhash,0.0,2.0,860.763358778626
vpd_simhash,0.0,3.0,923.131868131868
vpd_simhash,0.0,4.0,963.6119402985074
vpd_simhash,0.0,5.0,974.4767441860464
vpd_simhash,0.0,6.0,1129.6048632218844
vpd_simhash,0.0,7.0,1158.85993485342
vpd_simhash,0.0,8.0,1381.4046822742475
vpd_simhash,0.0,9.0,1432.171052631579
vpd_simhash,0.0,10.0,1385.0666666666666
vpd_simhash,0.0,11.0,1604.3356643356644
vpd_simhash,0.0,12.0,1783.6996336996338
vpd_simhash,0.0,13.0,1672.4642857142858
vpd_simhash,0.0,14.0,1650.1779359430604
vpd_simhash,0.0,15.0,1591.3684210526317
vpd_simhash,0.0,16.0,1655.9856630824372
vpd_simhash,0.0,17.0,1662.3655913978494
vpd_simhash,0.0,18.0,1646.6300366300366
vpd_simhash,0.0,19.0,1842.030651340996
vpd_simhash,0.0,20.0,2093.1640625
vpd_simhash,0.0,21.0,1923.8461538461536
vpd_simhash,0.0,22.0,2018.1960784313728
vpd_simhash,0.0,23.0,2135.5737704918038
vpd_simhash,0.0,24.0,2052.85140562249
vpd_simhash,0.0,25.0,2183.377192982456
vpd_simhash,0.0,26.0,2203.886462882096
vpd_simhash,0.0,27.0,2374.343891402715
vpd_simhash,0.0,28.0,2357.818181818182
vpd_simhash,0.0,29.0,2481.042654028436
vpd_simhash,0.0,30.0,2334.292237442922
vpd_simhash,0.0,31.0,2340.4147465437786
vpd_simhash,0.0,32.0,2358.388625592417
vpd_simhash,0.0,33.0,2146.157205240175
vpd_simhash,0.0,34.0,2297.285067873303
vpd_simhash,0.0,35.0,2141.453744493392
vpd_simhash,0.0,36.0,2079.3939393939395
vpd_simhash,0.0,37.0,2077.725321888412
vpd_simhash,0.0,38.0,2044.051724137931
vpd_simhash,0.0,39.0,1913.9591836734692
vpd_simhash,0.0,40.0,2030.5531914893616
vpd_simhash,0.0,41.0,1756.590909090909
vpd_simhash,0.0,42.0,1908.9156626506024
vpd_simhash,0.0,43.0,2057.4248927038625
vpd_simhash,0.0,44.0,2132.8444444444444
vpd_simhash,0.0,45.0,2200.454545454545
vpd_simhash,0.0,46.0,2241.146788990826
vpd_simhash,0.0,47.0,2231.743119266055
vpd_simhash,0.0,48.0,2290.412844036697
vpd_simhash,0.0,49.0,2054.420600858369
vpd_simhash,0.0,50.0,2196.41592920354
vpd_simhash,0.0,51.0,2330.8571428571427
vpd_simhash,0.0,52.0,2290.841121495327
