method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,48.55833333333333
vpd_simhash,0.0,1.0,100.3489010989011
vpd_simhash,0.0,2.0,112.05723905723906
vpd_simhash,0.0,3.0,131.82462686567163
vpd_simhash,0.0,4.0,195.70642201834863
vpd_simhash,0.0,5.0,181.03255813953487
vpd_simhash,0.0,6.0,257.96
vpd_simhash,0.0,7.0,235.64545454545456
vpd_simhash,0.0,8.0,288.0975609756098
vpd_simhash,0.0,9.0,330.7549019607843
vpd_simhash,0.0,10.0,422.9653179190751
vpd_simhash,0.0,11.0,513.6666666666666
vpd_simhash,0.0,12.0,524.0574712643678
vpd_simhash,0.0,13.0,452.6613756613757
vpd_simhash,0.0,14.0,480.57865168539325
vpd_simhash,0.0,15.0,507.0
vpd_simhash,0.0,16.0,537.9112426035502
vpd_simhash,0.0,17.0,543.6783625730994
vpd_simhash,0.0,18.0,580.88125
vpd_simhash,0.0,19.0,589.0
vpd_simhash,0.0,20.0,627.42
vpd_simhash,0.0,21.0,641.7852348993289
vpd_simhash,0.0,22.0,687.6875
vpd_simhash,0.0,23.0,664.3933333333333
vpd_simhash,0.0,24.0,725.2986111111111
vpd_simhash,0.0,25.0,755.2323943661971
vpd_simhash,0.0,26.0,767.6159420289855
vpd_simhash,0.0,27.0,789.8455882352941
vpd_simhash,0.0,28.0,830.6992481203008
vpd_simhash,0.0,29.0,797.7608695652174
vpd_simhash,0.0,30.0,902.1307692307691
vpd_simhash,0.0,31.0,953.2537313432836
vpd_simhash,0.0,32.0,1002.560606060606
vpd_simhash,0.0,33.0,1064.8629032258063
vpd_simhash,0.0,34.0,1075.491935483871
vpd_simhash,0.0,35.0,1028.0901639344263
vpd_simhash,0.0,36.0,1077.218487394958
vpd_simhash,0.0,37.0,1066.179487179487
vpd_simhash,0.0,38.0,1144.5042735042734
vpd_simhash,0.0,39.0,654.0714285714286
vpd_simhash,0.0,40.0,938.6793893129772
vpd_simhash,0.0,41.0,888.9076923076923
vpd_simhash,0.0,42.0,685.5616438356165
vpd_simhash,0.0,43.0,742.0492957746479
vpd_simhash,0.0,44.0,629.5637583892617
vpd_simhash,0.0,45.0,674.3263888888889
vpd_simhash,0.0,46.0,817.5827338129496
vpd_simhash,0.0,47.0,920.1297709923664
vpd_simhash,0.0,48.0,975.5625
vpd_simhash,0.0,49.0,958.5038759689922
vpd_simhash,0.0,50.0,946.4296875
vpd_simhash,0.0,51.0,1041.2131147540983
vpd_simhash,0.0,52.0,1125.1196581196582
vpd_simhash,0.0,53.0,1077.892857142857
vpd_simhash,0.0,54.0,1093.957627118644
vpd_simhash,0.0,55.0,1218.8818181818183
vpd_simhash,0.0,56.0,1126.9915966386554
vpd_simhash,0.0,57.0,1235.6
vpd_simhash,0.0,58.0,1196.8706896551723
vpd_simhash,0.0,59.0,1174.25
vpd_simhash,0.0,60.0,1217.036036036036
vpd_simhash,0.0,61.0,1277.2727272727273
vpd_simhash,0.0,62.0,1221.107142857143
vpd_simhash,0.0,63.0,1311.1359223300972
vpd_simhash,0.0,64.0,1396.1855670103091
vpd_simhash,0.0,65.0,1289.2061855670104
vpd_simhash,0.0,66.0,1369.977777777778
vpd_simhash,0.0,67.0,1431.5393258426966
vpd_simhash,0.0,68.0,1323.1649484536083
vpd_simhash,0.0,69.0,1443.428571428571
vpd_simhash,0.0,70.0,1549.5172413793102
vpd_simhash,0.0,71.0,1626.421686746988
vpd_simhash,0.0,72.0,1631.8072289156626
vpd_simhash,0.0,73.0,1668.5061728395062
vpd_simhash,0.0,74.0,1559.3333333333333
vpd_simhash,0.0,75.0,1595.164705882353
vpd_simhash,0.0,76.0,1508.909090909091
vpd_simhash,0.0,77.0,1623.1084337349398
vpd_simhash,0.0,78.0,1602.6470588235295
vpd_simhash,0.0,79.0,1638.1566265060242
vpd_simhash,0.0,80.0,1533.9318181818182
vpd_simhash,0.0,81.0,1544.5813953488373
vpd_simhash,0.0,82.0,1484.4673913043478
vpd_simhash,0.0,83.0,1548.0674157303372
vpd_simhash,0.0,84.0,1601.0689655172414
vpd_simhash,0.0,85.0,1582.590909090909
vpd_simhash,0.0,86.0,1630.9186046511627
vpd_simhash,0.0,87.0,1630.4942528735633
vpd_simhash,0.0,88.0,1709.297619047619
vpd_simhash,0.0,89.0,1587.9450549450548
vpd_simhash,0.0,90.0,1640.9886363636365
vpd_simhash,0.0,91.0,1710.0804597701149
vpd_simhash,0.0,92.0,1855.780487804878
vpd_simhash,0.0,93.0,1690.9310344827586
vpd_simhash,0.0,94.0,1735.529411764706
vpd_simhash,0.0,95.0,1674.83908045977
vpd_simhash,0.0,96.0,1641.8522727272727
vpd_simhash,0.0,97.0,1730.3023255813953
vpd_simhash,0.0,98.0,1772.2857142857142
vpd_simhash,0.0,99.0,1814.987951807229
vpd_simhash,1.0,0.0,30.00225225225225
vpd_simhash,1.0,1.0,82.6510067114094
vpd_simhash,1.0,2.0,116.39208633093526
vpd_simhash,1.0,3.0,149.140625
vpd_simhash,1.0,4.0,169.68333333333334
vpd_simhash,1.0,5.0,188.43362831858408
vpd_simhash,1.0,6.0,232.5757575757576
vpd_simhash,1.0,7.0,266.2241379310345
vpd_simhash,1.0,8.0,281.3377777777778
vpd_simhash,1.0,9.0,311.7155963302752
vpd_simhash,1.0,10.0,335.6048780487805
vpd_simhash,1.0,11.0,354.6212121212121
vpd_simhash,1.0,12.0,391.70680628272254
vpd_simhash,1.0,13.0,400.9840425531915
vpd_simhash,1.0,14.0,421.227027027027
vpd_simhash,1.0,15.0,472.9402173913044
vpd_simhash,1.0,16.0,553.7865168539325
vpd_simhash,1.0,17.0,593.6647058823529
vpd_simhash,1.0,18.0,633.8782051282051
vpd_simhash,1.0,19.0,670.2903225806451
vpd_simhash,1.0,20.0,725.1883116883117
vpd_simhash,1.0,21.0,737.6967741935484
vpd_simhash,1.0,22.0,819.7152777777778
vpd_simhash,1.0,23.0,793.8333333333334
vpd_simhash,1.0,24.0,853.3793103448276
vpd_simhash,1.0,25.0,878.2671232876712
vpd_simhash,1.0,26.0,849.8724832214765
vpd_simhash,1.0,27.0,845.6711409395973
vpd_simhash,1.0,28.0,877.7785234899329
vpd_simhash,1.0,29.0,935.7310344827588
vpd_simhash,1.0,30.0,962.6388888888888
vpd_simhash,1.0,31.0,1047.3188405797102
vpd_simhash,1.0,32.0,1078.7348484848485
vpd_simhash,1.0,33.0,1142.2213740458014
vpd_simhash,1.0,34.0,1139.3233082706768
vpd_simhash,1.0,35.0,1219.6640625
vpd_simhash,1.0,36.0,1246.9772727272727
vpd_simhash,1.0,37.0,1324.4318181818182
vpd_simhash,1.0,38.0,1408.2790697674418
vpd_simhash,1.0,39.0,1426.9007633587787
vpd_simhash,1.0,40.0,1377.0827067669172
vpd_simhash,1.0,41.0,1457.7575757575758
vpd_simhash,1.0,42.0,1390.904411764706
vpd_simhash,1.0,43.0,1560.9692307692308
vpd_simhash,1.0,44.0,1559.65625
vpd_simhash,1.0,45.0,1615.912
vpd_simhash,1.0,46.0,1613.7622950819673
vpd_simhash,1.0,47.0,1595.496
vpd_simhash,1.0,48.0,1601.1138211382113
vpd_simhash,1.0,49.0,1505.5555555555557
vpd_simhash,1.0,50.0,1514.640625
vpd_simhash,1.0,51.0,1550.8
vpd_simhash,1.0,52.0,1567.9173553719008
vpd_simhash,1.0,53.0,1593.1016949152545
vpd_simhash,1.0,54.0,1564.327731092437
vpd_simhash,1.0,55.0,1640.984
vpd_simhash,1.0,56.0,1610.2936507936508
vpd_simhash,1.0,57.0,1669.0695652173913
vpd_simhash,1.0,58.0,1772.4150943396226
vpd_simhash,1.0,59.0,1683.0
vpd_simhash,1.0,60.0,1819.5656565656568
vpd_simhash,1.0,61.0,1802.204081632653
vpd_simhash,1.0,62.0,1678.1960784313726
vpd_simhash,1.0,63.0,1743.040404040404
vpd_simhash,1.0,64.0,1767.020202020202
vpd_simhash,1.0,65.0,1847.1237113402065
vpd_simhash,1.0,66.0,1758.8019801980197
vpd_simhash,1.0,67.0,1772.4653465346537
vpd_simhash,1.0,68.0,1798.11
vpd_simhash,1.0,69.0,1889.3020833333333
vpd_simhash,1.0,70.0,1963.0
vpd_simhash,1.0,71.0,1800.4183673469388
vpd_simhash,1.0,72.0,1767.3960396039604
vpd_simhash,1.0,73.0,1828.8947368421047
vpd_simhash,1.0,74.0,1815.125
vpd_simhash,1.0,75.0,1792.494845360825
vpd_simhash,1.0,76.0,1858.2395833333333
vpd_simhash,1.0,77.0,1966.763440860215
vpd_simhash,1.0,78.0,1788.03
vpd_simhash,1.0,79.0,1944.1808510638296
vpd_simhash,1.0,80.0,1829.3505154639172
vpd_simhash,1.0,81.0,2050.428571428572
vpd_simhash,1.0,82.0,2120.681818181818
vpd_simhash,1.0,83.0,2071.0666666666666
vpd_simhash,1.0,84.0,1919.893617021277
vpd_simhash,1.0,85.0,2229.694117647058
vpd_simhash,1.0,86.0,2185.151162790697
vpd_simhash,1.0,87.0,2142.764705882353
vpd_simhash,1.0,88.0,2134.3529411764707
vpd_simhash,1.0,89.0,1891.1612903225807
vpd_simhash,1.0,90.0,2091.093023255814
vpd_simhash,1.0,91.0,2080.3488372093025
vpd_simhash,1.0,92.0,2163.6666666666665
vpd_simhash,1.0,93.0,2107.8705882352942
vpd_simhash,1.0,94.0,2230.0731707317077
vpd_simhash,1.0,95.0,2306.6
vpd_simhash,1.0,96.0,2109.0697674418607
vpd_simhash,1.0,97.0,2282.253164556962
vpd_simhash,1.0,98.0,2203.012195121951
vpd_simhash,1.0,99.0,2335.7179487179487
vpd_simhash,2.0,0.0,30.2983682983683
vpd_simhash,2.0,1.0,84.68265682656826
vpd_simhash,2.0,2.0,96.56645569620254
vpd_simhash,2.0,3.0,129.64802631578948
vpd_simhash,2.0,4.0,147.95255474452554
vpd_simhash,2.0,5.0,155.61851851851853
vpd_simhash,2.0,6.0,201.38333333333333
vpd_simhash,2.0,7.0,252.37
vpd_simhash,2.0,8.0,253.42211055276383
vpd_simhash,2.0,9.0,305.90909090909093
vpd_simhash,2.0,10.0,243.2961165048544
vpd_simhash,2.0,11.0,287.6224489795918
vpd_simhash,2.0,12.0,322.85795454545456
vpd_simhash,2.0,13.0,376.7011494252874
vpd_simhash,2.0,14.0,417.0340909090909
vpd_simhash,2.0,15.0,460.8421052631579
vpd_simhash,2.0,16.0,487.01807228915663
vpd_simhash,2.0,17.0,565.1103896103896
vpd_simhash,2.0,18.0,587.1266666666667
vpd_simhash,2.0,19.0,598.3202614379085
vpd_simhash,2.0,20.0,600.6948051948052
vpd_simhash,2.0,21.0,678.261744966443
vpd_simhash,2.0,22.0,732.4788732394367
vpd_simhash,2.0,23.0,912.6814814814816
vpd_simhash,2.0,24.0,1002.290076335878
vpd_simhash,2.0,25.0,1042.3307692307692
vpd_simhash,2.0,26.0,756.7651006711409
vpd_simhash,2.0,27.0,688.1266666666667
vpd_simhash,2.0,28.0,780.972972972973
vpd_simhash,2.0,29.0,798.6689655172414
vpd_simhash,2.0,30.0,868.8529411764706
vpd_simhash,2.0,31.0,871.3970588235294
vpd_simhash,2.0,32.0,850.3285714285714
vpd_simhash,2.0,33.0,867.65
vpd_simhash,2.0,34.0,897.1785714285714
vpd_simhash,2.0,35.0,962.5151515151516
vpd_simhash,2.0,36.0,984.8863636363636
vpd_simhash,2.0,37.0,1005.9609375
vpd_simhash,2.0,38.0,1062.456
vpd_simhash,2.0,39.0,1065.5590551181103
vpd_simhash,2.0,40.0,1110.172131147541
vpd_simhash,2.0,41.0,1095.1583333333333
vpd_simhash,2.0,42.0,1085.7540983606557
vpd_simhash,2.0,43.0,1127.2393162393162
vpd_simhash,2.0,44.0,1053.52
vpd_simhash,2.0,45.0,1120.542372881356
vpd_simhash,2.0,46.0,1096.9274193548388
vpd_simhash,2.0,47.0,1078.7642276422764
vpd_simhash,2.0,48.0,1089.4754098360656
vpd_simhash,2.0,49.0,1109.822033898305
vpd_simhash,2.0,50.0,1131.344827586207
vpd_simhash,2.0,51.0,1082.1680672268908
vpd_simhash,2.0,52.0,1171.422018348624
vpd_simhash,2.0,53.0,1162.6090909090908
vpd_simhash,2.0,54.0,1305.4639175257732
vpd_simhash,2.0,55.0,1221.990099009901
vpd_simhash,2.0,56.0,1342.3297872340424
vpd_simhash,2.0,57.0,1310.21875
vpd_simhash,2.0,58.0,1320.4
vpd_simhash,2.0,59.0,1288.65625
vpd_simhash,2.0,60.0,1215.0102040816328
vpd_simhash,2.0,61.0,1303.1914893617022
vpd_simhash,2.0,62.0,1330.5894736842106
vpd_simhash,2.0,63.0,1311.0208333333333
vpd_simhash,2.0,64.0,1260.637254901961
vpd_simhash,2.0,65.0,1327.959595959596
vpd_simhash,2.0,66.0,1505.8620689655172
vpd_simhash,2.0,67.0,1493.2674418604652
