method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,374.52407614781634
vpd_simhash,0.0,1.0,649.7097242380261
vpd_simhash,0.0,2.0,1001.2891344383056
vpd_simhash,0.0,3.0,1439.8325358851675
vpd_simhash,0.0,4.0,1855.65749235474
vpd_simhash,0.0,5.0,2248.257839721254
vpd_simhash,0.0,6.0,2483.333333333333
vpd_simhash,0.0,7.0,2530.1418439716317
vpd_simhash,0.0,8.0,2785.110294117647
vpd_simhash,0.0,9.0,3057.3863636363635
vpd_simhash,0.0,10.0,3361.0
vpd_simhash,0.0,11.0,3552.191235059761
vpd_simhash,0.0,12.0,3712.5506072874496
vpd_simhash,0.0,13.0,3547.843137254902
vpd_simhash,0.0,14.0,3992.857142857143
vpd_simhash,0.0,15.0,4104.430379746836
vpd_simhash,0.0,16.0,4336.899563318777
vpd_simhash,0.0,17.0,4403.508771929824
vpd_simhash,0.0,18.0,4418.942731277533
vpd_simhash,0.0,19.0,4455.605381165919
vpd_simhash,0.0,20.0,4559.459459459459
vpd_simhash,0.0,21.0,4720.601851851852
vpd_simhash,0.0,22.0,4821.361502347418
vpd_simhash,0.0,23.0,4497.222222222223
vpd_simhash,0.0,24.0,4664.285714285715
vpd_simhash,0.0,25.0,4815.094339622641
vpd_simhash,0.0,26.0,5185.074626865671
vpd_simhash,0.0,27.0,5345.75
vpd_simhash,0.0,28.0,5063.221153846154
vpd_simhash,0.0,29.0,5531.025641025641
vpd_simhash,0.0,30.0,5387.373737373738
vpd_simhash,0.0,31.0,5358.333333333333
vpd_simhash,0.0,32.0,5246.078431372549
vpd_simhash,0.0,33.0,5468.622448979592
vpd_simhash,0.0,34.0,5334.595959595959
vpd_simhash,0.0,35.0,5451.025641025641
vpd_simhash,0.0,36.0,5511.224489795918
vpd_simhash,0.0,37.0,5699.473684210527
vpd_simhash,0.0,38.0,5674.338624338624
vpd_simhash,0.0,39.0,5997.2972972972975
vpd_simhash,0.0,40.0,5703.926701570681
vpd_simhash,0.0,41.0,5885.752688172043
vpd_simhash,0.0,42.0,5479.48717948718
