method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,548.0593607305937
vpd_simhash,0.0,1.0,454.5031712473573
vpd_simhash,0.0,2.0,533.2983193277311
vpd_simhash,0.0,3.0,572.4561403508771
vpd_simhash,0.0,4.0,625.2981651376147
vpd_simhash,0.0,5.0,662.3225806451613
vpd_simhash,0.0,6.0,726.890243902439
vpd_simhash,0.0,7.0,750.020618556701
vpd_simhash,0.0,8.0,809.8117154811715
vpd_simhash,0.0,9.0,813.0722891566265
vpd_simhash,0.0,10.0,910.7709750566894
vpd_simhash,0.0,11.0,964.1567695961996
vpd_simhash,0.0,12.0,985.083932853717
vpd_simhash,0.0,13.0,1051.0411622276029
vpd_simhash,0.0,14.0,1076.8797953964197
vpd_simhash,0.0,15.0,1082.965879265092
vpd_simhash,0.0,16.0,1120.0268096514744
vpd_simhash,0.0,17.0,1141.9607843137255
vpd_simhash,0.0,18.0,1130.8757062146892
vpd_simhash,0.0,19.0,1160.3072625698323
vpd_simhash,0.0,20.0,1185.3153153153153
vpd_simhash,0.0,21.0,1207.0031545741324
vpd_simhash,0.0,22.0,1209.4411764705883
vpd_simhash,0.0,23.0,1227.830188679245
vpd_simhash,0.0,24.0,1199.3393393393394
vpd_simhash,0.0,25.0,1219.6078431372548
vpd_simhash,0.0,26.0,1196.09375
vpd_simhash,0.0,27.0,1239.155844155844
vpd_simhash,0.0,28.0,1194.0836012861737
vpd_simhash,0.0,29.0,1189.6166134185305
vpd_simhash,0.0,30.0,1207.4013157894738
vpd_simhash,0.0,31.0,1241.0402684563758
vpd_simhash,0.0,32.0,1248.1494661921708
vpd_simhash,0.0,33.0,1234.7163120567377
vpd_simhash,0.0,34.0,1198.40830449827
vpd_simhash,0.0,35.0,1173.3550488599349
vpd_simhash,0.0,36.0,1228.6505190311418
vpd_simhash,0.0,37.0,1232.1180555555557
vpd_simhash,0.0,38.0,1224.4244604316548
vpd_simhash,0.0,39.0,1176.849315068493
vpd_simhash,0.0,40.0,1253.7894736842106
vpd_simhash,0.0,41.0,1159.6969696969695
vpd_simhash,0.0,42.0,1189.0972222222222
vpd_simhash,0.0,43.0,1149.581881533101
vpd_simhash,0.0,44.0,1183.2727272727273
vpd_simhash,0.0,45.0,1115.2881355932204
vpd_simhash,0.0,46.0,1133.8327526132405
vpd_simhash,0.0,47.0,1132.9818181818182
vpd_simhash,0.0,48.0,1123.1407942238268
vpd_simhash,0.0,49.0,1105.4092526690392
vpd_simhash,0.0,50.0,1118.642857142857
vpd_simhash,0.0,51.0,1109.5729537366549
vpd_simhash,0.0,52.0,1110.6083650190114
vpd_simhash,0.0,53.0,1133.5272727272727
vpd_simhash,0.0,54.0,1105.8333333333333
vpd_simhash,0.0,55.0,1054.950819672131
vpd_simhash,0.0,56.0,1122.2695035460993
vpd_simhash,0.0,57.0,1095.3264604810995
vpd_simhash,0.0,58.0,1045.7275541795666
vpd_simhash,0.0,59.0,1090.5460750853242
vpd_simhash,0.0,60.0,1113.448275862069
vpd_simhash,0.0,61.0,1114.3521594684385
vpd_simhash,0.0,62.0,1077.3825503355704
vpd_simhash,0.0,63.0,1099.5114006514657
vpd_simhash,0.0,64.0,1084.688524590164
vpd_simhash,0.0,65.0,1055.678233438486
vpd_simhash,0.0,66.0,1093.1
vpd_simhash,0.0,67.0,1085.4208754208755
vpd_simhash,0.0,68.0,1122.1799307958477
vpd_simhash,0.0,69.0,1102.7760252365931
vpd_simhash,0.0,70.0,1139.0967741935483
vpd_simhash,0.0,71.0,1108.1666666666667
vpd_simhash,0.0,72.0,1067.524115755627
vpd_simhash,0.0,73.0,1074.1554054054054
vpd_simhash,0.0,74.0,1078.476821192053
vpd_simhash,0.0,75.0,1071.2455516014236
vpd_simhash,0.0,76.0,1079.795918367347
vpd_simhash,0.0,77.0,1078.0565371024734
vpd_simhash,0.0,78.0,1077.1571906354516
vpd_simhash,0.0,79.0,1067.7112676056338
vpd_simhash,0.0,80.0,1063.0976430976432
vpd_simhash,0.0,81.0,1100.7931034482758
vpd_simhash,0.0,82.0,1070.5704697986578
vpd_simhash,0.0,83.0,1111.5845070422536
vpd_simhash,0.0,84.0,1092.1254355400697
vpd_simhash,0.0,85.0,1073.7362637362637
vpd_simhash,0.0,86.0,1057.157894736842
vpd_simhash,0.0,87.0,1086.9072164948454
vpd_simhash,0.0,88.0,1072.0333333333333
vpd_simhash,0.0,89.0,1100.2013422818793
vpd_simhash,0.0,90.0,1115.953177257525
vpd_simhash,0.0,91.0,1083.774193548387
vpd_simhash,0.0,92.0,1064.8051948051948
vpd_simhash,0.0,93.0,1058.2432432432431
vpd_simhash,0.0,94.0,1112.4595469255664
vpd_simhash,0.0,95.0,1114.0549828178694
vpd_simhash,0.0,96.0,1073.8762214983713
vpd_simhash,0.0,97.0,1044.748427672956
vpd_simhash,0.0,98.0,1090.801282051282
vpd_simhash,0.0,99.0,1160.6397306397307
vpd_simhash,1.0,0.0,497.84722222222223
vpd_simhash,1.0,1.0,446.9017094017094
vpd_simhash,1.0,2.0,554.4888888888889
vpd_simhash,1.0,3.0,635.8165548098434
vpd_simhash,1.0,4.0,713.0573248407643
vpd_simhash,1.0,5.0,756.6594360086768
vpd_simhash,1.0,6.0,774.2795698924731
vpd_simhash,1.0,7.0,852.5462962962963
vpd_simhash,1.0,8.0,905.2459016393444
vpd_simhash,1.0,9.0,948.5507246376812
vpd_simhash,1.0,10.0,1031.9893899204244
vpd_simhash,1.0,11.0,1037.3924731182797
vpd_simhash,1.0,12.0,1108.6103542234332
vpd_simhash,1.0,13.0,1167.2672672672672
vpd_simhash,1.0,14.0,1188.7020648967552
vpd_simhash,1.0,15.0,1252.6993865030674
vpd_simhash,1.0,16.0,1261.9444444444443
vpd_simhash,1.0,17.0,1220.5521472392638
vpd_simhash,1.0,18.0,1268.9556962025315
vpd_simhash,1.0,19.0,1252.05047318612
vpd_simhash,1.0,20.0,1335.9931506849316
vpd_simhash,1.0,21.0,1282.560553633218
vpd_simhash,1.0,22.0,1283.8851351351352
vpd_simhash,1.0,23.0,1260.2970297029703
vpd_simhash,1.0,24.0,1272.9251700680272
vpd_simhash,1.0,25.0,1248.3881578947369
vpd_simhash,1.0,26.0,1310.0996677740864
vpd_simhash,1.0,27.0,1260.0671140939598
vpd_simhash,1.0,28.0,1264.0764331210191
vpd_simhash,1.0,29.0,1263.1746031746031
vpd_simhash,1.0,30.0,1260.0993377483444
vpd_simhash,1.0,31.0,1270.915254237288
vpd_simhash,1.0,32.0,1265.1515151515152
vpd_simhash,1.0,33.0,1227.2473867595818
vpd_simhash,1.0,34.0,1200.3194888178914
vpd_simhash,1.0,35.0,1247.959866220736
vpd_simhash,1.0,36.0,1233.1391585760518
vpd_simhash,1.0,37.0,1250.0662251655629
vpd_simhash,1.0,38.0,1250.9698996655518
vpd_simhash,1.0,39.0,1271.4137931034484
vpd_simhash,1.0,40.0,1226.5359477124182
vpd_simhash,1.0,41.0,1207.844522968198
vpd_simhash,1.0,42.0,1249.3602693602693
vpd_simhash,1.0,43.0,1223.939393939394
vpd_simhash,1.0,44.0,1223.8926174496644
vpd_simhash,1.0,45.0,1221.2244897959183
vpd_simhash,1.0,46.0,1224.3402777777778
vpd_simhash,1.0,47.0,1230.7903780068727
vpd_simhash,1.0,48.0,1238.72852233677
vpd_simhash,1.0,49.0,1172.8618421052631
vpd_simhash,1.0,50.0,1223.455149501661
vpd_simhash,1.0,51.0,1238.456375838926
vpd_simhash,1.0,52.0,1174.258064516129
vpd_simhash,1.0,53.0,1198.295081967213
vpd_simhash,1.0,54.0,1221.4527027027027
vpd_simhash,1.0,55.0,1208.5897435897436
vpd_simhash,1.0,56.0,1179.6013289036546
vpd_simhash,1.0,57.0,1204.950495049505
vpd_simhash,1.0,58.0,1169.9388379204893
vpd_simhash,1.0,59.0,1202.168284789644
vpd_simhash,1.0,60.0,1176.9113149847094
vpd_simhash,1.0,61.0,1189.4551282051282
vpd_simhash,1.0,62.0,1171.8910256410256
vpd_simhash,1.0,63.0,1144.7318611987382
vpd_simhash,1.0,64.0,1180.9771986970684
vpd_simhash,1.0,65.0,1169.240506329114
vpd_simhash,1.0,66.0,1187.375415282392
vpd_simhash,1.0,67.0,1108.9710610932475
vpd_simhash,1.0,68.0,1087.051671732523
vpd_simhash,1.0,69.0,1130.6168831168832
vpd_simhash,1.0,70.0,1160.4166666666667
