method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,4585.263157894737
vpd_simhash,0.0,1.0,9129.411764705885
vpd_simhash,0.0,2.0,14398.130841121496
vpd_simhash,0.0,3.0,25011.92052980133
vpd_simhash,0.0,4.0,37566.94214876033
vpd_simhash,0.0,5.0,49472.27722772277
vpd_simhash,0.0,6.0,60219.31818181818
vpd_simhash,0.0,7.0,95979.03225806452
vpd_simhash,0.0,8.0,204354.54545454544
vpd_simhash,0.0,9.0,738309.0909090909
vpd_simhash,0.0,10.0,860540.0
vpd_simhash,0.0,11.0,856370.0
vpd_simhash,0.0,12.0,842560.0
vpd_simhash,0.0,13.0,831500.0
vpd_simhash,0.0,14.0,822200.0
vpd_simhash,0.0,15.0,849680.0
vpd_simhash,0.0,16.0,840210.0
vpd_simhash,0.0,17.0,857990.0
vpd_simhash,0.0,18.0,833800.0
vpd_simhash,0.0,19.0,846010.0
vpd_simhash,0.0,20.0,839080.0
vpd_simhash,0.0,21.0,846730.0
vpd_simhash,0.0,22.0,846070.0
vpd_simhash,0.0,23.0,851810.0
vpd_simhash,0.0,24.0,856560.0
vpd_simhash,0.0,25.0,849970.0
vpd_simhash,0.0,26.0,847930.0
vpd_simhash,0.0,27.0,850060.0
vpd_simhash,0.0,28.0,843850.0
vpd_simhash,0.0,29.0,850870.0
vpd_simhash,0.0,30.0,847810.0
vpd_simhash,0.0,31.0,841830.0
vpd_simhash,0.0,32.0,838780.0
vpd_simhash,0.0,33.0,843170.0
vpd_simhash,0.0,34.0,852780.0
vpd_simhash,0.0,35.0,852420.0
vpd_simhash,0.0,36.0,851710.0
vpd_simhash,0.0,37.0,841530.0
vpd_simhash,0.0,38.0,843760.0
vpd_simhash,0.0,39.0,841810.0
vpd_simhash,0.0,40.0,848460.0
vpd_simhash,0.0,41.0,856320.0
vpd_simhash,0.0,42.0,849770.0
vpd_simhash,0.0,43.0,847640.0
vpd_simhash,0.0,44.0,845360.0
vpd_simhash,0.0,45.0,847430.0
vpd_simhash,0.0,46.0,837400.0
vpd_simhash,0.0,47.0,850350.0
vpd_simhash,0.0,48.0,845510.0
vpd_simhash,0.0,49.0,843890.0
vpd_simhash,0.0,50.0,842300.0
vpd_simhash,0.0,51.0,844580.0
vpd_simhash,0.0,52.0,840920.0
vpd_simhash,0.0,53.0,838500.0
vpd_simhash,0.0,54.0,844000.0
vpd_simhash,0.0,55.0,844770.0
vpd_simhash,0.0,56.0,838360.0
vpd_simhash,0.0,57.0,838460.0
vpd_simhash,0.0,58.0,830920.0
vpd_simhash,0.0,59.0,838390.0
vpd_simhash,0.0,60.0,841510.0
vpd_simhash,0.0,61.0,840420.0
vpd_simhash,0.0,62.0,836780.0
vpd_simhash,0.0,63.0,836360.0
vpd_simhash,0.0,64.0,842640.0
vpd_simhash,0.0,65.0,837760.0
vpd_simhash,0.0,66.0,842190.0
vpd_simhash,0.0,67.0,847770.0
vpd_simhash,0.0,68.0,845460.0
vpd_simhash,0.0,69.0,827920.0
vpd_simhash,0.0,70.0,843060.0
vpd_simhash,0.0,71.0,842090.0
vpd_simhash,0.0,72.0,843750.0
vpd_simhash,0.0,73.0,834290.0
vpd_simhash,0.0,74.0,837510.0
vpd_simhash,0.0,75.0,841620.0
vpd_simhash,0.0,76.0,836130.0
vpd_simhash,0.0,77.0,834720.0
vpd_simhash,0.0,78.0,843730.0
vpd_simhash,0.0,79.0,833670.0
vpd_simhash,0.0,80.0,842860.0
vpd_simhash,0.0,81.0,836090.0
vpd_simhash,0.0,82.0,837390.0
vpd_simhash,0.0,83.0,841920.0
vpd_simhash,0.0,84.0,841330.0
vpd_simhash,0.0,85.0,840830.0
vpd_simhash,0.0,86.0,854420.0
vpd_simhash,0.0,87.0,858800.0
vpd_simhash,0.0,88.0,857580.0
vpd_simhash,0.0,89.0,870460.0
vpd_simhash,0.0,90.0,863230.0
vpd_simhash,0.0,91.0,865030.0
vpd_simhash,0.0,92.0,853180.0
vpd_simhash,0.0,93.0,863180.0
vpd_simhash,0.0,94.0,866960.0
vpd_simhash,0.0,95.0,863880.0
vpd_simhash,0.0,96.0,866770.0
vpd_simhash,0.0,97.0,856640.0
vpd_simhash,0.0,98.0,865260.0
vpd_simhash,0.0,99.0,864920.0
vpd_simhash,1.0,0.0,8088.0
vpd_simhash,1.0,1.0,10644.029850746268
vpd_simhash,1.0,2.0,13704.954954954956
vpd_simhash,1.0,3.0,22918.63354037267
vpd_simhash,1.0,4.0,37081.512605042015
vpd_simhash,1.0,5.0,45603.73831775701
vpd_simhash,1.0,6.0,54169.69696969697
vpd_simhash,1.0,7.0,109389.47368421052
vpd_simhash,1.0,8.0,267420.8333333333
vpd_simhash,1.0,9.0,573776.9230769231
vpd_simhash,1.0,10.0,736970.0
vpd_simhash,1.0,11.0,769840.0
vpd_simhash,1.0,12.0,797370.0
vpd_simhash,1.0,13.0,811720.0
vpd_simhash,1.0,14.0,802800.0
vpd_simhash,1.0,15.0,799130.0
vpd_simhash,1.0,16.0,801290.0
vpd_simhash,1.0,17.0,800720.0
vpd_simhash,1.0,18.0,797280.0
vpd_simhash,1.0,19.0,785180.0
vpd_simhash,1.0,20.0,789400.0
vpd_simhash,1.0,21.0,786190.0
vpd_simhash,1.0,22.0,783870.0
vpd_simhash,1.0,23.0,776970.0
vpd_simhash,1.0,24.0,774840.0
vpd_simhash,1.0,25.0,775130.0
vpd_simhash,1.0,26.0,771930.0
vpd_simhash,1.0,27.0,771610.0
vpd_simhash,1.0,28.0,776430.0
vpd_simhash,1.0,29.0,773160.0
vpd_simhash,1.0,30.0,772220.0
vpd_simhash,1.0,31.0,774490.0
vpd_simhash,1.0,32.0,763250.0
vpd_simhash,1.0,33.0,767710.0
vpd_simhash,1.0,34.0,771010.0
vpd_simhash,1.0,35.0,769980.0
vpd_simhash,1.0,36.0,769750.0
vpd_simhash,1.0,37.0,781050.0
vpd_simhash,1.0,38.0,699490.9090909091
vpd_simhash,1.0,39.0,770760.0
vpd_simhash,1.0,40.0,773490.0
vpd_simhash,1.0,41.0,765430.0
vpd_simhash,1.0,42.0,770390.0
vpd_simhash,1.0,43.0,775410.0
vpd_simhash,1.0,44.0,781920.0
vpd_simhash,1.0,45.0,770360.0
vpd_simhash,1.0,46.0,778180.0
vpd_simhash,1.0,47.0,703654.5454545454
vpd_simhash,1.0,48.0,787170.0
vpd_simhash,1.0,49.0,773140.0
vpd_simhash,1.0,50.0,777310.0
vpd_simhash,1.0,51.0,775980.0
vpd_simhash,1.0,52.0,785750.0
vpd_simhash,1.0,53.0,777480.0
vpd_simhash,1.0,54.0,775620.0
vpd_simhash,1.0,55.0,777290.0
vpd_simhash,1.0,56.0,771130.0
vpd_simhash,1.0,57.0,776080.0
vpd_simhash,1.0,58.0,776160.0
vpd_simhash,1.0,59.0,773440.0
vpd_simhash,1.0,60.0,775220.0
vpd_simhash,1.0,61.0,766060.0
vpd_simhash,1.0,62.0,762080.0
vpd_simhash,1.0,63.0,775010.0
vpd_simhash,1.0,64.0,771190.0
vpd_simhash,1.0,65.0,779530.0
vpd_simhash,1.0,66.0,777800.0
vpd_simhash,1.0,67.0,782640.0
vpd_simhash,1.0,68.0,785930.0
vpd_simhash,1.0,69.0,734800.0
vpd_simhash,1.0,70.0,823850.0
vpd_simhash,1.0,71.0,827160.0
vpd_simhash,1.0,72.0,824890.0
vpd_simhash,1.0,73.0,828870.0
vpd_simhash,1.0,74.0,824490.0
vpd_simhash,1.0,75.0,828700.0
vpd_simhash,1.0,76.0,831900.0
vpd_simhash,1.0,77.0,828350.0
vpd_simhash,1.0,78.0,831020.0
vpd_simhash,1.0,79.0,828820.0
vpd_simhash,1.0,80.0,762063.6363636364
vpd_simhash,1.0,81.0,830900.0
vpd_simhash,1.0,82.0,831690.0
vpd_simhash,1.0,83.0,828980.0
vpd_simhash,1.0,84.0,832410.0
vpd_simhash,1.0,85.0,844900.0
vpd_simhash,1.0,86.0,838350.0
vpd_simhash,1.0,87.0,831270.0
vpd_simhash,1.0,88.0,835290.0
vpd_simhash,1.0,89.0,830220.0
vpd_simhash,1.0,90.0,836340.0
vpd_simhash,1.0,91.0,828230.0
vpd_simhash,1.0,92.0,821920.0
vpd_simhash,1.0,93.0,759300.0
vpd_simhash,1.0,94.0,835450.0
vpd_simhash,1.0,95.0,833290.0
vpd_simhash,1.0,96.0,825350.0
vpd_simhash,1.0,97.0,825260.0
vpd_simhash,1.0,98.0,832290.0
vpd_simhash,1.0,99.0,830760.0
vpd_simhash,2.0,0.0,7161.320754716981
vpd_simhash,2.0,1.0,10203.347280334729
vpd_simhash,2.0,2.0,11708.444444444443
vpd_simhash,2.0,3.0,13056.756756756757
vpd_simhash,2.0,4.0,24594.0
vpd_simhash,2.0,5.0,39450.0
vpd_simhash,2.0,6.0,46449.056603773584
vpd_simhash,2.0,7.0,57482.22222222222
vpd_simhash,2.0,8.0,92492.06349206348
vpd_simhash,2.0,9.0,144016.27906976745
vpd_simhash,2.0,10.0,276786.95652173914
vpd_simhash,2.0,11.0,729100.0
vpd_simhash,2.0,12.0,814170.0
vpd_simhash,2.0,13.0,813900.0
vpd_simhash,2.0,14.0,806350.0
vpd_simhash,2.0,15.0,832520.0
vpd_simhash,2.0,16.0,844180.0
vpd_simhash,2.0,17.0,872160.0
vpd_simhash,2.0,18.0,884610.0
vpd_simhash,2.0,19.0,880770.0
vpd_simhash,2.0,20.0,880630.0
vpd_simhash,2.0,21.0,872250.0
vpd_simhash,2.0,22.0,859410.0
vpd_simhash,2.0,23.0,855390.0
vpd_simhash,2.0,24.0,852720.0
vpd_simhash,2.0,25.0,838600.0
vpd_simhash,2.0,26.0,853660.0
vpd_simhash,2.0,27.0,854580.0
vpd_simhash,2.0,28.0,846710.0
vpd_simhash,2.0,29.0,842810.0
vpd_simhash,2.0,30.0,847390.0
vpd_simhash,2.0,31.0,850130.0
vpd_simhash,2.0,32.0,853130.0
vpd_simhash,2.0,33.0,869210.0
vpd_simhash,2.0,34.0,854190.0
vpd_simhash,2.0,35.0,865190.0
vpd_simhash,2.0,36.0,848620.0
vpd_simhash,2.0,37.0,849910.0
vpd_simhash,2.0,38.0,838220.0
vpd_simhash,2.0,39.0,765890.9090909091
vpd_simhash,2.0,40.0,850300.0
vpd_simhash,2.0,41.0,850120.0
vpd_simhash,2.0,42.0,848770.0
vpd_simhash,2.0,43.0,847460.0
vpd_simhash,2.0,44.0,847420.0
vpd_simhash,2.0,45.0,853980.0
vpd_simhash,2.0,46.0,852200.0
vpd_simhash,2.0,47.0,852040.0
vpd_simhash,2.0,48.0,860690.0
vpd_simhash,2.0,49.0,855900.0
vpd_simhash,2.0,50.0,862250.0
vpd_simhash,2.0,51.0,856890.0
vpd_simhash,2.0,52.0,865990.0
vpd_simhash,2.0,53.0,872130.0
vpd_simhash,2.0,54.0,862780.0
vpd_simhash,2.0,55.0,872600.0
vpd_simhash,2.0,56.0,873690.0
vpd_simhash,2.0,57.0,877060.0
vpd_simhash,2.0,58.0,871870.0
vpd_simhash,2.0,59.0,863920.0
vpd_simhash,2.0,60.0,868320.0
vpd_simhash,2.0,61.0,871600.0
vpd_simhash,2.0,62.0,874760.0
vpd_simhash,2.0,63.0,867050.0
vpd_simhash,2.0,64.0,848000.0
vpd_simhash,2.0,65.0,835930.0
vpd_simhash,2.0,66.0,833830.0
vpd_simhash,2.0,67.0,836100.0
vpd_simhash,2.0,68.0,844400.0
vpd_simhash,2.0,69.0,837020.0
vpd_simhash,2.0,70.0,841730.0
vpd_simhash,2.0,71.0,842400.0
vpd_simhash,2.0,72.0,832780.0
vpd_simhash,2.0,73.0,825190.0
vpd_simhash,2.0,74.0,830010.0
vpd_simhash,2.0,75.0,831870.0
vpd_simhash,2.0,76.0,836480.0
vpd_simhash,2.0,77.0,839820.0
vpd_simhash,2.0,78.0,831300.0
vpd_simhash,2.0,79.0,763900.0
vpd_simhash,2.0,80.0,835850.0
vpd_simhash,2.0,81.0,832830.0
vpd_simhash,2.0,82.0,823940.0
vpd_simhash,2.0,83.0,828870.0
vpd_simhash,2.0,84.0,835880.0
