method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,7.815533980582524
vpd_simhash,0.0,1.0,9.732142857142858
vpd_simhash,0.0,2.0,17.76
vpd_simhash,0.0,3.0,52.91512915129151
vpd_simhash,0.0,4.0,254.14847161572047
vpd_simhash,0.0,5.0,501.030303030303
vpd_simhash,0.0,6.0,594.1721854304636
vpd_simhash,0.0,7.0,653.7241379310345
vpd_simhash,0.0,8.0,713.0769230769231
vpd_simhash,0.0,9.0,793.75
vpd_simhash,0.0,10.0,869.1428571428571
vpd_simhash,0.0,11.0,916.8840579710144
vpd_simhash,0.0,12.0,912.7007299270072
vpd_simhash,0.0,13.0,918.3941605839416
vpd_simhash,0.0,14.0,947.7037037037036
vpd_simhash,0.0,15.0,949.2592592592592
vpd_simhash,0.0,16.0,959.776119402985
vpd_simhash,0.0,17.0,968.4962406015038
vpd_simhash,0.0,18.0,967.089552238806
vpd_simhash,0.0,19.0,964.7014925373136
vpd_simhash,0.0,20.0,963.731343283582
vpd_simhash,0.0,21.0,957.3880597014926
vpd_simhash,0.0,22.0,967.0676691729324
vpd_simhash,0.0,23.0,978.5714285714286
vpd_simhash,0.0,24.0,979.0151515151516
vpd_simhash,0.0,25.0,980.375939849624
vpd_simhash,0.0,26.0,1000.0
vpd_simhash,0.0,27.0,998.2962962962964
vpd_simhash,0.0,28.0,995.4744525547444
vpd_simhash,0.0,29.0,996.2043795620438
vpd_simhash,0.0,30.0,1029.55223880597
vpd_simhash,0.0,31.0,1019.6296296296296
vpd_simhash,0.0,32.0,1020.5882352941176
vpd_simhash,0.0,33.0,1024.8148148148148
vpd_simhash,0.0,34.0,1020.5882352941176
vpd_simhash,0.0,35.0,1034.9253731343283
vpd_simhash,0.0,36.0,1022.5
vpd_simhash,0.0,37.0,1036.3432835820895
vpd_simhash,0.0,38.0,1041.428571428571
vpd_simhash,0.0,39.0,1031.5441176470588
vpd_simhash,0.0,40.0,1061.2121212121212
vpd_simhash,0.0,41.0,1037.925925925926
vpd_simhash,0.0,42.0,1055.8646616541353
vpd_simhash,0.0,43.0,1056.044776119403
vpd_simhash,0.0,44.0,1057.9850746268658
vpd_simhash,0.0,45.0,1074.1353383458647
vpd_simhash,0.0,46.0,1064.8507462686566
vpd_simhash,0.0,47.0,1075.2272727272727
vpd_simhash,0.0,48.0,1072.7067669172932
vpd_simhash,0.0,49.0,1077.6691729323309
vpd_simhash,0.0,50.0,1069.4736842105262
vpd_simhash,0.0,51.0,1073.0075187969924
vpd_simhash,0.0,52.0,1082.7272727272727
vpd_simhash,0.0,53.0,1084.3181818181818
vpd_simhash,0.0,54.0,1086.8181818181818
vpd_simhash,0.0,55.0,1085.6060606060605
vpd_simhash,0.0,56.0,1098.1679389312976
vpd_simhash,0.0,57.0,1088.345864661654
vpd_simhash,0.0,58.0,1086.969696969697
vpd_simhash,0.0,59.0,1093.409090909091
vpd_simhash,0.0,60.0,1072.3880597014925
vpd_simhash,0.0,61.0,1087.6515151515152
vpd_simhash,0.0,62.0,1093.969465648855
vpd_simhash,0.0,63.0,1069.3283582089553
vpd_simhash,0.0,64.0,1088.2575757575758
vpd_simhash,0.0,65.0,1083.157894736842
vpd_simhash,0.0,66.0,1082.857142857143
vpd_simhash,0.0,67.0,1096.7424242424242
vpd_simhash,0.0,68.0,1090.6818181818182
vpd_simhash,0.0,69.0,1098.2442748091603
vpd_simhash,0.0,70.0,1093.7878787878788
vpd_simhash,0.0,71.0,1091.2878787878788
vpd_simhash,0.0,72.0,1079.3233082706768
vpd_simhash,0.0,73.0,1098.1679389312976
vpd_simhash,0.0,74.0,1090.378787878788
vpd_simhash,0.0,75.0,1095.378787878788
vpd_simhash,0.0,76.0,1091.6666666666667
vpd_simhash,0.0,77.0,1103.587786259542
vpd_simhash,0.0,78.0,1106.8461538461538
vpd_simhash,0.0,79.0,1092.9770992366412
vpd_simhash,0.0,80.0,1098.3969465648854
vpd_simhash,0.0,81.0,1096.2595419847328
vpd_simhash,0.0,82.0,1097.2519083969466
vpd_simhash,0.0,83.0,1100.0
vpd_simhash,0.0,84.0,1092.0454545454545
vpd_simhash,0.0,85.0,1106.5648854961833
vpd_simhash,0.0,86.0,1103.587786259542
vpd_simhash,0.0,87.0,1100.6870229007634
vpd_simhash,0.0,88.0,1096.793893129771
vpd_simhash,0.0,89.0,1095.9541984732823
vpd_simhash,0.0,90.0,1113.923076923077
vpd_simhash,0.0,91.0,1103.8167938931297
vpd_simhash,0.0,92.0,1109.5419847328244
vpd_simhash,0.0,93.0,1121.1538461538462
vpd_simhash,0.0,94.0,1103.1297709923665
vpd_simhash,0.0,95.0,1100.0
vpd_simhash,0.0,96.0,1107.8461538461538
vpd_simhash,0.0,97.0,1094.090909090909
vpd_simhash,0.0,98.0,1109.8461538461538
vpd_simhash,0.0,99.0,1102.2900763358778
vpd_simhash,1.0,0.0,7.986111111111111
vpd_simhash,1.0,1.0,18.860103626943005
vpd_simhash,1.0,2.0,25.15981735159817
vpd_simhash,1.0,3.0,154.14529914529913
vpd_simhash,1.0,4.0,502.8658536585366
vpd_simhash,1.0,5.0,636.25
vpd_simhash,1.0,6.0,679.4964028776978
vpd_simhash,1.0,7.0,717.3722627737226
vpd_simhash,1.0,8.0,796.3503649635037
vpd_simhash,1.0,9.0,875.6204379562043
vpd_simhash,1.0,10.0,922.8148148148148
vpd_simhash,1.0,11.0,921.7037037037036
vpd_simhash,1.0,12.0,956.5413533834586
vpd_simhash,1.0,13.0,951.268656716418
vpd_simhash,1.0,14.0,952.6119402985074
vpd_simhash,1.0,15.0,948.5820895522388
vpd_simhash,1.0,16.0,958.1203007518797
vpd_simhash,1.0,17.0,973.6363636363636
vpd_simhash,1.0,18.0,968.5714285714286
