method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,2695.6521739130435
vpd_simhash,0.0,1.0,3064.705882352941
vpd_simhash,0.0,2.0,2831.3253012048194
vpd_simhash,0.0,3.0,2993.939393939394
vpd_simhash,0.0,4.0,4385.964912280701
vpd_simhash,0.0,5.0,11374.269005847951
vpd_simhash,0.0,6.0,17608.695652173912
vpd_simhash,0.0,7.0,21656.05095541401
vpd_simhash,0.0,8.0,23729.032258064515
vpd_simhash,0.0,9.0,24503.14465408805
vpd_simhash,0.0,10.0,24637.5
vpd_simhash,0.0,11.0,25534.16149068323
vpd_simhash,0.0,12.0,25175.43859649123
vpd_simhash,0.0,13.0,26392.63803680981
vpd_simhash,0.0,14.0,25915.15151515152
vpd_simhash,0.0,15.0,26962.962962962964
vpd_simhash,0.0,16.0,27791.13924050633
vpd_simhash,0.0,17.0,29243.243243243243
vpd_simhash,0.0,18.0,29615.384615384617
vpd_simhash,0.0,19.0,30440.0
vpd_simhash,0.0,20.0,29000.0
vpd_simhash,0.0,21.0,30370.12987012987
vpd_simhash,0.0,22.0,29717.94871794872
vpd_simhash,0.0,23.0,31331.08108108108
vpd_simhash,0.0,24.0,28735.483870967742
vpd_simhash,0.0,25.0,30758.16993464052
vpd_simhash,0.0,26.0,30483.443708609277
vpd_simhash,0.0,27.0,29735.483870967742
vpd_simhash,0.0,28.0,30378.20512820513
vpd_simhash,0.0,29.0,28987.80487804878
vpd_simhash,0.0,30.0,29133.33333333333
vpd_simhash,0.0,31.0,29745.341614906836
vpd_simhash,0.0,32.0,30370.37037037037
vpd_simhash,0.0,33.0,29818.18181818182
vpd_simhash,0.0,34.0,30591.19496855346
vpd_simhash,0.0,35.0,30943.75
vpd_simhash,0.0,36.0,31283.01886792453
vpd_simhash,0.0,37.0,30530.12048192771
vpd_simhash,0.0,38.0,29797.68786127168
vpd_simhash,0.0,39.0,30221.590909090908
vpd_simhash,0.0,40.0,31114.4578313253
vpd_simhash,0.0,41.0,31006.134969325158
vpd_simhash,0.0,42.0,30391.812865497075
vpd_simhash,0.0,43.0,31315.15151515152
vpd_simhash,0.0,44.0,32103.030303030304
vpd_simhash,0.0,45.0,31017.54385964912
vpd_simhash,0.0,46.0,32347.82608695652
vpd_simhash,0.0,47.0,31212.12121212121
vpd_simhash,0.0,48.0,33163.522012578615
vpd_simhash,0.0,49.0,31298.245614035088
vpd_simhash,0.0,50.0,32144.57831325301
vpd_simhash,0.0,51.0,31651.89873417721
vpd_simhash,0.0,52.0,32024.539877300613
vpd_simhash,0.0,53.0,33037.5
vpd_simhash,0.0,54.0,33427.67295597484
vpd_simhash,0.0,55.0,32583.850931677018
vpd_simhash,0.0,56.0,31892.21556886228
vpd_simhash,0.0,57.0,33167.70186335404
vpd_simhash,0.0,58.0,32917.72151898734
vpd_simhash,0.0,59.0,34246.753246753244
vpd_simhash,0.0,60.0,33169.811320754714
vpd_simhash,0.0,61.0,33345.911949685535
vpd_simhash,0.0,62.0,33395.06172839506
vpd_simhash,0.0,63.0,34264.51612903226
vpd_simhash,0.0,64.0,33987.5
vpd_simhash,0.0,65.0,33075.0
vpd_simhash,0.0,66.0,35013.42281879194
vpd_simhash,0.0,67.0,33611.11111111111
vpd_simhash,0.0,68.0,35012.6582278481
vpd_simhash,0.0,69.0,34243.90243902439
vpd_simhash,0.0,70.0,33680.72289156626
vpd_simhash,0.0,71.0,34418.181818181816
vpd_simhash,0.0,72.0,32757.57575757576
vpd_simhash,0.0,73.0,32360.94674556213
vpd_simhash,0.0,74.0,32143.7125748503
vpd_simhash,0.0,75.0,32329.41176470588
vpd_simhash,0.0,76.0,32456.140350877195
vpd_simhash,0.0,77.0,34236.024844720494
vpd_simhash,0.0,78.0,33035.294117647056
vpd_simhash,0.0,79.0,32970.05988023952
vpd_simhash,0.0,80.0,33012.19512195122
vpd_simhash,0.0,81.0,32466.666666666668
vpd_simhash,0.0,82.0,33204.96894409938
vpd_simhash,0.0,83.0,33296.2962962963
vpd_simhash,0.0,84.0,34382.16560509554
vpd_simhash,0.0,85.0,33889.57055214724
vpd_simhash,0.0,86.0,33536.58536585366
vpd_simhash,0.0,87.0,33236.686390532544
vpd_simhash,0.0,88.0,32982.24852071006
vpd_simhash,0.0,89.0,31902.85714285714
vpd_simhash,0.0,90.0,33479.2899408284
vpd_simhash,0.0,91.0,33084.33734939759
vpd_simhash,0.0,92.0,33520.7100591716
vpd_simhash,0.0,93.0,33319.018404907976
vpd_simhash,0.0,94.0,32988.23529411765
vpd_simhash,0.0,95.0,32821.42857142857
vpd_simhash,0.0,96.0,32880.681818181816
vpd_simhash,0.0,97.0,33857.142857142855
vpd_simhash,0.0,98.0,32758.62068965517
vpd_simhash,0.0,99.0,32902.29885057471
vpd_simhash,1.0,0.0,3147.058823529412
vpd_simhash,1.0,1.0,3018.987341772152
vpd_simhash,1.0,2.0,2890.909090909091
vpd_simhash,1.0,3.0,3362.5730994152045
vpd_simhash,1.0,4.0,7052.356020942409
vpd_simhash,1.0,5.0,15433.734939759035
vpd_simhash,1.0,6.0,21446.666666666668
vpd_simhash,1.0,7.0,23549.019607843136
vpd_simhash,1.0,8.0,24632.25806451613
vpd_simhash,1.0,9.0,26040.26845637584
vpd_simhash,1.0,10.0,27562.5
vpd_simhash,1.0,11.0,28273.972602739726
vpd_simhash,1.0,12.0,26796.052631578947
vpd_simhash,1.0,13.0,27912.75167785235
vpd_simhash,1.0,14.0,28032.894736842107
vpd_simhash,1.0,15.0,29282.758620689656
vpd_simhash,1.0,16.0,29902.097902097903
vpd_simhash,1.0,17.0,31042.25352112676
vpd_simhash,1.0,18.0,30316.176470588234
vpd_simhash,1.0,19.0,30070.422535211263
vpd_simhash,1.0,20.0,30075.86206896552
vpd_simhash,1.0,21.0,32673.91304347826
vpd_simhash,1.0,22.0,31635.036496350363
vpd_simhash,1.0,23.0,33971.22302158274
vpd_simhash,1.0,24.0,33401.51515151515
vpd_simhash,1.0,25.0,32834.53237410072
vpd_simhash,1.0,26.0,34931.29770992367
vpd_simhash,1.0,27.0,34443.60902255639
vpd_simhash,1.0,28.0,33000.0
vpd_simhash,1.0,29.0,33207.40740740741
