method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,1.2976022566995769
vpd_simhash,0.0,1.0,4.087912087912088
vpd_simhash,0.0,2.0,9.423214285714286
vpd_simhash,0.0,3.0,14.990498812351545
vpd_simhash,0.0,4.0,20.931818181818183
vpd_simhash,0.0,5.0,27.355263157894736
vpd_simhash,0.0,6.0,28.568493150684933
vpd_simhash,0.0,7.0,32.66906474820144
vpd_simhash,0.0,8.0,36.7007874015748
vpd_simhash,0.0,9.0,40.01632653061225
vpd_simhash,0.0,10.0,44.324444444444445
vpd_simhash,0.0,11.0,46.45497630331754
vpd_simhash,0.0,12.0,46.55203619909502
vpd_simhash,0.0,13.0,48.45238095238095
vpd_simhash,0.0,14.0,49.21782178217822
vpd_simhash,0.0,15.0,49.4390243902439
vpd_simhash,0.0,16.0,46.570048309178745
vpd_simhash,0.0,17.0,44.92788461538461
vpd_simhash,0.0,18.0,43.80444444444444
vpd_simhash,0.0,19.0,44.539906103286384
vpd_simhash,0.0,20.0,42.06392694063927
vpd_simhash,0.0,21.0,42.41037735849056
vpd_simhash,0.0,22.0,42.74178403755869
vpd_simhash,0.0,23.0,42.63636363636363
vpd_simhash,0.0,24.0,43.54337899543379
vpd_simhash,0.0,25.0,41.254464285714285
vpd_simhash,0.0,26.0,41.12669683257919
vpd_simhash,0.0,27.0,41.86175115207373
vpd_simhash,0.0,28.0,42.48672566371681
vpd_simhash,0.0,29.0,42.36909871244635
vpd_simhash,0.0,30.0,42.96363636363636
vpd_simhash,0.0,31.0,40.35622317596567
vpd_simhash,0.0,32.0,42.27354260089686
vpd_simhash,0.0,33.0,42.71748878923767
vpd_simhash,0.0,34.0,41.751131221719454
vpd_simhash,0.0,35.0,41.32727272727273
vpd_simhash,0.0,36.0,43.37735849056604
vpd_simhash,0.0,37.0,42.61946902654867
vpd_simhash,0.0,38.0,43.82727272727273
vpd_simhash,0.0,39.0,46.05102040816327
vpd_simhash,0.0,40.0,45.66355140186916
vpd_simhash,0.0,41.0,44.3
vpd_simhash,0.0,42.0,43.04017857142857
vpd_simhash,0.0,43.0,46.48611111111112
vpd_simhash,0.0,44.0,45.2017937219731
vpd_simhash,0.0,45.0,45.97767857142857
vpd_simhash,0.0,46.0,46.004464285714285
vpd_simhash,0.0,47.0,45.53181818181818
vpd_simhash,0.0,48.0,45.82142857142857
vpd_simhash,0.0,49.0,46.56132075471698
