method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,541.948424068768
vpd_simhash,0.0,1.0,652.8735632183908
vpd_simhash,0.0,2.0,884.3943661971831
vpd_simhash,0.0,3.0,1129.4405594405594
vpd_simhash,0.0,4.0,1447.0682730923695
vpd_simhash,0.0,5.0,1663.4166666666667
vpd_simhash,0.0,6.0,1944.2857142857144
vpd_simhash,0.0,7.0,2046.1611374407585
vpd_simhash,0.0,8.0,2089.056603773585
vpd_simhash,0.0,9.0,2263.930131004367
vpd_simhash,0.0,10.0,2854.036363636364
vpd_simhash,0.0,11.0,3607.289972899729
vpd_simhash,0.0,12.0,4066.772486772487
vpd_simhash,0.0,13.0,4325.294117647059
vpd_simhash,0.0,14.0,4465.15587529976
vpd_simhash,0.0,15.0,4744.173553719008
vpd_simhash,0.0,16.0,4766.900175131348
vpd_simhash,0.0,17.0,4733.603053435115
vpd_simhash,0.0,18.0,4547.940780619112
vpd_simhash,0.0,19.0,4435.361216730038
vpd_simhash,0.0,20.0,4374.828402366864
vpd_simhash,0.0,21.0,4289.467120181406
vpd_simhash,0.0,22.0,4248.346196251378
vpd_simhash,0.0,23.0,4295.821697099893
vpd_simhash,0.0,24.0,4271.291355389541
vpd_simhash,0.0,25.0,4313.605514316013
vpd_simhash,0.0,26.0,4274.792773645058
vpd_simhash,0.0,27.0,4300.758693361433
vpd_simhash,0.0,28.0,4290.472193074502
vpd_simhash,0.0,29.0,4280.042016806723
vpd_simhash,0.0,30.0,4261.933124346918
vpd_simhash,0.0,31.0,4251.70859538784
vpd_simhash,0.0,32.0,4273.767051416579
vpd_simhash,0.0,33.0,4288.383419689119
vpd_simhash,0.0,34.0,4277.205422314912
vpd_simhash,0.0,35.0,4268.081334723671
vpd_simhash,0.0,36.0,4295.382231404959
vpd_simhash,0.0,37.0,4297.786970010341
vpd_simhash,0.0,38.0,4322.371134020618
vpd_simhash,0.0,39.0,4326.587872559096
vpd_simhash,0.0,40.0,4299.542217700916
vpd_simhash,0.0,41.0,4246.7176350662585
vpd_simhash,0.0,42.0,4223.640973630832
vpd_simhash,0.0,43.0,4221.560283687943
vpd_simhash,0.0,44.0,4229.646464646465
vpd_simhash,0.0,45.0,4210.904471544715
vpd_simhash,0.0,46.0,4242.391523713421
vpd_simhash,0.0,47.0,4218.519637462236
vpd_simhash,0.0,48.0,4177.5
vpd_simhash,0.0,49.0,4214.354354354355
vpd_simhash,0.0,50.0,4196.77
vpd_simhash,0.0,51.0,4191.91382765531
vpd_simhash,0.0,52.0,4187.590361445783
vpd_simhash,0.0,53.0,4191.634712411706
vpd_simhash,0.0,54.0,4207.74
vpd_simhash,0.0,55.0,4200.98
vpd_simhash,0.0,56.0,4215.014955134596
vpd_simhash,0.0,57.0,4209.167502507523
vpd_simhash,0.0,58.0,4206.5
vpd_simhash,0.0,59.0,4159.819095477387
vpd_simhash,0.0,60.0,4115.281124497992
vpd_simhash,0.0,61.0,4113.070707070707
vpd_simhash,0.0,62.0,4126.951710261569
vpd_simhash,0.0,63.0,4104.7
vpd_simhash,0.0,64.0,4121.472945891784
vpd_simhash,0.0,65.0,4125.75879396985
vpd_simhash,0.0,66.0,4113.199598796389
vpd_simhash,0.0,67.0,4174.844844844845
vpd_simhash,0.0,68.0,4135.764235764236
vpd_simhash,0.0,69.0,4142.904522613066
vpd_simhash,0.0,70.0,4172.073778664008
vpd_simhash,0.0,71.0,4154.685314685315
vpd_simhash,0.0,72.0,4151.555333998006
vpd_simhash,0.0,73.0,4162.72
vpd_simhash,0.0,74.0,4148.775100401606
vpd_simhash,0.0,75.0,4146.802383316783
vpd_simhash,0.0,76.0,4151.326021934197
vpd_simhash,0.0,77.0,4134.485514485515
vpd_simhash,0.0,78.0,4143.516483516483
vpd_simhash,0.0,79.0,4149.192422731805
vpd_simhash,0.0,80.0,4150.418326693227
vpd_simhash,0.0,81.0,4150.33033033033
vpd_simhash,0.0,82.0,4146.189054726368
vpd_simhash,0.0,83.0,4146.8
vpd_simhash,0.0,84.0,4154.900398406375
vpd_simhash,0.0,85.0,4169.60960960961
vpd_simhash,0.0,86.0,4154.606181455633
vpd_simhash,0.0,87.0,4146.291457286432
vpd_simhash,0.0,88.0,4177.176938369781
vpd_simhash,0.0,89.0,4176.570576540756
vpd_simhash,0.0,90.0,4216.283716283716
vpd_simhash,0.0,91.0,4237.716849451645
vpd_simhash,0.0,92.0,4236.656686626747
vpd_simhash,0.0,93.0,4212.450199203187
vpd_simhash,0.0,94.0,4228.325024925224
vpd_simhash,0.0,95.0,4219.49203187251
vpd_simhash,0.0,96.0,4215.140280561122
vpd_simhash,0.0,97.0,4259.051896207585
vpd_simhash,0.0,98.0,4227.175648702595
vpd_simhash,0.0,99.0,4254.635364635365
vpd_simhash,1.0,0.0,436.9321533923304
vpd_simhash,1.0,1.0,576.16
vpd_simhash,1.0,2.0,879.5616438356165
vpd_simhash,1.0,3.0,1273.851590106007
vpd_simhash,1.0,4.0,1669.2050209205022
vpd_simhash,1.0,5.0,1901.8691588785048
vpd_simhash,1.0,6.0,2108.140703517588
vpd_simhash,1.0,7.0,2042.2
vpd_simhash,1.0,8.0,2024.752475247525
vpd_simhash,1.0,9.0,1912.146118721461
vpd_simhash,1.0,10.0,2062.222222222222
vpd_simhash,1.0,11.0,2369.178571428572
vpd_simhash,1.0,12.0,3316.0714285714284
vpd_simhash,1.0,13.0,3623.685185185185
vpd_simhash,1.0,14.0,3833.6456558773434
vpd_simhash,1.0,15.0,4160.981595092025
vpd_simhash,1.0,16.0,4235.609756097561
vpd_simhash,1.0,17.0,4229.24965893588
vpd_simhash,1.0,18.0,4280.012987012987
vpd_simhash,1.0,19.0,4355.849297573435
vpd_simhash,1.0,20.0,4554.372716199757
vpd_simhash,1.0,21.0,4649.669030732861
vpd_simhash,1.0,22.0,4812.244897959184
vpd_simhash,1.0,23.0,4883.026315789473
vpd_simhash,1.0,24.0,4865.016286644951
vpd_simhash,1.0,25.0,4900.775026910656
vpd_simhash,1.0,26.0,4940.787234042553
vpd_simhash,1.0,27.0,4966.036131774707
vpd_simhash,1.0,28.0,5004.936842105263
vpd_simhash,1.0,29.0,4963.792372881356
vpd_simhash,1.0,30.0,4935.876726886291
vpd_simhash,1.0,31.0,4929.83032873807
