method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,3619.362068965517
vpd_simhash,0.0,1.0,4249.745819397994
vpd_simhash,0.0,2.0,4889.640522875817
vpd_simhash,0.0,3.0,4756.491071428572
vpd_simhash,0.0,4.0,4986.923076923077
vpd_simhash,0.0,5.0,5070.207317073171
vpd_simhash,0.0,6.0,4829.755162241888
vpd_simhash,0.0,7.0,5098.348765432099
vpd_simhash,0.0,8.0,4793.155425219941
vpd_simhash,0.0,9.0,4896.285714285715
vpd_simhash,0.0,10.0,4467.090395480226
vpd_simhash,0.0,11.0,4433.112391930836
vpd_simhash,0.0,12.0,4439.313559322034
vpd_simhash,0.0,13.0,4294.083798882682
vpd_simhash,0.0,14.0,4257.296610169492
vpd_simhash,0.0,15.0,3957.948648648649
vpd_simhash,0.0,16.0,3959.487804878049
vpd_simhash,0.0,17.0,3929.972899728997
vpd_simhash,0.0,18.0,3718.784415584416
vpd_simhash,0.0,19.0,3882.572192513369
vpd_simhash,0.0,20.0,4013.227642276423
vpd_simhash,0.0,21.0,3641.020253164557
vpd_simhash,0.0,22.0,3754.583979328165
vpd_simhash,0.0,23.0,3658.7295918367354
vpd_simhash,0.0,24.0,3773.0939086294416
vpd_simhash,0.0,25.0,3755.082262210797
vpd_simhash,0.0,26.0,3793.984693877551
vpd_simhash,0.0,27.0,3927.8203125
vpd_simhash,0.0,28.0,3719.625954198473
vpd_simhash,0.0,29.0,3637.405
vpd_simhash,0.0,30.0,3766.2835443037975
vpd_simhash,0.0,31.0,3728.025706940874
vpd_simhash,0.0,32.0,3873.4816753926702
vpd_simhash,0.0,33.0,3886.77545691906
vpd_simhash,0.0,34.0,3665.974554707379
vpd_simhash,0.0,35.0,3731.5141388174807
vpd_simhash,0.0,36.0,3625.782278481013
vpd_simhash,0.0,37.0,3834.931758530184
vpd_simhash,0.0,38.0,3809.058823529412
vpd_simhash,0.0,39.0,3559.6882793017458
vpd_simhash,0.0,40.0,3731.1889168765742
vpd_simhash,0.0,41.0,3668.226932668329
vpd_simhash,0.0,42.0,3672.316582914573
vpd_simhash,0.0,43.0,3818.084615384616
vpd_simhash,0.0,44.0,3640.8638613861385
vpd_simhash,0.0,45.0,3633.237037037037
vpd_simhash,0.0,46.0,3609.915
vpd_simhash,0.0,47.0,3608.078239608802
vpd_simhash,0.0,48.0,3784.915601023018
vpd_simhash,0.0,49.0,3511.703703703704
vpd_simhash,0.0,50.0,3656.8858560794047
vpd_simhash,0.0,51.0,3765.111959287532
vpd_simhash,0.0,52.0,3640.05076142132
vpd_simhash,0.0,53.0,3617.098484848485
vpd_simhash,0.0,54.0,3534.8743842364534
vpd_simhash,0.0,55.0,3635.733830845771
vpd_simhash,0.0,56.0,3596.0814249363866
vpd_simhash,0.0,57.0,3563.587786259542
vpd_simhash,0.0,58.0,3502.5714285714284
vpd_simhash,0.0,59.0,3675.573934837093
vpd_simhash,0.0,60.0,3666.4609571788415
vpd_simhash,0.0,61.0,3455.490291262136
vpd_simhash,0.0,62.0,3586.741293532338
vpd_simhash,0.0,63.0,3586.0776942355888
vpd_simhash,0.0,64.0,3682.874686716792
vpd_simhash,0.0,65.0,3754.7898734177215
vpd_simhash,0.0,66.0,3554.89552238806
vpd_simhash,0.0,67.0,3724.1729323308273
vpd_simhash,0.0,68.0,3807.7908163265306
vpd_simhash,0.0,69.0,3549.6485148514853
vpd_simhash,0.0,70.0,3652.28320802005
vpd_simhash,0.0,71.0,3670.686567164179
vpd_simhash,0.0,72.0,3728.917085427136
vpd_simhash,0.0,73.0,3758.4010152284254
vpd_simhash,0.0,74.0,3525.3970223325064
vpd_simhash,0.0,75.0,3451.8637469586374
vpd_simhash,0.0,76.0,3839.484615384616
vpd_simhash,0.0,77.0,3732.847880299252
vpd_simhash,0.0,78.0,3720.76368159204
vpd_simhash,0.0,79.0,3838.445843828715
vpd_simhash,0.0,80.0,3929.11780104712
vpd_simhash,0.0,81.0,3775.289002557545
vpd_simhash,0.0,82.0,3678.317135549872
vpd_simhash,0.0,83.0,3780.4834605597966
vpd_simhash,0.0,84.0,3660.944862155389
vpd_simhash,0.0,85.0,3646.04702970297
vpd_simhash,0.0,86.0,3760.04797979798
vpd_simhash,0.0,87.0,3715.1848101265823
vpd_simhash,0.0,88.0,3582.9275
vpd_simhash,0.0,89.0,3689.8426395939086
vpd_simhash,0.0,90.0,3800.762148337596
vpd_simhash,0.0,91.0,3726.418136020151
vpd_simhash,0.0,92.0,3740.137931034483
vpd_simhash,0.0,93.0,3876.543147208122
vpd_simhash,0.0,94.0,3727.66835443038
vpd_simhash,0.0,95.0,3561.004914004914
vpd_simhash,0.0,96.0,3309.278177458033
vpd_simhash,0.0,97.0,3405.4656862745096
vpd_simhash,0.0,98.0,3421.240291262136
vpd_simhash,0.0,99.0,3543.272506082725
vpd_simhash,1.0,0.0,2732.8585526315787
vpd_simhash,1.0,1.0,3867.769230769231
vpd_simhash,1.0,2.0,5013.741641337386
vpd_simhash,1.0,3.0,4891.306547619048
vpd_simhash,1.0,4.0,4690.017191977077
vpd_simhash,1.0,5.0,4562.604046242775
vpd_simhash,1.0,6.0,4617.556195965418
vpd_simhash,1.0,7.0,4536.525862068966
vpd_simhash,1.0,8.0,4429.076923076923
vpd_simhash,1.0,9.0,4457.137741046832
vpd_simhash,1.0,10.0,4368.3739612188365
vpd_simhash,1.0,11.0,4426.140449438202
vpd_simhash,1.0,12.0,4290.66757493188
vpd_simhash,1.0,13.0,4227.765789473684
vpd_simhash,1.0,14.0,4212.36052631579
vpd_simhash,1.0,15.0,4241.257142857143
vpd_simhash,1.0,16.0,4279.12962962963
vpd_simhash,1.0,17.0,4158.225388601037
vpd_simhash,1.0,18.0,4053.228426395939
vpd_simhash,1.0,19.0,4021.596446700508
vpd_simhash,1.0,20.0,4233.781002638522
vpd_simhash,1.0,21.0,4258.097368421053
vpd_simhash,1.0,22.0,4217.109375
vpd_simhash,1.0,23.0,4173.930232558139
vpd_simhash,1.0,24.0,4171.0
vpd_simhash,1.0,25.0,4166.565445026178
vpd_simhash,1.0,26.0,4250.319480519481
vpd_simhash,1.0,27.0,4097.966057441253
vpd_simhash,1.0,28.0,4230.0234375
vpd_simhash,1.0,29.0,4149.684895833333
vpd_simhash,1.0,30.0,4225.65625
vpd_simhash,1.0,31.0,4442.430107526881
vpd_simhash,1.0,32.0,4298.397368421052
