method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,533.2673267326733
vpd_simhash,0.0,1.0,1291.219512195122
vpd_simhash,0.0,2.0,1487.4015748031495
vpd_simhash,0.0,3.0,1714.676616915423
vpd_simhash,0.0,4.0,1484.0860215053765
vpd_simhash,0.0,5.0,2372.622478386167
vpd_simhash,0.0,6.0,2737.357630979499
vpd_simhash,0.0,7.0,2793.446088794926
vpd_simhash,0.0,8.0,3362.4113475177305
vpd_simhash,0.0,9.0,3484.0686274509803
vpd_simhash,0.0,10.0,3947.783251231527
vpd_simhash,0.0,11.0,4186.8894601542415
vpd_simhash,0.0,12.0,4888.095238095239
vpd_simhash,0.0,13.0,4851.506849315068
vpd_simhash,0.0,14.0,5402.605863192182
vpd_simhash,0.0,15.0,5848.0
vpd_simhash,0.0,16.0,5684.0978593272175
vpd_simhash,0.0,17.0,5550.609756097561
vpd_simhash,0.0,18.0,6201.661129568106
vpd_simhash,0.0,19.0,6077.142857142857
vpd_simhash,0.0,20.0,6322.847682119205
vpd_simhash,0.0,21.0,6411.803278688524
vpd_simhash,0.0,22.0,6302.272727272727
vpd_simhash,0.0,23.0,6280.952380952381
vpd_simhash,0.0,24.0,6668.1506849315065
vpd_simhash,0.0,25.0,6773.19587628866
vpd_simhash,0.0,26.0,6731.972789115646
vpd_simhash,0.0,27.0,6593.2885906040265
vpd_simhash,0.0,28.0,7185.766423357664
vpd_simhash,0.0,29.0,6901.398601398601
vpd_simhash,0.0,30.0,7075.444839857652
vpd_simhash,0.0,31.0,7073.89705882353
vpd_simhash,0.0,32.0,6691.467576791809
vpd_simhash,0.0,33.0,6599.6621621621625
vpd_simhash,0.0,34.0,6339.21568627451
vpd_simhash,0.0,35.0,7069.014084507042
vpd_simhash,0.0,36.0,6826.190476190476
vpd_simhash,0.0,37.0,7183.216783216783
vpd_simhash,0.0,38.0,6784.818481848185
vpd_simhash,0.0,39.0,6887.241379310345
vpd_simhash,0.0,40.0,7126.80412371134
vpd_simhash,0.0,41.0,7519.565217391304
vpd_simhash,0.0,42.0,7115.492957746479
vpd_simhash,0.0,43.0,7162.937062937063
vpd_simhash,0.0,44.0,7556.159420289855
vpd_simhash,0.0,45.0,8223.828125
vpd_simhash,0.0,46.0,7417.79359430605
vpd_simhash,0.0,47.0,7704.417670682731
vpd_simhash,0.0,48.0,7545.018450184501
vpd_simhash,0.0,49.0,7583.629893238434
vpd_simhash,0.0,50.0,7799.272727272727
vpd_simhash,0.0,51.0,7771.428571428572
vpd_simhash,0.0,52.0,8069.811320754717
vpd_simhash,0.0,53.0,7982.264150943396
vpd_simhash,0.0,54.0,7761.870503597122
vpd_simhash,0.0,55.0,8339.69465648855
vpd_simhash,0.0,56.0,8126.865671641791
vpd_simhash,0.0,57.0,8161.832061068702
vpd_simhash,0.0,58.0,8303.396226415094
vpd_simhash,0.0,59.0,8513.618677042801
vpd_simhash,0.0,60.0,8001.865671641791
vpd_simhash,0.0,61.0,7860.43956043956
vpd_simhash,0.0,62.0,8370.0
vpd_simhash,0.0,63.0,8538.339920948616
vpd_simhash,0.0,64.0,7729.044117647059
vpd_simhash,0.0,65.0,8230.827067669174
vpd_simhash,0.0,66.0,8236.501901140684
vpd_simhash,0.0,67.0,7658.909090909091
vpd_simhash,0.0,68.0,8259.160305343512
vpd_simhash,0.0,69.0,8088.76404494382
vpd_simhash,0.0,70.0,8585.433070866142
vpd_simhash,0.0,71.0,8282.706766917294
vpd_simhash,0.0,72.0,8380.46875
vpd_simhash,0.0,73.0,8566.015625
vpd_simhash,0.0,74.0,8453.787878787878
vpd_simhash,0.0,75.0,8855.465587044535
vpd_simhash,0.0,76.0,8303.383458646616
vpd_simhash,0.0,77.0,8440.079365079366
vpd_simhash,0.0,78.0,8269.23076923077
vpd_simhash,0.0,79.0,8310.780669144982
vpd_simhash,0.0,80.0,8252.808988764045
vpd_simhash,0.0,81.0,7872.363636363636
vpd_simhash,0.0,82.0,7880.86642599278
vpd_simhash,0.0,83.0,7940.727272727273
vpd_simhash,0.0,84.0,8270.454545454546
vpd_simhash,0.0,85.0,7928.571428571428
vpd_simhash,0.0,86.0,7941.025641025641
vpd_simhash,0.0,87.0,8003.260869565217
vpd_simhash,0.0,88.0,8463.432835820895
vpd_simhash,0.0,89.0,8112.313432835821
vpd_simhash,0.0,90.0,8451.209677419354
vpd_simhash,0.0,91.0,8824.034334763948
vpd_simhash,0.0,92.0,8892.09486166008
vpd_simhash,0.0,93.0,8200.0
vpd_simhash,0.0,94.0,8735.317460317461
vpd_simhash,0.0,95.0,9045.991561181434
vpd_simhash,0.0,96.0,8704.471544715447
vpd_simhash,0.0,97.0,8275.645756457565
vpd_simhash,0.0,98.0,8524.812030075187
vpd_simhash,0.0,99.0,8482.101167315175
vpd_simhash,1.0,0.0,775.3875968992248
vpd_simhash,1.0,1.0,1316.0756501182034
vpd_simhash,1.0,2.0,1854.3956043956043
vpd_simhash,1.0,3.0,1929.7752808988764
vpd_simhash,1.0,4.0,2483.204134366925
vpd_simhash,1.0,5.0,2565.853658536585
vpd_simhash,1.0,6.0,2760.1659751037346
vpd_simhash,1.0,7.0,3130.8016877637133
vpd_simhash,1.0,8.0,3310.103092783505
vpd_simhash,1.0,9.0,3424.945770065076
vpd_simhash,1.0,10.0,3361.3390928725703
vpd_simhash,1.0,11.0,3699.5348837209294
vpd_simhash,1.0,12.0,3639.869281045752
vpd_simhash,1.0,13.0,3715.418502202643
vpd_simhash,1.0,14.0,4044.9308755760367
vpd_simhash,1.0,15.0,4144.083526682135
vpd_simhash,1.0,16.0,4420.560747663551
vpd_simhash,1.0,17.0,4367.965367965368
vpd_simhash,1.0,18.0,4440.339702760085
vpd_simhash,1.0,19.0,4867.042889390519
vpd_simhash,1.0,20.0,4879.14798206278
vpd_simhash,1.0,21.0,5058.39243498818
vpd_simhash,1.0,22.0,5357.553956834532
