method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,2920.967741935484
vpd_simhash,0.0,1.0,27178.666666666668
vpd_simhash,0.0,2.0,55064.86486486487
vpd_simhash,0.0,3.0,72098.61111111111
vpd_simhash,0.0,4.0,83198.6301369863
vpd_simhash,0.0,5.0,96178.26086956522
vpd_simhash,0.0,6.0,94186.5671641791
vpd_simhash,0.0,7.0,106423.4375
vpd_simhash,0.0,8.0,103878.46153846152
vpd_simhash,0.0,9.0,101216.92307692308
vpd_simhash,0.0,10.0,109912.69841269842
vpd_simhash,0.0,11.0,117483.60655737705
vpd_simhash,0.0,12.0,115351.6129032258
vpd_simhash,0.0,13.0,116929.03225806452
vpd_simhash,0.0,14.0,118745.16129032258
vpd_simhash,0.0,15.0,124666.10169491524
vpd_simhash,0.0,16.0,122434.54545454546
vpd_simhash,0.0,17.0,120326.66666666669
vpd_simhash,0.0,18.0,125215.25423728811
vpd_simhash,0.0,19.0,126677.96610169492
vpd_simhash,0.0,20.0,129380.70175438595
vpd_simhash,0.0,21.0,132585.9649122807
vpd_simhash,0.0,22.0,128741.37931034484
vpd_simhash,0.0,23.0,126089.6551724138
vpd_simhash,0.0,24.0,130696.49122807015
vpd_simhash,0.0,25.0,131912.28070175438
vpd_simhash,0.0,26.0,126425.86206896552
vpd_simhash,0.0,27.0,130106.89655172414
vpd_simhash,0.0,28.0,130363.15789473684
vpd_simhash,0.0,29.0,133082.14285714287
vpd_simhash,0.0,30.0,132061.40350877194
vpd_simhash,0.0,31.0,134037.5
vpd_simhash,0.0,32.0,130866.66666666669
vpd_simhash,0.0,33.0,131017.54385964911
vpd_simhash,0.0,34.0,128982.75862068964
vpd_simhash,0.0,35.0,134483.92857142858
vpd_simhash,0.0,36.0,130833.92857142857
vpd_simhash,0.0,37.0,135472.22222222222
vpd_simhash,0.0,38.0,135936.36363636365
vpd_simhash,0.0,39.0,135791.07142857142
vpd_simhash,0.0,40.0,134496.36363636365
vpd_simhash,0.0,41.0,129700.0
vpd_simhash,0.0,42.0,126329.31034482758
vpd_simhash,0.0,43.0,136592.72727272726
vpd_simhash,0.0,44.0,127387.71929824562
vpd_simhash,0.0,45.0,132562.5
vpd_simhash,0.0,46.0,132747.36842105264
vpd_simhash,0.0,47.0,131814.0350877193
vpd_simhash,0.0,48.0,131819.64285714287
vpd_simhash,0.0,49.0,133098.2142857143
vpd_simhash,0.0,50.0,130287.93103448275
vpd_simhash,0.0,51.0,133073.2142857143
vpd_simhash,0.0,52.0,132942.85714285713
vpd_simhash,0.0,53.0,130517.54385964911
vpd_simhash,0.0,54.0,132721.42857142858
vpd_simhash,0.0,55.0,136327.27272727274
vpd_simhash,0.0,56.0,133939.2857142857
