method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,511.7204301075269
vpd_simhash,0.0,1.0,312.32142857142856
vpd_simhash,0.0,2.0,324.9186991869919
vpd_simhash,0.0,3.0,420.45258620689657
vpd_simhash,0.0,4.0,748.0
vpd_simhash,0.0,5.0,1179.8986486486488
vpd_simhash,0.0,6.0,1411.970802919708
vpd_simhash,0.0,7.0,1908.6693548387095
vpd_simhash,0.0,8.0,1983.6220472440943
vpd_simhash,0.0,9.0,2913.0188679245284
vpd_simhash,0.0,10.0,3073.73786407767
vpd_simhash,0.0,11.0,3349.660194174757
vpd_simhash,0.0,12.0,3258.4761904761904
vpd_simhash,0.0,13.0,3927.7604166666665
vpd_simhash,0.0,14.0,4512.383720930233
vpd_simhash,0.0,15.0,4350.61797752809
vpd_simhash,0.0,16.0,4451.0344827586205
vpd_simhash,0.0,17.0,4265.604395604396
vpd_simhash,0.0,18.0,5466.794871794872
vpd_simhash,0.0,19.0,5543.860759493671
vpd_simhash,0.0,20.0,5339.6875
vpd_simhash,0.0,21.0,5085.535714285715
vpd_simhash,0.0,22.0,5199.329268292683
vpd_simhash,0.0,23.0,5922.763157894737
vpd_simhash,0.0,24.0,5764.025974025974
vpd_simhash,0.0,25.0,5851.533333333334
vpd_simhash,0.0,26.0,6208.986486486487
vpd_simhash,0.0,27.0,6386.928571428572
vpd_simhash,0.0,28.0,6084.054054054054
vpd_simhash,0.0,29.0,7022.835820895522
vpd_simhash,0.0,30.0,6742.74647887324
vpd_simhash,0.0,31.0,6366.388888888889
vpd_simhash,0.0,32.0,6766.323529411765
vpd_simhash,0.0,33.0,7233.939393939394
vpd_simhash,0.0,34.0,6713.239436619719
vpd_simhash,0.0,35.0,6758.732394366197
vpd_simhash,0.0,36.0,5917.012987012987
vpd_simhash,0.0,37.0,6787.112676056338
vpd_simhash,0.0,38.0,6249.6
vpd_simhash,0.0,39.0,6696.527777777777
vpd_simhash,0.0,40.0,7605.615384615385
vpd_simhash,0.0,41.0,6809.577464788732
vpd_simhash,0.0,42.0,6620.845070422535
vpd_simhash,0.0,43.0,7230.869565217391
vpd_simhash,0.0,44.0,7071.666666666667
vpd_simhash,0.0,45.0,7294.55223880597
vpd_simhash,0.0,46.0,7435.909090909091
vpd_simhash,0.0,47.0,6823.194444444444
vpd_simhash,0.0,48.0,7868.923076923077
vpd_simhash,0.0,49.0,8099.8387096774195
vpd_simhash,0.0,50.0,7377.313432835821
vpd_simhash,0.0,51.0,8273.548387096775
vpd_simhash,0.0,52.0,7930.793650793651
vpd_simhash,0.0,53.0,7167.132352941177
vpd_simhash,0.0,54.0,7646.461538461538
vpd_simhash,0.0,55.0,7771.692307692308
vpd_simhash,0.0,56.0,7849.923076923077
vpd_simhash,0.0,57.0,7736.09375
vpd_simhash,0.0,58.0,7445.294117647059
vpd_simhash,0.0,59.0,8162.741935483871
vpd_simhash,0.0,60.0,7267.313432835821
vpd_simhash,0.0,61.0,8015.546875
vpd_simhash,0.0,62.0,8202.142857142857
vpd_simhash,0.0,63.0,7708.863636363636
vpd_simhash,0.0,64.0,7403.283582089552
vpd_simhash,0.0,65.0,7851.612903225807
vpd_simhash,0.0,66.0,9056.491228070176
vpd_simhash,0.0,67.0,8107.890625
vpd_simhash,0.0,68.0,8634.06779661017
vpd_simhash,0.0,69.0,8853.879310344828
vpd_simhash,0.0,70.0,8824.237288135593
vpd_simhash,0.0,71.0,8917.155172413793
vpd_simhash,0.0,72.0,9752.727272727272
vpd_simhash,0.0,73.0,7843.359375
vpd_simhash,0.0,74.0,8276.967213114754
vpd_simhash,0.0,75.0,9012.758620689656
vpd_simhash,0.0,76.0,9831.0
vpd_simhash,0.0,77.0,9462.982456140351
vpd_simhash,0.0,78.0,9373.157894736842
vpd_simhash,0.0,79.0,9638.125
vpd_simhash,0.0,80.0,9808.92857142857
vpd_simhash,0.0,81.0,9062.666666666666
vpd_simhash,0.0,82.0,8833.934426229509
vpd_simhash,0.0,83.0,8622.295081967213
vpd_simhash,0.0,84.0,9925.727272727272
vpd_simhash,0.0,85.0,9706.160714285714
vpd_simhash,0.0,86.0,9858.214285714286
vpd_simhash,0.0,87.0,10006.636363636364
vpd_simhash,0.0,88.0,9386.810344827589
vpd_simhash,0.0,89.0,10955.096153846154
vpd_simhash,0.0,90.0,9909.09090909091
vpd_simhash,0.0,91.0,10182.87037037037
vpd_simhash,0.0,92.0,10808.584905660377
vpd_simhash,0.0,93.0,12219.375
vpd_simhash,0.0,94.0,11993.229166666666
vpd_simhash,0.0,95.0,11382.156862745098
vpd_simhash,0.0,96.0,10248.125
vpd_simhash,0.0,97.0,11252.01923076923
vpd_simhash,0.0,98.0,13440.652173913044
vpd_simhash,0.0,99.0,11659.313725490196
vpd_simhash,1.0,0.0,534.4736842105264
vpd_simhash,1.0,1.0,457.3157894736842
vpd_simhash,1.0,2.0,368.44262295081967
vpd_simhash,1.0,3.0,401.23949579831935
vpd_simhash,1.0,4.0,659.0425531914893
vpd_simhash,1.0,5.0,1277.8671328671328
vpd_simhash,1.0,6.0,1689.3461538461538
vpd_simhash,1.0,7.0,2072.1610169491523
vpd_simhash,1.0,8.0,2450.1339285714284
vpd_simhash,1.0,9.0,2598.423423423424
vpd_simhash,1.0,10.0,2771.851851851852
vpd_simhash,1.0,11.0,3562.4736842105262
vpd_simhash,1.0,12.0,4023.0337078651687
vpd_simhash,1.0,13.0,4398.96551724138
vpd_simhash,1.0,14.0,3922.4736842105262
vpd_simhash,1.0,15.0,4219.782608695652
vpd_simhash,1.0,16.0,4114.945652173913
vpd_simhash,1.0,17.0,4726.104651162791
vpd_simhash,1.0,18.0,4617.386363636364
vpd_simhash,1.0,19.0,4892.117647058823
vpd_simhash,1.0,20.0,4836.666666666667
vpd_simhash,1.0,21.0,4998.869047619048
vpd_simhash,1.0,22.0,5161.144578313253
vpd_simhash,1.0,23.0,6093.310810810811
vpd_simhash,1.0,24.0,6228.493150684932
vpd_simhash,1.0,25.0,6558.450704225352
vpd_simhash,1.0,26.0,5666.139240506329
vpd_simhash,1.0,27.0,6241.232876712329
vpd_simhash,1.0,28.0,6306.027397260274
vpd_simhash,1.0,29.0,6045.347222222223
vpd_simhash,1.0,30.0,6299.324324324324
vpd_simhash,1.0,31.0,7082.279411764706
vpd_simhash,1.0,32.0,7137.246376811594
vpd_simhash,1.0,33.0,6521.959459459459
vpd_simhash,1.0,34.0,6488.219178082192
vpd_simhash,1.0,35.0,8156.984126984127
vpd_simhash,1.0,36.0,7010.428571428572
vpd_simhash,1.0,37.0,7397.64705882353
vpd_simhash,1.0,38.0,7462.5
vpd_simhash,1.0,39.0,7495.9701492537315
vpd_simhash,1.0,40.0,8149.365079365079
vpd_simhash,1.0,41.0,8043.888888888889
vpd_simhash,1.0,42.0,7279.057971014493
vpd_simhash,1.0,43.0,6770.890410958904
vpd_simhash,1.0,44.0,7790.223880597015
vpd_simhash,1.0,45.0,8011.7692307692305
vpd_simhash,1.0,46.0,8204.126984126984
vpd_simhash,1.0,47.0,8260.47619047619
vpd_simhash,1.0,48.0,8522.301587301587
vpd_simhash,1.0,49.0,8511.967213114754
vpd_simhash,1.0,50.0,8344.84375
vpd_simhash,1.0,51.0,8007.692307692308
vpd_simhash,1.0,52.0,8336.796875
vpd_simhash,1.0,53.0,8504.91935483871
vpd_simhash,1.0,54.0,8738.225806451614
vpd_simhash,1.0,55.0,8218.692307692309
vpd_simhash,1.0,56.0,7861.666666666667
vpd_simhash,1.0,57.0,8401.031746031746
vpd_simhash,1.0,58.0,9259.237288135591
vpd_simhash,1.0,59.0,8917.083333333334
vpd_simhash,1.0,60.0,8725.645161290322
