method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,23.776315789473685
vpd_simhash,0.0,1.0,249.3571428571429
vpd_simhash,0.0,2.0,623.1666666666666
vpd_simhash,0.0,3.0,852.4782608695652
vpd_simhash,0.0,4.0,893.6818181818181
vpd_simhash,0.0,5.0,885.6086956521739
vpd_simhash,0.0,6.0,1179.388888888889
vpd_simhash,0.0,7.0,1363.0
vpd_simhash,0.0,8.0,1522.7142857142858
vpd_simhash,0.0,9.0,1745.8461538461538
vpd_simhash,0.0,10.0,1843.25
vpd_simhash,0.0,11.0,1773.4166666666667
vpd_simhash,0.0,12.0,1919.0
vpd_simhash,0.0,13.0,2093.454545454545
vpd_simhash,0.0,14.0,2043.1818181818185
vpd_simhash,0.0,15.0,1990.090909090909
vpd_simhash,0.0,16.0,2013.5454545454545
vpd_simhash,0.0,17.0,2050.0
vpd_simhash,0.0,18.0,2073.7272727272725
vpd_simhash,0.0,19.0,1932.0
vpd_simhash,0.0,20.0,2012.5454545454545
vpd_simhash,0.0,21.0,2135.1
vpd_simhash,0.0,22.0,2138.2
vpd_simhash,0.0,23.0,2045.0
vpd_simhash,0.0,24.0,2105.4
vpd_simhash,0.0,25.0,2155.8
vpd_simhash,0.0,26.0,2064.3636363636365
vpd_simhash,0.0,27.0,2069.909090909091
vpd_simhash,0.0,28.0,2139.454545454545
vpd_simhash,0.0,29.0,2176.0
vpd_simhash,0.0,30.0,2161.0
vpd_simhash,0.0,31.0,2141.0
vpd_simhash,0.0,32.0,2113.4
vpd_simhash,0.0,33.0,1988.1818181818185
vpd_simhash,0.0,34.0,2047.3636363636365
vpd_simhash,0.0,35.0,2038.909090909091
vpd_simhash,0.0,36.0,2107.6363636363635
vpd_simhash,0.0,37.0,2041.090909090909
vpd_simhash,0.0,38.0,2109.181818181818
vpd_simhash,0.0,39.0,2050.0
vpd_simhash,0.0,40.0,2088.454545454545
vpd_simhash,0.0,41.0,2129.8
vpd_simhash,0.0,42.0,2150.8
vpd_simhash,0.0,43.0,2051.909090909091
vpd_simhash,0.0,44.0,1925.5454545454545
vpd_simhash,0.0,45.0,2080.4
vpd_simhash,0.0,46.0,2012.0
vpd_simhash,0.0,47.0,2162.5
vpd_simhash,0.0,48.0,2285.9
vpd_simhash,0.0,49.0,2005.090909090909
vpd_simhash,0.0,50.0,2144.1
vpd_simhash,0.0,51.0,2064.5454545454545
vpd_simhash,0.0,52.0,2147.1
vpd_simhash,0.0,53.0,2104.454545454545
vpd_simhash,0.0,54.0,2123.2
vpd_simhash,0.0,55.0,2078.090909090909
vpd_simhash,0.0,56.0,2169.8
vpd_simhash,0.0,57.0,2142.5
vpd_simhash,0.0,58.0,2181.7
vpd_simhash,0.0,59.0,2230.4
vpd_simhash,0.0,60.0,2173.0
vpd_simhash,0.0,61.0,2186.1
vpd_simhash,0.0,62.0,1942.909090909091
vpd_simhash,0.0,63.0,2104.818181818182
vpd_simhash,0.0,64.0,2158.6
vpd_simhash,0.0,65.0,2038.7272727272727
vpd_simhash,0.0,66.0,2141.8
vpd_simhash,0.0,67.0,2093.909090909091
vpd_simhash,0.0,68.0,2221.6
vpd_simhash,0.0,69.0,2169.9
vpd_simhash,0.0,70.0,2170.8
vpd_simhash,0.0,71.0,2155.2
vpd_simhash,0.0,72.0,2132.1
vpd_simhash,0.0,73.0,2124.7
vpd_simhash,0.0,74.0,2168.5
vpd_simhash,0.0,75.0,2179.5
vpd_simhash,0.0,76.0,2175.8
vpd_simhash,0.0,77.0,2105.7272727272725
vpd_simhash,0.0,78.0,2061.7272727272725
vpd_simhash,0.0,79.0,2037.636363636364
vpd_simhash,0.0,80.0,2103.909090909091
vpd_simhash,0.0,81.0,2122.818181818182
vpd_simhash,0.0,82.0,2100.3636363636365
