method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,-90.02941176470588
vpd_simhash,0.0,1.0,-82.8962962962963
vpd_simhash,0.0,2.0,-77.76470588235294
vpd_simhash,0.0,3.0,-72.73529411764706
vpd_simhash,0.0,4.0,-61.34328358208956
vpd_simhash,0.0,5.0,-52.6764705882353
vpd_simhash,0.0,6.0,-40.12686567164179
vpd_simhash,0.0,7.0,-31.244444444444444
vpd_simhash,0.0,8.0,-21.330882352941178
vpd_simhash,0.0,9.0,-15.262773722627736
vpd_simhash,0.0,10.0,-11.42753623188406
vpd_simhash,0.0,11.0,-5.771428571428571
vpd_simhash,0.0,12.0,0.4861111111111111
vpd_simhash,0.0,13.0,3.197278911564626
vpd_simhash,0.0,14.0,5.308724832214765
vpd_simhash,0.0,15.0,10.721518987341772
vpd_simhash,0.0,16.0,13.851851851851851
vpd_simhash,0.0,17.0,15.331288343558285
vpd_simhash,0.0,18.0,16.353658536585368
vpd_simhash,0.0,19.0,17.541666666666668
vpd_simhash,0.0,20.0,22.542857142857144
vpd_simhash,0.0,21.0,21.32183908045977
vpd_simhash,0.0,22.0,24.38121546961326
vpd_simhash,0.0,23.0,25.962365591397848
vpd_simhash,0.0,24.0,23.043956043956044
vpd_simhash,0.0,25.0,22.466666666666665
vpd_simhash,0.0,26.0,26.422459893048128
vpd_simhash,0.0,27.0,27.422459893048128
vpd_simhash,0.0,28.0,30.221649484536083
vpd_simhash,0.0,29.0,29.53886010362694
vpd_simhash,0.0,30.0,31.15897435897436
vpd_simhash,0.0,31.0,31.121827411167512
vpd_simhash,0.0,32.0,29.97969543147208
vpd_simhash,0.0,33.0,31.603960396039604
vpd_simhash,0.0,34.0,31.173267326732677
vpd_simhash,0.0,35.0,32.833333333333336
vpd_simhash,0.0,36.0,33.133971291866025
vpd_simhash,0.0,37.0,33.18483412322275
vpd_simhash,0.0,38.0,33.77142857142857
vpd_simhash,0.0,39.0,33.91943127962085
vpd_simhash,0.0,40.0,32.99047619047619
vpd_simhash,0.0,41.0,33.429906542056074
vpd_simhash,0.0,42.0,33.94859813084112
vpd_simhash,0.0,43.0,32.2488038277512
vpd_simhash,0.0,44.0,31.396135265700483
vpd_simhash,0.0,45.0,35.35159817351598
vpd_simhash,0.0,46.0,35.2803738317757
vpd_simhash,0.0,47.0,36.26168224299065
vpd_simhash,0.0,48.0,38.14883720930233
vpd_simhash,0.0,49.0,37.755868544600936
vpd_simhash,0.0,50.0,39.03196347031963
vpd_simhash,0.0,51.0,39.90909090909091
vpd_simhash,0.0,52.0,39.99551569506726
vpd_simhash,0.0,53.0,39.0990990990991
vpd_simhash,0.0,54.0,38.46818181818182
vpd_simhash,0.0,55.0,37.88532110091743
vpd_simhash,0.0,56.0,38.22477064220183
vpd_simhash,0.0,57.0,38.875
vpd_simhash,0.0,58.0,38.17727272727273
vpd_simhash,0.0,59.0,40.48684210526316
vpd_simhash,0.0,60.0,39.07657657657658
vpd_simhash,0.0,61.0,37.99543378995434
vpd_simhash,0.0,62.0,37.71171171171172
vpd_simhash,0.0,63.0,38.92920353982301
vpd_simhash,0.0,64.0,39.54867256637168
vpd_simhash,0.0,65.0,39.94690265486726
vpd_simhash,0.0,66.0,39.39473684210526
vpd_simhash,0.0,67.0,39.96035242290749
vpd_simhash,0.0,68.0,37.55
vpd_simhash,0.0,69.0,39.46696035242291
vpd_simhash,0.0,70.0,37.97285067873303
vpd_simhash,0.0,71.0,39.06222222222223
vpd_simhash,0.0,72.0,40.33771929824562
vpd_simhash,0.0,73.0,40.85087719298246
vpd_simhash,0.0,74.0,39.88105726872247
vpd_simhash,0.0,75.0,40.280701754385966
vpd_simhash,0.0,76.0,39.57709251101321
vpd_simhash,0.0,77.0,40.65938864628821
vpd_simhash,0.0,78.0,40.56277056277056
vpd_simhash,0.0,79.0,40.60869565217392
vpd_simhash,0.0,80.0,38.00452488687783
vpd_simhash,0.0,81.0,39.76211453744494
vpd_simhash,0.0,82.0,39.95111111111111
vpd_simhash,0.0,83.0,38.35874439461883
vpd_simhash,0.0,84.0,39.76754385964912
vpd_simhash,0.0,85.0,40.40434782608696
vpd_simhash,0.0,86.0,37.71493212669683
vpd_simhash,0.0,87.0,41.37768240343348
vpd_simhash,0.0,88.0,39.89473684210526
vpd_simhash,0.0,89.0,40.78879310344828
vpd_simhash,0.0,90.0,40.280701754385966
vpd_simhash,0.0,91.0,40.43231441048035
vpd_simhash,0.0,92.0,41.9531914893617
vpd_simhash,0.0,93.0,42.08898305084746
vpd_simhash,0.0,94.0,42.16595744680851
vpd_simhash,0.0,95.0,42.44491525423729
vpd_simhash,0.0,96.0,41.94871794871795
vpd_simhash,0.0,97.0,42.54621848739496
vpd_simhash,0.0,98.0,43.54393305439331
vpd_simhash,0.0,99.0,42.11489361702127
vpd_simhash,1.0,0.0,-90.00729927007299
vpd_simhash,1.0,1.0,-84.97744360902256
vpd_simhash,1.0,2.0,-76.53731343283582
vpd_simhash,1.0,3.0,-65.88235294117646
vpd_simhash,1.0,4.0,-51.85294117647059
vpd_simhash,1.0,5.0,-40.3235294117647
vpd_simhash,1.0,6.0,-28.748148148148147
vpd_simhash,1.0,7.0,-17.32089552238806
vpd_simhash,1.0,8.0,-11.159420289855072
vpd_simhash,1.0,9.0,-4.517985611510792
vpd_simhash,1.0,10.0,-1.2183098591549295
vpd_simhash,1.0,11.0,2.973333333333333
vpd_simhash,1.0,12.0,7.296052631578948
vpd_simhash,1.0,13.0,13.165605095541402
vpd_simhash,1.0,14.0,12.28930817610063
vpd_simhash,1.0,15.0,18.352941176470587
vpd_simhash,1.0,16.0,19.176470588235293
vpd_simhash,1.0,17.0,23.0
vpd_simhash,1.0,18.0,21.335227272727277
vpd_simhash,1.0,19.0,22.14917127071823
vpd_simhash,1.0,20.0,20.91891891891892
vpd_simhash,1.0,21.0,20.497206703910614
vpd_simhash,1.0,22.0,22.562162162162164
vpd_simhash,1.0,23.0,23.45263157894737
vpd_simhash,1.0,24.0,23.02127659574468
vpd_simhash,1.0,25.0,23.50802139037433
vpd_simhash,1.0,26.0,27.113861386138613
vpd_simhash,1.0,27.0,26.23618090452261
vpd_simhash,1.0,28.0,26.402985074626866
vpd_simhash,1.0,29.0,31.225352112676056
vpd_simhash,1.0,30.0,31.58018867924528
vpd_simhash,1.0,31.0,31.621495327102803
vpd_simhash,1.0,32.0,28.41951219512195
vpd_simhash,1.0,33.0,30.30952380952381
vpd_simhash,1.0,34.0,31.497652582159624
