method,run,iteration,train_episode_returns
e-greedy,0.0,0.0,0.0
e-greedy,0.0,1.0,0.3821138211382114
e-greedy,0.0,2.0,7.7073170731707314
e-greedy,0.0,3.0,24.48780487804878
e-greedy,0.0,4.0,28.764227642276424
e-greedy,0.0,5.0,31.10569105691057
e-greedy,0.0,6.0,31.21951219512195
e-greedy,0.0,7.0,31.715447154471544
e-greedy,0.0,8.0,31.98373983739837
e-greedy,0.0,9.0,32.03252032520325
e-greedy,0.0,10.0,32.235772357723576
e-greedy,0.0,11.0,32.34146341463415
e-greedy,0.0,12.0,32.34959349593496
e-greedy,0.0,13.0,32.46341463414634
e-greedy,0.0,14.0,32.65853658536585
e-greedy,0.0,15.0,32.51219512195122
e-greedy,0.0,16.0,32.357723577235774
e-greedy,0.0,17.0,32.43089430894309
e-greedy,0.0,18.0,32.47154471544715
e-greedy,0.0,19.0,32.65040650406504
e-greedy,0.0,20.0,32.54471544715447
e-greedy,0.0,21.0,32.5609756097561
e-greedy,0.0,22.0,32.63414634146341
e-greedy,0.0,23.0,32.73170731707317
e-greedy,0.0,24.0,32.77235772357724
e-greedy,0.0,25.0,32.80487804878049
e-greedy,0.0,26.0,32.78861788617886
e-greedy,0.0,27.0,32.86991869918699
e-greedy,0.0,28.0,32.91869918699187
e-greedy,0.0,29.0,33.03252032520325
e-greedy,0.0,30.0,33.113821138211385
e-greedy,0.0,31.0,33.10569105691057
e-greedy,0.0,32.0,33.15447154471545
e-greedy,0.0,33.0,33.170731707317074
e-greedy,0.0,34.0,33.1869918699187
e-greedy,0.0,35.0,33.14634146341464
e-greedy,0.0,36.0,33.17886178861789
e-greedy,0.0,37.0,33.13821138211382
e-greedy,0.0,38.0,33.1869918699187
e-greedy,0.0,39.0,32.99186991869919
e-greedy,0.0,40.0,33.00813008130081
e-greedy,0.0,41.0,33.02439024390244
e-greedy,0.0,42.0,32.89430894308943
e-greedy,0.0,43.0,33.09756097560975
e-greedy,0.0,44.0,32.97560975609756
e-greedy,0.0,45.0,33.13008130081301
e-greedy,0.0,46.0,33.17886178861789
e-greedy,0.0,47.0,33.073170731707314
e-greedy,0.0,48.0,33.09756097560975
e-greedy,0.0,49.0,33.15447154471545
e-greedy,0.0,50.0,33.113821138211385
e-greedy,0.0,51.0,33.0650406504065
e-greedy,0.0,52.0,33.1869918699187
e-greedy,0.0,53.0,33.13821138211382
e-greedy,0.0,54.0,33.17886178861789
e-greedy,0.0,55.0,33.203252032520325
e-greedy,0.0,56.0,33.333333333333336
e-greedy,0.0,57.0,33.42276422764228
e-greedy,0.0,58.0,33.2520325203252
e-greedy,0.0,59.0,33.113821138211385
e-greedy,0.0,60.0,33.17886178861789
e-greedy,0.0,61.0,33.32520325203252
e-greedy,0.0,62.0,33.13821138211382
e-greedy,0.0,63.0,33.17886178861789
e-greedy,0.0,64.0,33.40650406504065
e-greedy,0.0,65.0,33.21138211382114
e-greedy,0.0,66.0,33.27642276422764
e-greedy,0.0,67.0,33.19512195121951
e-greedy,0.0,68.0,33.39837398373984
e-greedy,0.0,69.0,33.479674796747965
e-greedy,0.0,70.0,33.26829268292683
e-greedy,0.0,71.0,33.51219512195122
e-greedy,0.0,72.0,33.40650406504065
e-greedy,0.0,73.0,33.390243902439025
e-greedy,0.0,74.0,33.26829268292683
e-greedy,0.0,75.0,33.39837398373984
e-greedy,0.0,76.0,33.38211382113821
e-greedy,0.0,77.0,33.3089430894309
e-greedy,0.0,78.0,33.45528455284553
e-greedy,0.0,79.0,33.39837398373984
e-greedy,0.0,80.0,33.41463414634146
e-greedy,0.0,81.0,33.357723577235774
e-greedy,0.0,82.0,33.36585365853659
e-greedy,0.0,83.0,33.43089430894309
e-greedy,0.0,84.0,33.38211382113821
e-greedy,0.0,85.0,33.333333333333336
e-greedy,0.0,86.0,33.43089430894309
e-greedy,0.0,87.0,33.42276422764228
e-greedy,0.0,88.0,33.520325203252035
e-greedy,0.0,89.0,33.49593495934959
e-greedy,0.0,90.0,33.520325203252035
e-greedy,0.0,91.0,33.52845528455285
e-greedy,0.0,92.0,33.43089430894309
e-greedy,0.0,93.0,33.577235772357724
e-greedy,0.0,94.0,33.520325203252035
e-greedy,0.0,95.0,33.479674796747965
e-greedy,0.0,96.0,33.45528455284553
e-greedy,0.0,97.0,33.47154471544715
e-greedy,0.0,98.0,33.41463414634146
e-greedy,0.0,99.0,33.447154471544714
e-greedy,1.0,0.0,0.040650406504065
e-greedy,1.0,1.0,2.7235772357723578
e-greedy,1.0,2.0,15.40650406504065
e-greedy,1.0,3.0,25.747967479674795
e-greedy,1.0,4.0,29.86178861788618
e-greedy,1.0,5.0,31.276422764227643
e-greedy,1.0,6.0,31.73170731707317
e-greedy,1.0,7.0,31.902439024390244
e-greedy,1.0,8.0,32.02439024390244
e-greedy,1.0,9.0,32.22764227642276
e-greedy,1.0,10.0,32.34959349593496
e-greedy,1.0,11.0,32.48780487804878
e-greedy,1.0,12.0,32.46341463414634
e-greedy,1.0,13.0,32.520325203252035
e-greedy,1.0,14.0,32.739837398373986
e-greedy,1.0,15.0,32.65853658536585
e-greedy,1.0,16.0,32.707317073170735
e-greedy,1.0,17.0,32.59349593495935
e-greedy,1.0,18.0,32.78861788617886
e-greedy,1.0,19.0,32.91869918699187
e-greedy,1.0,20.0,32.91869918699187
e-greedy,1.0,21.0,32.86178861788618
e-greedy,1.0,22.0,32.796747967479675
e-greedy,1.0,23.0,32.951219512195124
e-greedy,1.0,24.0,33.00813008130081
e-greedy,1.0,25.0,33.0
e-greedy,1.0,26.0,32.959349593495936
e-greedy,1.0,27.0,33.0650406504065
e-greedy,1.0,28.0,33.04878048780488
e-greedy,1.0,29.0,32.86991869918699
e-greedy,1.0,30.0,32.8780487804878
e-greedy,1.0,31.0,32.89430894308943
e-greedy,1.0,32.0,33.13008130081301
e-greedy,1.0,33.0,33.04878048780488
e-greedy,1.0,34.0,33.09756097560975
e-greedy,1.0,35.0,33.14634146341464
e-greedy,1.0,36.0,33.15447154471545
e-greedy,1.0,37.0,33.040650406504064
e-greedy,1.0,38.0,33.24390243902439
e-greedy,1.0,39.0,33.203252032520325
e-greedy,1.0,40.0,33.13821138211382
e-greedy,1.0,41.0,33.292682926829265
e-greedy,1.0,42.0,33.13821138211382
e-greedy,1.0,43.0,33.13821138211382
e-greedy,1.0,44.0,33.27642276422764
e-greedy,1.0,45.0,33.40650406504065
e-greedy,1.0,46.0,33.40650406504065
e-greedy,1.0,47.0,33.2520325203252
e-greedy,1.0,48.0,33.333333333333336
e-greedy,1.0,49.0,33.24390243902439
e-greedy,1.0,50.0,33.447154471544714
e-greedy,1.0,51.0,33.28455284552845
e-greedy,1.0,52.0,33.447154471544714
e-greedy,1.0,53.0,33.41463414634146
e-greedy,1.0,54.0,33.47154471544715
e-greedy,1.0,55.0,33.3739837398374
e-greedy,1.0,56.0,33.53658536585366
e-greedy,1.0,57.0,33.41463414634146
e-greedy,1.0,58.0,33.552845528455286
e-greedy,1.0,59.0,33.46341463414634
e-greedy,1.0,60.0,33.51219512195122
e-greedy,1.0,61.0,33.39837398373984
e-greedy,1.0,62.0,33.52845528455285
e-greedy,1.0,63.0,33.43089430894309
e-greedy,1.0,64.0,33.5609756097561
e-greedy,1.0,65.0,33.26829268292683
e-greedy,1.0,66.0,33.300813008130085
e-greedy,1.0,67.0,33.42276422764228
e-greedy,1.0,68.0,33.34959349593496
e-greedy,1.0,69.0,33.520325203252035
e-greedy,1.0,70.0,33.479674796747965
e-greedy,1.0,71.0,33.45528455284553
e-greedy,1.0,72.0,33.520325203252035
e-greedy,1.0,73.0,33.49593495934959
e-greedy,1.0,74.0,33.56910569105691
e-greedy,1.0,75.0,33.56910569105691
e-greedy,1.0,76.0,33.56910569105691
e-greedy,1.0,77.0,33.47154471544715
e-greedy,1.0,78.0,33.53658536585366
e-greedy,1.0,79.0,33.47154471544715
e-greedy,1.0,80.0,33.41463414634146
e-greedy,1.0,81.0,33.54471544715447
e-greedy,1.0,82.0,33.47154471544715
e-greedy,1.0,83.0,33.51219512195122
e-greedy,1.0,84.0,33.609756097560975
e-greedy,1.0,85.0,33.36585365853659
e-greedy,1.0,86.0,33.34959349593496
e-greedy,1.0,87.0,33.54471544715447
e-greedy,1.0,88.0,33.52845528455285
e-greedy,1.0,89.0,33.50406504065041
e-greedy,1.0,90.0,33.45528455284553
e-greedy,1.0,91.0,33.6260162601626
e-greedy,1.0,92.0,33.520325203252035
e-greedy,1.0,93.0,33.47154471544715
e-greedy,1.0,94.0,33.50406504065041
e-greedy,1.0,95.0,33.447154471544714
e-greedy,1.0,96.0,33.520325203252035
e-greedy,1.0,97.0,33.53658536585366
e-greedy,1.0,98.0,33.38211382113821
e-greedy,1.0,99.0,33.4390243902439
e-greedy,2.0,0.0,0.3414634146341463
e-greedy,2.0,1.0,6.349593495934959
e-greedy,2.0,2.0,21.97560975609756
e-greedy,2.0,3.0,26.83739837398374
e-greedy,2.0,4.0,30.09756097560976
e-greedy,2.0,5.0,31.30081300813008
e-greedy,2.0,6.0,31.69918699186992
e-greedy,2.0,7.0,31.910569105691057
e-greedy,2.0,8.0,31.98373983739837
e-greedy,2.0,9.0,31.87804878048781
e-greedy,2.0,10.0,32.203252032520325
e-greedy,2.0,11.0,32.390243902439025
e-greedy,2.0,12.0,32.47154471544715
e-greedy,2.0,13.0,32.49593495934959
e-greedy,2.0,14.0,32.357723577235774
e-greedy,2.0,15.0,32.552845528455286
e-greedy,2.0,16.0,32.577235772357724
e-greedy,2.0,17.0,32.6260162601626
e-greedy,2.0,18.0,32.666666666666664
e-greedy,2.0,19.0,32.65040650406504
e-greedy,2.0,20.0,32.61788617886179
e-greedy,2.0,21.0,32.6910569105691
e-greedy,2.0,22.0,32.699186991869915
e-greedy,2.0,23.0,32.642276422764226
e-greedy,2.0,24.0,32.796747967479675
e-greedy,2.0,25.0,32.796747967479675
e-greedy,2.0,26.0,32.83739837398374
e-greedy,2.0,27.0,32.8130081300813
e-greedy,2.0,28.0,32.75609756097561
e-greedy,2.0,29.0,32.80487804878049
e-greedy,2.0,30.0,32.75609756097561
e-greedy,2.0,31.0,32.78861788617886
e-greedy,2.0,32.0,33.03252032520325
e-greedy,2.0,33.0,32.951219512195124
e-greedy,2.0,34.0,33.0650406504065
e-greedy,2.0,35.0,33.0
e-greedy,2.0,36.0,32.86991869918699
e-greedy,2.0,37.0,33.0
e-greedy,2.0,38.0,33.040650406504064
e-greedy,2.0,39.0,33.04878048780488
e-greedy,2.0,40.0,33.113821138211385
e-greedy,2.0,41.0,33.15447154471545
e-greedy,2.0,42.0,33.15447154471545
e-greedy,2.0,43.0,33.00813008130081
e-greedy,2.0,44.0,33.04878048780488
e-greedy,2.0,45.0,33.08943089430894
e-greedy,2.0,46.0,33.19512195121951
e-greedy,2.0,47.0,33.1869918699187
e-greedy,2.0,48.0,33.2520325203252
e-greedy,2.0,49.0,33.16260162601626
e-greedy,2.0,50.0,33.09756097560975
e-greedy,2.0,51.0,33.16260162601626
e-greedy,2.0,52.0,33.21138211382114
e-greedy,2.0,53.0,33.13008130081301
e-greedy,2.0,54.0,33.113821138211385
e-greedy,2.0,55.0,33.24390243902439
e-greedy,2.0,56.0,33.32520325203252
e-greedy,2.0,57.0,33.203252032520325
e-greedy,2.0,58.0,33.3089430894309
e-greedy,2.0,59.0,33.27642276422764
e-greedy,2.0,60.0,33.28455284552845
e-greedy,2.0,61.0,33.447154471544714
e-greedy,2.0,62.0,33.357723577235774
e-greedy,2.0,63.0,33.31707317073171
e-greedy,2.0,64.0,33.40650406504065
e-greedy,2.0,65.0,33.43089430894309
e-greedy,2.0,66.0,33.38211382113821
e-greedy,2.0,67.0,33.41463414634146
e-greedy,2.0,68.0,33.36585365853659
e-greedy,2.0,69.0,33.43089430894309
e-greedy,2.0,70.0,33.43089430894309
e-greedy,2.0,71.0,33.58536585365854
e-greedy,2.0,72.0,33.52845528455285
e-greedy,2.0,73.0,33.52845528455285
e-greedy,2.0,74.0,33.45528455284553
e-greedy,2.0,75.0,33.31707317073171
e-greedy,2.0,76.0,33.333333333333336
e-greedy,2.0,77.0,33.28455284552845
e-greedy,2.0,78.0,33.32520325203252
e-greedy,2.0,79.0,33.34146341463415
e-greedy,2.0,80.0,33.4390243902439
e-greedy,2.0,81.0,33.447154471544714
e-greedy,2.0,82.0,33.300813008130085
e-greedy,2.0,83.0,33.52845528455285
e-greedy,2.0,84.0,33.3739837398374
e-greedy,2.0,85.0,33.51219512195122
e-greedy,2.0,86.0,33.43089430894309
e-greedy,2.0,87.0,33.3739837398374
e-greedy,2.0,88.0,33.42276422764228
e-greedy,2.0,89.0,33.39837398373984
e-greedy,2.0,90.0,33.40650406504065
e-greedy,2.0,91.0,33.300813008130085
e-greedy,2.0,92.0,33.42276422764228
e-greedy,2.0,93.0,33.56910569105691
e-greedy,2.0,94.0,33.46341463414634
e-greedy,2.0,95.0,33.52845528455285
e-greedy,2.0,96.0,33.49593495934959
e-greedy,2.0,97.0,33.36585365853659
e-greedy,2.0,98.0,33.39837398373984
e-greedy,2.0,99.0,33.447154471544714
ez-greedy,0.0,0.0,3.5772357723577235
ez-greedy,0.0,1.0,14.390243902439025
ez-greedy,0.0,2.0,22.92682926829268
ez-greedy,0.0,3.0,27.44715447154472
ez-greedy,0.0,4.0,29.552845528455286
ez-greedy,0.0,5.0,30.13821138211382
ez-greedy,0.0,6.0,30.6260162601626
ez-greedy,0.0,7.0,30.853658536585368
ez-greedy,0.0,8.0,30.92682926829268
ez-greedy,0.0,9.0,31.09756097560976
ez-greedy,0.0,10.0,31.390243902439025
ez-greedy,0.0,11.0,31.3739837398374
ez-greedy,0.0,12.0,31.682926829268293
ez-greedy,0.0,13.0,31.414634146341463
ez-greedy,0.0,14.0,31.520325203252032
ez-greedy,0.0,15.0,31.552845528455286
ez-greedy,0.0,16.0,31.666666666666668
ez-greedy,0.0,17.0,31.67479674796748
ez-greedy,0.0,18.0,31.577235772357724
ez-greedy,0.0,19.0,31.72357723577236
ez-greedy,0.0,20.0,31.585365853658537
ez-greedy,0.0,21.0,31.634146341463413
ez-greedy,0.0,22.0,31.528455284552845
ez-greedy,0.0,23.0,31.764227642276424
ez-greedy,0.0,24.0,31.585365853658537
ez-greedy,0.0,25.0,31.65040650406504
ez-greedy,0.0,26.0,31.6260162601626
ez-greedy,0.0,27.0,31.67479674796748
ez-greedy,0.0,28.0,31.642276422764223
ez-greedy,0.0,29.0,31.84552845528455
ez-greedy,0.0,30.0,31.75609756097561
ez-greedy,0.0,31.0,31.869918699187
ez-greedy,0.0,32.0,31.951219512195124
ez-greedy,0.0,33.0,32.073170731707314
ez-greedy,0.0,34.0,31.951219512195124
ez-greedy,0.0,35.0,32.04878048780488
ez-greedy,0.0,36.0,32.0
ez-greedy,0.0,37.0,31.96747967479675
ez-greedy,0.0,38.0,31.98373983739837
ez-greedy,0.0,39.0,31.84552845528455
ez-greedy,0.0,40.0,32.1219512195122
ez-greedy,0.0,41.0,31.93495934959349
ez-greedy,0.0,42.0,32.113821138211385
