method,run,iteration,train_episode_returns
e-greedy,0.0,0.0,134.66321243523316
e-greedy,0.0,1.0,620.5141388174807
e-greedy,0.0,2.0,961.9411764705884
e-greedy,0.0,3.0,1397.4433656957929
e-greedy,0.0,4.0,2192.932330827068
e-greedy,0.0,5.0,3565.286343612335
e-greedy,0.0,6.0,3828.5135135135138
e-greedy,0.0,7.0,3908.3333333333335
e-greedy,0.0,8.0,3857.285067873303
e-greedy,0.0,9.0,4006.561085972851
e-greedy,0.0,10.0,3963.031674208145
e-greedy,0.0,11.0,3856.991150442478
e-greedy,0.0,12.0,3869.911894273128
e-greedy,0.0,13.0,3742.401746724891
e-greedy,0.0,14.0,3648.451327433628
e-greedy,0.0,15.0,3763.183856502242
e-greedy,0.0,16.0,3561.538461538461
e-greedy,0.0,17.0,3550.2272727272725
e-greedy,0.0,18.0,3472.844036697248
e-greedy,0.0,19.0,3424.4036697247707
e-greedy,0.0,20.0,3612.307692307693
e-greedy,0.0,21.0,3900.568720379146
e-greedy,0.0,22.0,3970.904761904762
e-greedy,0.0,23.0,3998.2296650717694
e-greedy,0.0,24.0,4119.808612440192
e-greedy,0.0,25.0,4204.271844660194
e-greedy,0.0,26.0,4165.217391304348
e-greedy,0.0,27.0,4214.805825242718
e-greedy,0.0,28.0,4430.55
e-greedy,0.0,29.0,4256.9607843137255
e-greedy,0.0,30.0,4292.660098522168
e-greedy,0.0,31.0,4195.609756097561
e-greedy,0.0,32.0,4216.1274509803925
e-greedy,0.0,33.0,4408.366336633663
e-greedy,0.0,34.0,4379.158415841584
e-greedy,0.0,35.0,4653.108808290155
e-greedy,0.0,36.0,4765.1832460732985
e-greedy,0.0,37.0,5103.315217391304
e-greedy,0.0,38.0,5335.911602209945
e-greedy,0.0,39.0,6028.011695906433
e-greedy,0.0,40.0,6457.987804878048
e-greedy,0.0,41.0,6517.730061349694
e-greedy,0.0,42.0,6469.938650306748
e-greedy,0.0,43.0,6578.20987654321
e-greedy,0.0,44.0,6779.559748427673
e-greedy,0.0,45.0,7000.382165605096
e-greedy,0.0,46.0,7176.967741935484
e-greedy,0.0,47.0,7091.783439490446
e-greedy,0.0,48.0,7753.4
e-greedy,0.0,49.0,7613.202614379085
e-greedy,0.0,50.0,7438.333333333333
e-greedy,0.0,51.0,7864.635761589404
e-greedy,0.0,52.0,7516.948051948052
e-greedy,0.0,53.0,7990.0
e-greedy,0.0,54.0,7993.108108108108
e-greedy,0.0,55.0,8057.094594594595
e-greedy,0.0,56.0,7667.894736842105
e-greedy,0.0,57.0,7312.75641025641
e-greedy,0.0,58.0,7340.897435897436
e-greedy,0.0,59.0,7812.933333333333
e-greedy,0.0,60.0,7774.697986577181
e-greedy,0.0,61.0,7738.266666666666
e-greedy,0.0,62.0,7345.483870967741
e-greedy,0.0,63.0,7869.86577181208
e-greedy,0.0,64.0,7647.171052631579
e-greedy,0.0,65.0,7872.333333333333
e-greedy,0.0,66.0,7843.133333333333
e-greedy,0.0,67.0,7832.933333333333
e-greedy,0.0,68.0,7629.803921568628
e-greedy,0.0,69.0,7464.516129032259
e-greedy,0.0,70.0,7663.006535947712
e-greedy,0.0,71.0,7609.350649350649
e-greedy,0.0,72.0,7687.254901960784
e-greedy,0.0,73.0,7796.490066225166
e-greedy,0.0,74.0,7982.818791946309
e-greedy,0.0,75.0,7927.483443708609
e-greedy,0.0,76.0,8086.486486486487
e-greedy,0.0,77.0,8055.771812080537
e-greedy,0.0,78.0,7964.701986754967
e-greedy,0.0,79.0,8054.666666666667
e-greedy,0.0,80.0,7702.894736842105
e-greedy,0.0,81.0,7635.882352941177
e-greedy,0.0,82.0,7996.845637583892
e-greedy,0.0,83.0,7987.181208053691
e-greedy,0.0,84.0,8238.243243243243
e-greedy,0.0,85.0,7894.900662251655
e-greedy,0.0,86.0,7703.660130718954
e-greedy,0.0,87.0,7431.337579617834
e-greedy,0.0,88.0,7807.434210526316
e-greedy,0.0,89.0,8180.604026845637
e-greedy,0.0,90.0,7919.271523178808
e-greedy,0.0,91.0,7802.05298013245
e-greedy,0.0,92.0,8019.054054054054
e-greedy,0.0,93.0,7897.266666666666
e-greedy,0.0,94.0,8095.878378378378
e-greedy,0.0,95.0,7905.761589403974
e-greedy,0.0,96.0,8267.328767123288
e-greedy,0.0,97.0,7949.8
e-greedy,0.0,98.0,7785.333333333333
e-greedy,0.0,99.0,7976.866666666667
e-greedy,1.0,0.0,110.50335570469798
e-greedy,1.0,1.0,404.115523465704
e-greedy,1.0,2.0,778.9235127478754
e-greedy,1.0,3.0,1739.8986486486488
e-greedy,1.0,4.0,2791.788617886179
e-greedy,1.0,5.0,3090.169491525424
e-greedy,1.0,6.0,3232.692307692308
e-greedy,1.0,7.0,3314.7008547008545
e-greedy,1.0,8.0,3499.780701754386
e-greedy,1.0,9.0,3488.1115879828326
