method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,309.5327102803738
vpd_simhash,0.0,1.0,489.1056910569106
vpd_simhash,0.0,2.0,979.2233009708738
vpd_simhash,0.0,3.0,1694.4378698224853
vpd_simhash,0.0,4.0,2029.3413173652696
vpd_simhash,0.0,5.0,2511.2258064516127
vpd_simhash,0.0,6.0,2835.2317880794703
vpd_simhash,0.0,7.0,3115.068493150685
vpd_simhash,0.0,8.0,3231.6666666666665
vpd_simhash,0.0,9.0,3636.029411764706
vpd_simhash,0.0,10.0,3694.890510948905
vpd_simhash,0.0,11.0,3802.6277372262775
vpd_simhash,0.0,12.0,4013.3333333333335
vpd_simhash,0.0,13.0,4351.181102362205
vpd_simhash,0.0,14.0,4203.565891472868
vpd_simhash,0.0,15.0,4437.936507936508
vpd_simhash,0.0,16.0,4828.403361344538
vpd_simhash,0.0,17.0,4919.327731092437
vpd_simhash,0.0,18.0,4888.833333333333
vpd_simhash,0.0,19.0,4905.666666666667
vpd_simhash,0.0,20.0,4771.147540983607
vpd_simhash,0.0,21.0,5047.350427350428
vpd_simhash,0.0,22.0,4904.0
vpd_simhash,0.0,23.0,5142.222222222223
vpd_simhash,0.0,24.0,5558.918918918919
vpd_simhash,0.0,25.0,5557.678571428572
vpd_simhash,0.0,26.0,5175.478260869565
vpd_simhash,0.0,27.0,5470.796460176991
vpd_simhash,0.0,28.0,5435.263157894737
vpd_simhash,0.0,29.0,4992.666666666667
vpd_simhash,0.0,30.0,5395.575221238938
vpd_simhash,0.0,31.0,5382.831858407079
vpd_simhash,0.0,32.0,5426.371681415929
vpd_simhash,0.0,33.0,5348.596491228071
vpd_simhash,0.0,34.0,5148.275862068966
vpd_simhash,0.0,35.0,4884.793388429752
vpd_simhash,0.0,36.0,4986.5
vpd_simhash,0.0,37.0,5269.217391304348
vpd_simhash,0.0,38.0,4876.833333333333
vpd_simhash,0.0,39.0,5328.0
vpd_simhash,0.0,40.0,4891.666666666667
vpd_simhash,0.0,41.0,4915.46218487395
vpd_simhash,0.0,42.0,4985.0
vpd_simhash,0.0,43.0,4789.586776859504
vpd_simhash,0.0,44.0,4777.685950413224
vpd_simhash,0.0,45.0,5181.35593220339
vpd_simhash,0.0,46.0,5345.217391304348
vpd_simhash,0.0,47.0,4959.166666666667
vpd_simhash,0.0,48.0,5149.137931034483
vpd_simhash,0.0,49.0,4770.491803278688
vpd_simhash,0.0,50.0,4804.754098360656
vpd_simhash,0.0,51.0,5278.9473684210525
vpd_simhash,0.0,52.0,5074.067796610169
vpd_simhash,0.0,53.0,5079.145299145299
vpd_simhash,0.0,54.0,4844.628099173554
vpd_simhash,0.0,55.0,4808.5950413223145
vpd_simhash,0.0,56.0,5255.652173913043
vpd_simhash,0.0,57.0,5300.70796460177
vpd_simhash,0.0,58.0,5320.877192982456
vpd_simhash,0.0,59.0,5259.649122807017
