method,run,iteration,train_episode_returns
e-greedy,0.0,0.0,150.87719298245614
e-greedy,0.0,1.0,61.47342995169082
e-greedy,0.0,2.0,65.8273381294964
e-greedy,0.0,3.0,72.91169451073986
e-greedy,0.0,4.0,134.09638554216866
e-greedy,0.0,5.0,177.64127764127764
e-greedy,0.0,6.0,191.20481927710844
e-greedy,0.0,7.0,260.8433734939759
e-greedy,0.0,8.0,350.9732360097324
e-greedy,0.0,9.0,421.1779448621554
e-greedy,0.0,10.0,530.4726368159204
e-greedy,0.0,11.0,569.8511166253102
e-greedy,0.0,12.0,568.2808716707021
e-greedy,0.0,13.0,566.0933660933661
e-greedy,0.0,14.0,601.7632241813602
e-greedy,0.0,15.0,651.5625
e-greedy,0.0,16.0,686.4661654135339
e-greedy,0.0,17.0,721.2158808933002
e-greedy,0.0,18.0,744.6913580246913
e-greedy,0.0,19.0,822.9899497487437
e-greedy,0.0,20.0,816.2849872773537
e-greedy,0.0,21.0,880.7213930348258
e-greedy,0.0,22.0,867.2029702970297
e-greedy,0.0,23.0,957.9075425790754
e-greedy,0.0,24.0,982.8605200945626
e-greedy,0.0,25.0,1023.1678486997636
e-greedy,0.0,26.0,1061.5839243498815
e-greedy,0.0,27.0,1127.1662763466045
e-greedy,0.0,28.0,1357.074340527578
e-greedy,0.0,29.0,1508.2309582309583
e-greedy,0.0,30.0,1578.358208955224
e-greedy,0.0,31.0,1645.758354755784
e-greedy,0.0,32.0,1767.47311827957
e-greedy,0.0,33.0,1661.340206185567
e-greedy,0.0,34.0,1842.048517520216
e-greedy,0.0,35.0,1888.5869565217392
e-greedy,0.0,36.0,1983.2869080779944
e-greedy,0.0,37.0,2027.4238227146816
e-greedy,0.0,38.0,2014.187327823692
e-greedy,0.0,39.0,2110.632183908046
e-greedy,0.0,40.0,2127.650429799427
e-greedy,0.0,41.0,2134.75073313783
e-greedy,0.0,42.0,2147.3760932944606
e-greedy,0.0,43.0,2132.640949554896
e-greedy,0.0,44.0,2185.6508875739646
e-greedy,0.0,45.0,2217.1597633136093
e-greedy,0.0,46.0,2220.8454810495627
e-greedy,0.0,47.0,2296.345029239766
e-greedy,0.0,48.0,2285.190615835777
e-greedy,0.0,49.0,2349.2447129909365
e-greedy,0.0,50.0,2323.802395209581
e-greedy,0.0,51.0,2347.447447447448
e-greedy,0.0,52.0,2338.095238095238
e-greedy,0.0,53.0,2306.6666666666665
e-greedy,0.0,54.0,2360.029069767442
e-greedy,0.0,55.0,2426.0
e-greedy,0.0,56.0,2392.6136363636365
e-greedy,0.0,57.0,2425.072463768116
e-greedy,0.0,58.0,2408.764367816092
e-greedy,0.0,59.0,2431.896551724138
e-greedy,0.0,60.0,2433.9233038348084
e-greedy,0.0,61.0,2433.771929824561
e-greedy,0.0,62.0,2500.0
e-greedy,0.0,63.0,2501.589595375722
e-greedy,0.0,64.0,2497.391304347826
e-greedy,0.0,65.0,2517.794117647059
e-greedy,0.0,66.0,2483.908045977012
e-greedy,0.0,67.0,2465.9025787965616
e-greedy,0.0,68.0,2461.4406779661017
e-greedy,0.0,69.0,2499.718309859155
e-greedy,0.0,70.0,2441.432584269663
e-greedy,0.0,71.0,2505.084745762712
e-greedy,0.0,72.0,2505.698005698005
e-greedy,0.0,73.0,2486.849315068493
e-greedy,0.0,74.0,2516.24649859944
e-greedy,0.0,75.0,2572.1153846153848
e-greedy,0.0,76.0,2531.6939890710382
e-greedy,0.0,77.0,2570.777479892761
e-greedy,0.0,78.0,2543.617021276596
e-greedy,0.0,79.0,2527.368421052632
e-greedy,0.0,80.0,2606.4643799472296
e-greedy,0.0,81.0,2609.3023255813955
e-greedy,0.0,82.0,2608.376963350785
e-greedy,0.0,83.0,2636.917098445596
