method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,2184.836956521739
vpd_simhash,0.0,1.0,3632.735042735043
vpd_simhash,0.0,2.0,7010.5021834061135
vpd_simhash,0.0,3.0,7550.60327198364
vpd_simhash,0.0,4.0,7542.043121149897
vpd_simhash,0.0,5.0,7542.24032586558
vpd_simhash,0.0,6.0,7541.255102040816
vpd_simhash,0.0,7.0,7541.724489795918
vpd_simhash,0.0,8.0,7524.012219959267
vpd_simhash,0.0,9.0,7560.224489795918
vpd_simhash,0.0,10.0,7531.448979591837
vpd_simhash,0.0,11.0,7541.321721311476
vpd_simhash,0.0,12.0,7514.602040816327
vpd_simhash,0.0,13.0,7533.755102040816
vpd_simhash,0.0,14.0,7542.897959183673
vpd_simhash,0.0,15.0,7533.176229508197
vpd_simhash,0.0,16.0,7533.561224489796
vpd_simhash,0.0,17.0,7505.70841889117
vpd_simhash,0.0,18.0,7560.612244897959
vpd_simhash,0.0,19.0,7560.0
vpd_simhash,0.0,20.0,7551.5204081632655
vpd_simhash,0.0,21.0,7541.65306122449
vpd_simhash,0.0,22.0,7560.102669404518
vpd_simhash,0.0,23.0,7560.18085106383
vpd_simhash,0.0,24.0,7573.15625
vpd_simhash,0.0,25.0,7702.068965517241
vpd_simhash,0.0,26.0,7716.609195402299
vpd_simhash,0.0,27.0,7699.112426035503
vpd_simhash,0.0,28.0,7758.695652173913
vpd_simhash,0.0,29.0,7757.857142857143
vpd_simhash,0.0,30.0,7773.384074941452
vpd_simhash,0.0,31.0,7774.03981264637
vpd_simhash,0.0,32.0,7774.065420560748
vpd_simhash,0.0,33.0,7776.7723004694835
vpd_simhash,0.0,34.0,7784.093137254902
vpd_simhash,0.0,35.0,8006.4
vpd_simhash,0.0,36.0,8322.660714285714
vpd_simhash,0.0,37.0,7960.718085106383
vpd_simhash,0.0,38.0,10688.564814814816
vpd_simhash,0.0,39.0,11315.589743589744
vpd_simhash,0.0,40.0,12893.668639053254
vpd_simhash,0.0,41.0,13167.852348993289
vpd_simhash,0.0,42.0,13811.434782608696
vpd_simhash,0.0,43.0,13993.989361702128
vpd_simhash,0.0,44.0,14256.535087719298
vpd_simhash,0.0,45.0,14913.607142857143
vpd_simhash,0.0,46.0,19389.10714285714
vpd_simhash,0.0,47.0,20200.50295857988
vpd_simhash,0.0,48.0,20725.38235294117
vpd_simhash,0.0,49.0,22051.006944444445
vpd_simhash,0.0,50.0,26833.06818181818
vpd_simhash,0.0,51.0,28007.432432432437
vpd_simhash,0.0,52.0,28149.62121212121
vpd_simhash,0.0,53.0,28258.88111888112
vpd_simhash,0.0,54.0,27925.9375
vpd_simhash,0.0,55.0,28057.33870967742
vpd_simhash,0.0,56.0,28658.695652173912
vpd_simhash,0.0,57.0,28783.33333333333
vpd_simhash,0.0,58.0,28954.95238095238
vpd_simhash,0.0,59.0,30395.04807692308
vpd_simhash,0.0,60.0,31569.51219512195
vpd_simhash,0.0,61.0,32983.86178861788
vpd_simhash,0.0,62.0,32542.716535433072
vpd_simhash,0.0,63.0,33493.69918699187
vpd_simhash,0.0,64.0,33705.74074074074
vpd_simhash,0.0,65.0,34000.07462686567
vpd_simhash,0.0,66.0,34424.12
vpd_simhash,0.0,67.0,34250.90551181103
vpd_simhash,0.0,68.0,34556.259842519685
vpd_simhash,0.0,69.0,35169.19117647059
vpd_simhash,0.0,70.0,34874.444444444445
vpd_simhash,0.0,71.0,35701.26865671642
vpd_simhash,0.0,72.0,35120.827067669175
vpd_simhash,0.0,73.0,34931.51515151515
vpd_simhash,0.0,74.0,35566.829268292684
vpd_simhash,0.0,75.0,34424.032258064515
vpd_simhash,0.0,76.0,35772.64150943396
vpd_simhash,0.0,77.0,34574.142857142855
vpd_simhash,0.0,78.0,34810.24509803922
vpd_simhash,0.0,79.0,35423.794642857145
vpd_simhash,0.0,80.0,34923.67768595041
vpd_simhash,0.0,81.0,34507.87037037037
vpd_simhash,0.0,82.0,35988.88888888889
vpd_simhash,0.0,83.0,35679.6875
vpd_simhash,0.0,84.0,35509.291666666664
vpd_simhash,0.0,85.0,35923.76
vpd_simhash,0.0,86.0,36288.07377049181
vpd_simhash,0.0,87.0,36347.54807692308
vpd_simhash,0.0,88.0,36707.608695652176
vpd_simhash,0.0,89.0,36571.49425287356
vpd_simhash,0.0,90.0,36792.74725274725
vpd_simhash,0.0,91.0,36456.348314606745
vpd_simhash,0.0,92.0,36823.27380952381
vpd_simhash,0.0,93.0,37101.47435897436
vpd_simhash,0.0,94.0,36912.990654205605
vpd_simhash,0.0,95.0,36644.11016949153
vpd_simhash,0.0,96.0,36734.625
vpd_simhash,0.0,97.0,36370.43103448276
vpd_simhash,0.0,98.0,36971.80555555556
vpd_simhash,0.0,99.0,36609.42857142857
vpd_simhash,1.0,0.0,747.1100917431193
vpd_simhash,1.0,1.0,4637.051282051282
vpd_simhash,1.0,2.0,7507.6658767772515
vpd_simhash,1.0,3.0,7620.185185185185
vpd_simhash,1.0,4.0,7655.535714285715
vpd_simhash,1.0,5.0,7681.269035532995
vpd_simhash,1.0,6.0,7750.082872928177
vpd_simhash,1.0,7.0,7761.782477341389
vpd_simhash,1.0,8.0,7736.07476635514
vpd_simhash,1.0,9.0,7836.977401129943
vpd_simhash,1.0,10.0,8575.923694779116
vpd_simhash,1.0,11.0,12066.395939086296
vpd_simhash,1.0,12.0,13492.71875
vpd_simhash,1.0,13.0,13739.6875
vpd_simhash,1.0,14.0,13833.73076923077
vpd_simhash,1.0,15.0,14235.0
vpd_simhash,1.0,16.0,14324.285714285714
vpd_simhash,1.0,17.0,16142.740963855422
vpd_simhash,1.0,18.0,18343.07453416149
vpd_simhash,1.0,19.0,20117.571428571428
vpd_simhash,1.0,20.0,20942.464788732395
vpd_simhash,1.0,21.0,21002.635135135137
vpd_simhash,1.0,22.0,21105.514705882357
vpd_simhash,1.0,23.0,21172.5
vpd_simhash,1.0,24.0,20956.460674157304
vpd_simhash,1.0,25.0,21250.821917808214
vpd_simhash,1.0,26.0,21256.385542168675
vpd_simhash,1.0,27.0,21557.753623188404
vpd_simhash,1.0,28.0,22001.84210526316
vpd_simhash,1.0,29.0,21845.08333333333
vpd_simhash,1.0,30.0,21782.822580645163
vpd_simhash,1.0,31.0,22320.37037037037
vpd_simhash,1.0,32.0,21969.22413793104
vpd_simhash,1.0,33.0,22132.14285714286
vpd_simhash,1.0,34.0,22168.070175438595
vpd_simhash,1.0,35.0,22317.542372881355
vpd_simhash,1.0,36.0,22224.310344827587
vpd_simhash,1.0,37.0,22380.344827586207
vpd_simhash,1.0,38.0,22238.387096774197
vpd_simhash,1.0,39.0,21798.444444444445
vpd_simhash,1.0,40.0,22422.941176470587
vpd_simhash,1.0,41.0,23480.796460176996
vpd_simhash,1.0,42.0,25361.69491525424
vpd_simhash,1.0,43.0,26903.73287671233
vpd_simhash,1.0,44.0,27833.503184713376
vpd_simhash,1.0,45.0,27727.377622377626
vpd_simhash,1.0,46.0,28324.375
vpd_simhash,1.0,47.0,28329.84496124031
vpd_simhash,1.0,48.0,28379.5871559633
vpd_simhash,1.0,49.0,28527.5
vpd_simhash,1.0,50.0,28435.274725274725
vpd_simhash,1.0,51.0,28253.52
vpd_simhash,1.0,52.0,28415.0
vpd_simhash,1.0,53.0,27820.413533834588
vpd_simhash,1.0,54.0,28470.76923076923
vpd_simhash,1.0,55.0,26488.552631578947
vpd_simhash,1.0,56.0,29193.07692307692
vpd_simhash,1.0,57.0,31008.67256637168
vpd_simhash,1.0,58.0,34669.35344827586
vpd_simhash,1.0,59.0,34371.25
vpd_simhash,1.0,60.0,35730.924369747896
vpd_simhash,1.0,61.0,35968.13492063492
vpd_simhash,1.0,62.0,36120.87301587302
vpd_simhash,1.0,63.0,36207.5
vpd_simhash,1.0,64.0,35833.333333333336
vpd_simhash,1.0,65.0,35686.21951219512
vpd_simhash,1.0,66.0,36246.328125
vpd_simhash,1.0,67.0,35847.32558139535
vpd_simhash,1.0,68.0,36470.078125
vpd_simhash,1.0,69.0,36652.65625
