method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,-15.205479452054794
vpd_simhash,0.0,1.0,-13.547945205479452
vpd_simhash,0.0,2.0,-10.684931506849315
vpd_simhash,0.0,3.0,-7.917808219178082
vpd_simhash,0.0,4.0,-5.6438356164383565
vpd_simhash,0.0,5.0,-4.208333333333333
vpd_simhash,0.0,6.0,-4.208333333333333
vpd_simhash,0.0,7.0,-3.736111111111111
vpd_simhash,0.0,8.0,-3.0135135135135136
vpd_simhash,0.0,9.0,-2.1486486486486487
vpd_simhash,0.0,10.0,-1.9054054054054053
vpd_simhash,0.0,11.0,-1.75
vpd_simhash,0.0,12.0,-1.608108108108108
vpd_simhash,0.0,13.0,-1.7894736842105263
vpd_simhash,0.0,14.0,-1.7866666666666666
vpd_simhash,0.0,15.0,-1.2
vpd_simhash,0.0,16.0,-1.5333333333333334
vpd_simhash,0.0,17.0,-1.5945945945945943
vpd_simhash,0.0,18.0,-1.364864864864865
vpd_simhash,0.0,19.0,-1.2297297297297298
vpd_simhash,0.0,20.0,-1.0135135135135136
vpd_simhash,0.0,21.0,-0.9041095890410958
vpd_simhash,0.0,22.0,-1.0684931506849316
vpd_simhash,0.0,23.0,-1.1756756756756757
vpd_simhash,0.0,24.0,-1.3194444444444444
vpd_simhash,0.0,25.0,-0.9452054794520548
vpd_simhash,0.0,26.0,-1.2083333333333333
vpd_simhash,0.0,27.0,-1.4444444444444444
vpd_simhash,0.0,28.0,-1.726027397260274
vpd_simhash,0.0,29.0,-1.273972602739726
vpd_simhash,0.0,30.0,-1.726027397260274
vpd_simhash,0.0,31.0,-2.202702702702702
vpd_simhash,0.0,32.0,-2.2054794520547945
vpd_simhash,0.0,33.0,-1.7083333333333333
vpd_simhash,0.0,34.0,-1.6712328767123288
vpd_simhash,0.0,35.0,-2.175675675675676
vpd_simhash,0.0,36.0,-1.635135135135135
vpd_simhash,0.0,37.0,-1.554054054054054
vpd_simhash,0.0,38.0,-1.5810810810810811
vpd_simhash,0.0,39.0,-0.8648648648648649
vpd_simhash,0.0,40.0,-1.9726027397260275
vpd_simhash,0.0,41.0,-1.945945945945946
vpd_simhash,0.0,42.0,-1.7066666666666668
vpd_simhash,0.0,43.0,-1.5
vpd_simhash,0.0,44.0,-2.24
vpd_simhash,0.0,45.0,-1.8133333333333328
vpd_simhash,0.0,46.0,-1.8243243243243243
vpd_simhash,0.0,47.0,-2.533333333333333
vpd_simhash,0.0,48.0,-2.189189189189189
vpd_simhash,0.0,49.0,-2.364864864864865
vpd_simhash,0.0,50.0,-2.5945945945945947
vpd_simhash,0.0,51.0,-2.293333333333333
vpd_simhash,0.0,52.0,-1.891891891891892
vpd_simhash,0.0,53.0,-2.0821917808219177
vpd_simhash,0.0,54.0,-1.837837837837838
vpd_simhash,0.0,55.0,-1.662162162162162
vpd_simhash,0.0,56.0,-1.9866666666666664
vpd_simhash,0.0,57.0,-1.7027027027027026
vpd_simhash,0.0,58.0,-2.22972972972973
vpd_simhash,0.0,59.0,-1.945945945945946
vpd_simhash,0.0,60.0,-2.533333333333333
vpd_simhash,0.0,61.0,-2.081081081081081
vpd_simhash,0.0,62.0,-2.3378378378378377
vpd_simhash,0.0,63.0,-1.8783783783783785
vpd_simhash,0.0,64.0,-2.4054054054054053
vpd_simhash,0.0,65.0,-2.64
vpd_simhash,0.0,66.0,-2.324324324324324
vpd_simhash,0.0,67.0,-2.054794520547945
vpd_simhash,0.0,68.0,-1.8783783783783785
vpd_simhash,0.0,69.0,-2.466666666666667
vpd_simhash,0.0,70.0,-2.702702702702702
vpd_simhash,0.0,71.0,-2.64
vpd_simhash,0.0,72.0,-2.986666666666667
vpd_simhash,0.0,73.0,-2.581081081081081
vpd_simhash,0.0,74.0,-2.202702702702702
vpd_simhash,0.0,75.0,-2.72972972972973
vpd_simhash,0.0,76.0,-2.472972972972973
vpd_simhash,0.0,77.0,-2.0821917808219177
vpd_simhash,0.0,78.0,-2.453333333333333
vpd_simhash,0.0,79.0,-2.189189189189189
vpd_simhash,0.0,80.0,-2.466666666666667
vpd_simhash,0.0,81.0,-2.945945945945946
vpd_simhash,0.0,82.0,-2.068493150684932
vpd_simhash,0.0,83.0,-1.8783783783783785
vpd_simhash,0.0,84.0,-2.635135135135135
vpd_simhash,0.0,85.0,-2.5945945945945947
vpd_simhash,0.0,86.0,-2.547945205479452
vpd_simhash,0.0,87.0,-2.716216216216216
vpd_simhash,0.0,88.0,-2.26027397260274
vpd_simhash,0.0,89.0,-2.4794520547945207
vpd_simhash,0.0,90.0,-2.3378378378378377
vpd_simhash,0.0,91.0,-2.675675675675676
vpd_simhash,0.0,92.0,-2.391891891891892
vpd_simhash,0.0,93.0,-2.918918918918919
vpd_simhash,0.0,94.0,-2.5205479452054798
vpd_simhash,0.0,95.0,-2.77027027027027
vpd_simhash,0.0,96.0,-3.041095890410959
