method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,27.292110874200425
vpd_simhash,0.0,1.0,29.45205479452055
vpd_simhash,0.0,2.0,81.07344632768361
vpd_simhash,0.0,3.0,177.03081232492997
vpd_simhash,0.0,4.0,390.4639175257732
vpd_simhash,0.0,5.0,431.4516129032258
vpd_simhash,0.0,6.0,470.391061452514
vpd_simhash,0.0,7.0,466.3841807909605
vpd_simhash,0.0,8.0,466.6666666666667
vpd_simhash,0.0,9.0,500.86206896551727
vpd_simhash,0.0,10.0,533.9285714285714
vpd_simhash,0.0,11.0,505.6818181818182
vpd_simhash,0.0,12.0,546.2732919254659
vpd_simhash,0.0,13.0,546.060606060606
vpd_simhash,0.0,14.0,589.2857142857143
vpd_simhash,0.0,15.0,566.9753086419753
vpd_simhash,0.0,16.0,604.2763157894736
vpd_simhash,0.0,17.0,605.5921052631579
vpd_simhash,0.0,18.0,603.59477124183
vpd_simhash,0.0,19.0,623.3108108108108
vpd_simhash,0.0,20.0,592.8571428571429
vpd_simhash,0.0,21.0,615.4362416107383
vpd_simhash,0.0,22.0,668.8356164383562
vpd_simhash,0.0,23.0,626.3513513513514
vpd_simhash,0.0,24.0,665.5405405405405
vpd_simhash,0.0,25.0,604.635761589404
vpd_simhash,0.0,26.0,628.0
vpd_simhash,0.0,27.0,621.0
vpd_simhash,0.0,28.0,624.1721854304636
vpd_simhash,0.0,29.0,630.0
vpd_simhash,0.0,30.0,632.7702702702703
vpd_simhash,0.0,31.0,628.5714285714286
vpd_simhash,0.0,32.0,677.5862068965517
vpd_simhash,0.0,33.0,643.8775510204082
vpd_simhash,0.0,34.0,695.8041958041958
vpd_simhash,0.0,35.0,674.822695035461
vpd_simhash,0.0,36.0,658.6805555555555
vpd_simhash,0.0,37.0,665.625
vpd_simhash,0.0,38.0,629.9342105263158
vpd_simhash,0.0,39.0,636.5771812080537
vpd_simhash,0.0,40.0,649.3197278911565
vpd_simhash,0.0,41.0,668.6619718309859
vpd_simhash,0.0,42.0,676.6187050359712
vpd_simhash,0.0,43.0,664.8275862068965
vpd_simhash,0.0,44.0,656.4625850340136
vpd_simhash,0.0,45.0,654.0540540540541
vpd_simhash,0.0,46.0,654.3918918918919
vpd_simhash,0.0,47.0,646.40522875817
vpd_simhash,0.0,48.0,661.6438356164383
vpd_simhash,0.0,49.0,675.6944444444445
vpd_simhash,0.0,50.0,659.4594594594595
vpd_simhash,0.0,51.0,657.4324324324324
vpd_simhash,0.0,52.0,626.9230769230769
vpd_simhash,0.0,53.0,652.9801324503311
vpd_simhash,0.0,54.0,652.6666666666666
vpd_simhash,0.0,55.0,659.7972972972973
vpd_simhash,0.0,56.0,655.2980132450331
vpd_simhash,0.0,57.0,677.6223776223776
vpd_simhash,0.0,58.0,649.3333333333334
vpd_simhash,0.0,59.0,652.6315789473684
vpd_simhash,0.0,60.0,650.3311258278146
vpd_simhash,0.0,61.0,652.317880794702
vpd_simhash,0.0,62.0,641.6129032258065
vpd_simhash,0.0,63.0,600.9036144578313
vpd_simhash,0.0,64.0,589.1812865497076
vpd_simhash,0.0,65.0,535.978835978836
vpd_simhash,0.0,66.0,522.4226804123712
vpd_simhash,0.0,67.0,541.9354838709677
vpd_simhash,0.0,68.0,545.7219251336899
vpd_simhash,0.0,69.0,570.1657458563536
vpd_simhash,0.0,70.0,557.5675675675676
vpd_simhash,0.0,71.0,568.3060109289618
vpd_simhash,0.0,72.0,550.531914893617
vpd_simhash,0.0,73.0,549.1978609625669
vpd_simhash,0.0,74.0,557.2972972972973
vpd_simhash,0.0,75.0,572.2527472527472
vpd_simhash,0.0,76.0,538.0102040816327
vpd_simhash,0.0,77.0,548.6842105263158
vpd_simhash,0.0,78.0,565.4054054054054
vpd_simhash,0.0,79.0,555.5851063829788
vpd_simhash,0.0,80.0,577.9005524861878
vpd_simhash,0.0,81.0,574.0331491712707
vpd_simhash,0.0,82.0,604.8913043478261
vpd_simhash,0.0,83.0,555.8823529411765
vpd_simhash,0.0,84.0,557.7540106951872
vpd_simhash,0.0,85.0,572.9508196721312
vpd_simhash,0.0,86.0,554.812834224599
vpd_simhash,0.0,87.0,555.7291666666666
vpd_simhash,0.0,88.0,556.0846560846561
vpd_simhash,0.0,89.0,586.1111111111111
vpd_simhash,0.0,90.0,594.3820224719101
vpd_simhash,0.0,91.0,578.1767955801105
vpd_simhash,0.0,92.0,605.4347826086956
vpd_simhash,0.0,93.0,643.6046511627907
vpd_simhash,0.0,94.0,596.9101123595506
vpd_simhash,0.0,95.0,617.7777777777778
vpd_simhash,0.0,96.0,569.6236559139785
vpd_simhash,0.0,97.0,629.6195652173913
