method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,1612.2222222222222
vpd_simhash,0.0,1.0,3115.6593406593406
vpd_simhash,0.0,2.0,3628.395721925134
vpd_simhash,0.0,3.0,4582.925531914893
vpd_simhash,0.0,4.0,6405.945945945946
vpd_simhash,0.0,5.0,6814.375
vpd_simhash,0.0,6.0,6651.542288557214
vpd_simhash,0.0,7.0,6938.793969849246
vpd_simhash,0.0,8.0,6959.195979899498
vpd_simhash,0.0,9.0,6909.455445544554
vpd_simhash,0.0,10.0,6786.975609756098
vpd_simhash,0.0,11.0,6735.12077294686
vpd_simhash,0.0,12.0,6206.590909090909
vpd_simhash,0.0,13.0,5545.188284518828
vpd_simhash,0.0,14.0,5248.870967741936
vpd_simhash,0.0,15.0,4887.480916030534
vpd_simhash,0.0,16.0,4508.768115942029
vpd_simhash,0.0,17.0,4718.389513108615
vpd_simhash,0.0,18.0,4653.531598513011
vpd_simhash,0.0,19.0,4876.259541984733
vpd_simhash,0.0,20.0,5052.896825396825
vpd_simhash,0.0,21.0,5193.574297188755
vpd_simhash,0.0,22.0,5234.556451612903
vpd_simhash,0.0,23.0,4817.651515151515
vpd_simhash,0.0,24.0,4956.0546875
vpd_simhash,0.0,25.0,4846.590038314176
vpd_simhash,0.0,26.0,4555.535055350553
vpd_simhash,0.0,27.0,5467.824267782426
vpd_simhash,0.0,28.0,5324.814814814815
vpd_simhash,0.0,29.0,5331.224489795918
vpd_simhash,0.0,30.0,5174.16
vpd_simhash,0.0,31.0,5113.187250996016
vpd_simhash,0.0,32.0,4956.171875
vpd_simhash,0.0,33.0,5224.435483870968
vpd_simhash,0.0,34.0,5031.587301587301
vpd_simhash,0.0,35.0,5180.4838709677415
vpd_simhash,0.0,36.0,4670.639097744361
vpd_simhash,0.0,37.0,5190.524193548387
vpd_simhash,0.0,38.0,5222.388663967611
vpd_simhash,0.0,39.0,4758.429118773946
vpd_simhash,0.0,40.0,4818.139534883721
vpd_simhash,0.0,41.0,5195.975609756098
vpd_simhash,0.0,42.0,5086.385542168675
vpd_simhash,0.0,43.0,5517.510548523207
vpd_simhash,0.0,44.0,5033.5317460317465
vpd_simhash,0.0,45.0,5184.556451612903
vpd_simhash,0.0,46.0,5245.691056910569
vpd_simhash,0.0,47.0,5235.308641975309
vpd_simhash,0.0,48.0,4792.325581395349
vpd_simhash,0.0,49.0,4795.193798449613
vpd_simhash,0.0,50.0,5210.367346938776
vpd_simhash,0.0,51.0,4555.393258426966
vpd_simhash,0.0,52.0,5135.975609756098
vpd_simhash,0.0,53.0,5097.298387096775
vpd_simhash,0.0,54.0,4937.549407114625
vpd_simhash,0.0,55.0,4932.529644268775
vpd_simhash,0.0,56.0,4934.392156862745
vpd_simhash,0.0,57.0,4900.787401574803
vpd_simhash,0.0,58.0,5387.791666666667
vpd_simhash,0.0,59.0,5139.392712550607
vpd_simhash,0.0,60.0,4448.819188191882
vpd_simhash,0.0,61.0,4825.5078125
vpd_simhash,0.0,62.0,4796.484375
vpd_simhash,0.0,63.0,4596.603053435115
vpd_simhash,0.0,64.0,4738.648648648648
vpd_simhash,0.0,65.0,4689.807692307692
vpd_simhash,0.0,66.0,4734.980544747082
vpd_simhash,0.0,67.0,4298.962962962963
vpd_simhash,0.0,68.0,4555.698113207547
vpd_simhash,0.0,69.0,4838.385826771653
vpd_simhash,0.0,70.0,4576.24521072797
vpd_simhash,0.0,71.0,4242.945454545455
vpd_simhash,0.0,72.0,4650.269230769231
vpd_simhash,0.0,73.0,4357.259259259259
vpd_simhash,0.0,74.0,4816.653386454183
vpd_simhash,0.0,75.0,4545.992366412213
vpd_simhash,0.0,76.0,4891.084337349397
vpd_simhash,0.0,77.0,4730.748031496063
vpd_simhash,0.0,78.0,4710.583657587548
vpd_simhash,0.0,79.0,4839.126984126984
vpd_simhash,0.0,80.0,4904.25702811245
