method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,108.65671641791045
vpd_simhash,0.0,1.0,2348.1481481481483
vpd_simhash,0.0,2.0,8804.310344827587
vpd_simhash,0.0,3.0,10524.271844660194
vpd_simhash,0.0,4.0,10682.52427184466
vpd_simhash,0.0,5.0,10046.22641509434
vpd_simhash,0.0,6.0,10195.14563106796
vpd_simhash,0.0,7.0,13622.988505747126
vpd_simhash,0.0,8.0,14809.411764705885
vpd_simhash,0.0,9.0,16690.123456790123
vpd_simhash,0.0,10.0,20284.0
vpd_simhash,0.0,11.0,19361.627906976744
vpd_simhash,0.0,12.0,20401.14942528736
vpd_simhash,0.0,13.0,20210.112359550563
vpd_simhash,0.0,14.0,20449.42528735632
vpd_simhash,0.0,15.0,20682.558139534885
vpd_simhash,0.0,16.0,20208.988764044945
vpd_simhash,0.0,17.0,20157.471264367818
vpd_simhash,0.0,18.0,20636.7816091954
vpd_simhash,0.0,19.0,20694.31818181818
vpd_simhash,0.0,20.0,21048.275862068964
vpd_simhash,0.0,21.0,19522.727272727272
vpd_simhash,0.0,22.0,20719.04761904762
vpd_simhash,0.0,23.0,16930.107526881722
vpd_simhash,0.0,24.0,15962.886597938144
vpd_simhash,0.0,25.0,16638.297872340427
vpd_simhash,0.0,26.0,17048.91304347826
vpd_simhash,0.0,27.0,17323.595505617977
vpd_simhash,0.0,28.0,17910.227272727272
vpd_simhash,0.0,29.0,17133.695652173912
vpd_simhash,0.0,30.0,18263.529411764703
vpd_simhash,0.0,31.0,17286.516853932586
vpd_simhash,0.0,32.0,18029.885057471263
vpd_simhash,0.0,33.0,17509.090909090908
vpd_simhash,0.0,34.0,18220.689655172413
vpd_simhash,0.0,35.0,17752.808988764045
vpd_simhash,0.0,36.0,19003.529411764703
vpd_simhash,0.0,37.0,17627.17391304348
vpd_simhash,0.0,38.0,17910.98901098901
vpd_simhash,0.0,39.0,18153.33333333333
vpd_simhash,0.0,40.0,18243.956043956045
vpd_simhash,0.0,41.0,19128.08988764045
vpd_simhash,0.0,42.0,19538.372093023256
vpd_simhash,0.0,43.0,18361.95652173913
vpd_simhash,0.0,44.0,19222.98850574713
vpd_simhash,0.0,45.0,18370.78651685393
vpd_simhash,0.0,46.0,17547.82608695652
vpd_simhash,0.0,47.0,17506.451612903227
vpd_simhash,0.0,48.0,18090.10989010989
vpd_simhash,0.0,49.0,19227.272727272728
vpd_simhash,0.0,50.0,19510.344827586207
vpd_simhash,0.0,51.0,18865.16853932584
vpd_simhash,0.0,52.0,20475.29411764706
vpd_simhash,0.0,53.0,19959.550561797754
vpd_simhash,0.0,54.0,20103.40909090909
vpd_simhash,0.0,55.0,20535.227272727272
vpd_simhash,0.0,56.0,20832.558139534885
vpd_simhash,0.0,57.0,20468.539325842696
vpd_simhash,0.0,58.0,22340.47619047619
vpd_simhash,0.0,59.0,22453.571428571428
vpd_simhash,0.0,60.0,21471.590909090908
vpd_simhash,0.0,61.0,22768.235294117647
vpd_simhash,0.0,62.0,23034.117647058825
vpd_simhash,0.0,63.0,21835.955056179777
vpd_simhash,0.0,64.0,22673.56321839081
vpd_simhash,0.0,65.0,23350.0
vpd_simhash,0.0,66.0,22580.459770114943
vpd_simhash,0.0,67.0,22336.04651162791
vpd_simhash,0.0,68.0,23209.41176470588
vpd_simhash,0.0,69.0,22257.30337078652
vpd_simhash,0.0,70.0,23547.674418604653
vpd_simhash,0.0,71.0,23348.275862068964
vpd_simhash,0.0,72.0,23309.090909090908
vpd_simhash,0.0,73.0,24571.42857142857
vpd_simhash,0.0,74.0,23551.16279069768
vpd_simhash,0.0,75.0,24093.023255813958
vpd_simhash,0.0,76.0,24638.372093023256
vpd_simhash,0.0,77.0,26029.62962962963
vpd_simhash,0.0,78.0,26790.123456790123
vpd_simhash,0.0,79.0,24446.590909090908
vpd_simhash,0.0,80.0,25669.87951807229
vpd_simhash,0.0,81.0,27450.0
vpd_simhash,0.0,82.0,28310.25641025641
vpd_simhash,0.0,83.0,29255.844155844155
vpd_simhash,0.0,84.0,25587.20930232558
vpd_simhash,0.0,85.0,27090.36144578313
vpd_simhash,0.0,86.0,27737.03703703704
vpd_simhash,0.0,87.0,27992.682926829268
vpd_simhash,0.0,88.0,28493.827160493827
vpd_simhash,0.0,89.0,28091.35802469136
vpd_simhash,0.0,90.0,26715.47619047619
vpd_simhash,0.0,91.0,29024.050632911392
vpd_simhash,0.0,92.0,27240.963855421687
vpd_simhash,0.0,93.0,26417.85714285714
vpd_simhash,0.0,94.0,28483.54430379747
vpd_simhash,0.0,95.0,28350.0
vpd_simhash,0.0,96.0,26925.0
vpd_simhash,0.0,97.0,26283.529411764703
vpd_simhash,0.0,98.0,26568.60465116279
vpd_simhash,0.0,99.0,28801.219512195123
vpd_simhash,1.0,0.0,162.91793313069908
vpd_simhash,1.0,1.0,2167.7272727272725
vpd_simhash,1.0,2.0,8860.344827586207
vpd_simhash,1.0,3.0,12380.41237113402
vpd_simhash,1.0,4.0,9589.516129032258
vpd_simhash,1.0,5.0,13957.009345794391
vpd_simhash,1.0,6.0,18420.212765957447
vpd_simhash,1.0,7.0,19521.505376344085
vpd_simhash,1.0,8.0,20660.869565217392
vpd_simhash,1.0,9.0,20492.134831460677
vpd_simhash,1.0,10.0,21584.090909090908
vpd_simhash,1.0,11.0,22033.72093023256
vpd_simhash,1.0,12.0,20466.666666666668
vpd_simhash,1.0,13.0,22913.636363636364
vpd_simhash,1.0,14.0,23548.809523809523
vpd_simhash,1.0,15.0,23238.372093023256
vpd_simhash,1.0,16.0,23771.0843373494
vpd_simhash,1.0,17.0,22195.454545454544
vpd_simhash,1.0,18.0,22094.25287356322
vpd_simhash,1.0,19.0,22559.77011494253
