method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,722.8320802005013
vpd_simhash,0.0,1.0,1091.09243697479
vpd_simhash,0.0,2.0,1385.8181818181818
vpd_simhash,0.0,3.0,1736.544850498339
vpd_simhash,0.0,4.0,1910.1433691756272
vpd_simhash,0.0,5.0,2144.609375
vpd_simhash,0.0,6.0,2279.6787148594376
vpd_simhash,0.0,7.0,2245.2549019607845
vpd_simhash,0.0,8.0,2348.418972332016
vpd_simhash,0.0,9.0,2324.308300395257
vpd_simhash,0.0,10.0,2361.5163934426228
vpd_simhash,0.0,11.0,2260.201612903226
vpd_simhash,0.0,12.0,2473.106382978724
vpd_simhash,0.0,13.0,2518.4415584415583
vpd_simhash,0.0,14.0,2479.253112033195
vpd_simhash,0.0,15.0,2515.234042553192
vpd_simhash,0.0,16.0,2687.387387387387
vpd_simhash,0.0,17.0,2526.6382978723404
vpd_simhash,0.0,18.0,2564.8672566371683
vpd_simhash,0.0,19.0,2603.695652173913
vpd_simhash,0.0,20.0,2718.923766816144
vpd_simhash,0.0,21.0,2499.008620689656
vpd_simhash,0.0,22.0,2838.2242990654204
vpd_simhash,0.0,23.0,2840.967741935484
vpd_simhash,0.0,24.0,2796.97247706422
vpd_simhash,0.0,25.0,2758.310502283105
vpd_simhash,0.0,26.0,2956.315789473684
vpd_simhash,0.0,27.0,2862.811059907834
vpd_simhash,0.0,28.0,2797.064220183486
vpd_simhash,0.0,29.0,3046.826923076923
vpd_simhash,0.0,30.0,2947.5117370892017
vpd_simhash,0.0,31.0,2800.954545454545
vpd_simhash,0.0,32.0,3044.7115384615386
vpd_simhash,0.0,33.0,2926.5402843601896
vpd_simhash,0.0,34.0,2937.962085308057
vpd_simhash,0.0,35.0,3091.0576923076924
vpd_simhash,0.0,36.0,3173.694581280788
vpd_simhash,0.0,37.0,3167.45
vpd_simhash,0.0,38.0,3143.173076923077
vpd_simhash,0.0,39.0,3221.932367149758
vpd_simhash,0.0,40.0,3307.0149253731342
vpd_simhash,0.0,41.0,3131.563981042654
vpd_simhash,0.0,42.0,3240.686274509804
vpd_simhash,0.0,43.0,3282.660098522168
vpd_simhash,0.0,44.0,3322.8358208955224
vpd_simhash,0.0,45.0,3279.3658536585367
vpd_simhash,0.0,46.0,3378.1553398058254
vpd_simhash,0.0,47.0,3484.97461928934
vpd_simhash,0.0,48.0,3405.05
vpd_simhash,0.0,49.0,3213.2
vpd_simhash,0.0,50.0,3439.4329896907216
vpd_simhash,0.0,51.0,3223.793103448276
vpd_simhash,0.0,52.0,3183.076923076923
vpd_simhash,0.0,53.0,3380.3030303030305
vpd_simhash,0.0,54.0,3228.855721393035
vpd_simhash,0.0,55.0,3243.3004926108374
vpd_simhash,0.0,56.0,3263.6453201970444
vpd_simhash,0.0,57.0,3394.89898989899
vpd_simhash,0.0,58.0,3419.020618556701
vpd_simhash,0.0,59.0,3500.994764397906
vpd_simhash,0.0,60.0,3531.0880829015546
vpd_simhash,0.0,61.0,3401.6666666666665
vpd_simhash,0.0,62.0,3441.708542713568
vpd_simhash,0.0,63.0,3552.565445026178
vpd_simhash,0.0,64.0,3524.1326530612246
vpd_simhash,0.0,65.0,3814.2473118279568
vpd_simhash,0.0,66.0,3772.054054054054
vpd_simhash,0.0,67.0,3652.577319587629
vpd_simhash,0.0,68.0,3663.105263157895
vpd_simhash,0.0,69.0,3592.864583333333
vpd_simhash,0.0,70.0,3811.4754098360654
vpd_simhash,0.0,71.0,3587.127659574468
vpd_simhash,0.0,72.0,3557.539267015706
vpd_simhash,0.0,73.0,3484.1237113402062
vpd_simhash,0.0,74.0,3804.972067039106
vpd_simhash,0.0,75.0,3513.6649214659687
vpd_simhash,0.0,76.0,3721.914893617021
vpd_simhash,0.0,77.0,3505.532994923858
vpd_simhash,0.0,78.0,3696.2032085561495
vpd_simhash,0.0,79.0,3755.945945945946
vpd_simhash,0.0,80.0,3675.5080213903743
vpd_simhash,0.0,81.0,3881.95530726257
vpd_simhash,0.0,82.0,3835.480225988701
vpd_simhash,0.0,83.0,3566.559139784946
vpd_simhash,0.0,84.0,3625.4545454545455
vpd_simhash,0.0,85.0,3710.972972972973
vpd_simhash,0.0,86.0,3679.2432432432433
vpd_simhash,0.0,87.0,3686.216216216216
vpd_simhash,0.0,88.0,3753.812154696133
vpd_simhash,0.0,89.0,3930.171428571429
vpd_simhash,0.0,90.0,3651.813186813187
vpd_simhash,0.0,91.0,3921.136363636364
vpd_simhash,0.0,92.0,3705.4945054945056
vpd_simhash,0.0,93.0,3777.717391304348
vpd_simhash,0.0,94.0,3930.058139534884
vpd_simhash,0.0,95.0,3957.0857142857135
vpd_simhash,0.0,96.0,3741.073446327684
vpd_simhash,0.0,97.0,3770.852272727273
vpd_simhash,0.0,98.0,3661.944444444444
vpd_simhash,0.0,99.0,3602.826086956521
vpd_simhash,1.0,0.0,853.4164588528678
vpd_simhash,1.0,1.0,1476.4485981308412
vpd_simhash,1.0,2.0,1900.6228373702425
vpd_simhash,1.0,3.0,2224.296296296296
vpd_simhash,1.0,4.0,2261.190476190476
vpd_simhash,1.0,5.0,2365.564516129032
vpd_simhash,1.0,6.0,2386.5079365079364
vpd_simhash,1.0,7.0,2341.889763779528
vpd_simhash,1.0,8.0,2350.546875
