method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,2320.112359550562
vpd_simhash,0.0,1.0,3347.4074074074074
vpd_simhash,0.0,2.0,4715.074626865671
vpd_simhash,0.0,3.0,5404.776119402985
vpd_simhash,0.0,4.0,6716.229508196721
vpd_simhash,0.0,5.0,7035.1612903225805
vpd_simhash,0.0,6.0,7340.0
vpd_simhash,0.0,7.0,7135.901639344263
vpd_simhash,0.0,8.0,7390.6557377049185
vpd_simhash,0.0,9.0,6991.451612903225
vpd_simhash,0.0,10.0,7174.237288135593
vpd_simhash,0.0,11.0,7258.666666666667
vpd_simhash,0.0,12.0,7125.0
vpd_simhash,0.0,13.0,6556.984126984127
vpd_simhash,0.0,14.0,6678.888888888889
vpd_simhash,0.0,15.0,6762.295081967213
vpd_simhash,0.0,16.0,7127.241379310345
vpd_simhash,0.0,17.0,6819.333333333333
vpd_simhash,0.0,18.0,7239.298245614035
vpd_simhash,0.0,19.0,6967.413793103448
vpd_simhash,0.0,20.0,6962.033898305085
vpd_simhash,0.0,21.0,7107.068965517241
vpd_simhash,0.0,22.0,6454.193548387097
vpd_simhash,0.0,23.0,6590.327868852459
vpd_simhash,0.0,24.0,6618.688524590164
vpd_simhash,0.0,25.0,7402.321428571428
vpd_simhash,0.0,26.0,6994.482758620689
vpd_simhash,0.0,27.0,6710.333333333333
vpd_simhash,0.0,28.0,6960.862068965517
vpd_simhash,0.0,29.0,7545.0
vpd_simhash,0.0,30.0,7681.636363636364
vpd_simhash,0.0,31.0,7098.275862068966
vpd_simhash,0.0,32.0,7306.363636363636
vpd_simhash,0.0,33.0,7003.1578947368425
vpd_simhash,0.0,34.0,7074.210526315789
vpd_simhash,0.0,35.0,7394.0
vpd_simhash,0.0,36.0,7058.571428571428
vpd_simhash,0.0,37.0,7463.584905660377
vpd_simhash,0.0,38.0,7396.226415094339
vpd_simhash,0.0,39.0,7554.62962962963
vpd_simhash,0.0,40.0,6908.596491228071
vpd_simhash,0.0,41.0,7159.818181818182
vpd_simhash,0.0,42.0,7361.698113207547
vpd_simhash,0.0,43.0,6665.254237288135
vpd_simhash,0.0,44.0,7143.636363636364
vpd_simhash,0.0,45.0,7407.358490566037
vpd_simhash,0.0,46.0,7503.962264150943
vpd_simhash,0.0,47.0,7200.0
vpd_simhash,0.0,48.0,7208.301886792453
vpd_simhash,0.0,49.0,7859.6
vpd_simhash,0.0,50.0,7554.615384615385
