method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,137.7469135802469
vpd_simhash,0.0,1.0,294.60526315789474
vpd_simhash,0.0,2.0,657.8260869565217
vpd_simhash,0.0,3.0,1559.8479087452472
vpd_simhash,0.0,4.0,2807.3931623931626
vpd_simhash,0.0,5.0,3842.012987012987
vpd_simhash,0.0,6.0,4568.035714285715
vpd_simhash,0.0,7.0,4512.962962962963
vpd_simhash,0.0,8.0,4624.893617021276
vpd_simhash,0.0,9.0,4531.5
vpd_simhash,0.0,10.0,4763.333333333333
vpd_simhash,0.0,11.0,4598.548387096775
vpd_simhash,0.0,12.0,4614.965034965035
vpd_simhash,0.0,13.0,4488.695652173913
vpd_simhash,0.0,14.0,4611.139240506329
vpd_simhash,0.0,15.0,4631.339285714285
vpd_simhash,0.0,16.0,4668.484848484848
vpd_simhash,0.0,17.0,4773.461538461538
vpd_simhash,0.0,18.0,4676.741573033708
vpd_simhash,0.0,19.0,4666.666666666667
vpd_simhash,0.0,20.0,4712.891566265061
vpd_simhash,0.0,21.0,4699.411764705882
vpd_simhash,0.0,22.0,4767.017543859649
vpd_simhash,0.0,23.0,4693.414634146341
vpd_simhash,0.0,24.0,4594.326923076923
vpd_simhash,0.0,25.0,4625.6
vpd_simhash,0.0,26.0,4688.69918699187
vpd_simhash,0.0,27.0,4686.491228070176
vpd_simhash,0.0,28.0,4608.596491228071
vpd_simhash,0.0,29.0,4590.869565217391
vpd_simhash,0.0,30.0,4616.46551724138
vpd_simhash,0.0,31.0,4562.236842105263
vpd_simhash,0.0,32.0,4640.958904109589
vpd_simhash,0.0,33.0,4586.197183098591
vpd_simhash,0.0,34.0,4670.470588235294
vpd_simhash,0.0,35.0,4573.2558139534885
vpd_simhash,0.0,36.0,4449.186046511628
vpd_simhash,0.0,37.0,4536.626506024097
vpd_simhash,0.0,38.0,4256.415094339623
vpd_simhash,0.0,39.0,4553.076923076923
vpd_simhash,0.0,40.0,4385.3125
vpd_simhash,0.0,41.0,4529.702970297029
vpd_simhash,0.0,42.0,4335.890410958904
vpd_simhash,0.0,43.0,4446.769230769231
vpd_simhash,0.0,44.0,4298.395061728395
vpd_simhash,0.0,45.0,4496.161616161616
vpd_simhash,0.0,46.0,4319.210526315789
vpd_simhash,0.0,47.0,4509.0
vpd_simhash,0.0,48.0,4725.625
vpd_simhash,0.0,49.0,4536.0
vpd_simhash,0.0,50.0,4592.545454545455
vpd_simhash,0.0,51.0,4256.226415094339
vpd_simhash,0.0,52.0,4367.017543859649
vpd_simhash,0.0,53.0,4470.526315789473
vpd_simhash,0.0,54.0,4219.285714285715
vpd_simhash,0.0,55.0,4387.272727272727
vpd_simhash,0.0,56.0,3957.857142857143
vpd_simhash,0.0,57.0,4241.857142857143
vpd_simhash,0.0,58.0,4320.0
vpd_simhash,0.0,59.0,4357.301587301588
vpd_simhash,0.0,60.0,4184.130434782609
vpd_simhash,0.0,61.0,4320.333333333333
vpd_simhash,0.0,62.0,4321.834319526627
vpd_simhash,0.0,63.0,4217.962085308057
vpd_simhash,0.0,64.0,4536.448598130841
vpd_simhash,0.0,65.0,4554.931506849315
vpd_simhash,0.0,66.0,4483.764705882353
vpd_simhash,0.0,67.0,4364.146341463415
vpd_simhash,0.0,68.0,4399.571428571428
vpd_simhash,0.0,69.0,4465.31746031746
vpd_simhash,0.0,70.0,4187.666666666667
vpd_simhash,0.0,71.0,4297.4647887323945
vpd_simhash,0.0,72.0,4298.390804597701
vpd_simhash,0.0,73.0,4473.153153153153
vpd_simhash,0.0,74.0,4249.019607843137
vpd_simhash,0.0,75.0,4440.615384615385
vpd_simhash,0.0,76.0,4335.252525252526
vpd_simhash,0.0,77.0,4330.212765957447
vpd_simhash,0.0,78.0,4335.434782608696
vpd_simhash,0.0,79.0,4250.789473684211
vpd_simhash,0.0,80.0,4288.315789473684
vpd_simhash,0.0,81.0,4040.114942528736
vpd_simhash,0.0,82.0,4054.5833333333335
vpd_simhash,0.0,83.0,4146.593406593406
vpd_simhash,0.0,84.0,4136.785714285715
vpd_simhash,0.0,85.0,3990.294117647059
vpd_simhash,0.0,86.0,3960.746268656717
vpd_simhash,0.0,87.0,3929.10447761194
vpd_simhash,0.0,88.0,4151.515151515152
vpd_simhash,0.0,89.0,4066.3953488372094
vpd_simhash,0.0,90.0,4122.424242424242
vpd_simhash,0.0,91.0,4103.082706766917
vpd_simhash,0.0,92.0,4277.303370786517
vpd_simhash,0.0,93.0,3912.19298245614
vpd_simhash,0.0,94.0,4261.038961038961
vpd_simhash,0.0,95.0,3994.574468085106
vpd_simhash,0.0,96.0,4167.466666666666
vpd_simhash,0.0,97.0,4408.285714285715
vpd_simhash,0.0,98.0,4091.017964071856
vpd_simhash,0.0,99.0,4116.0
vpd_simhash,1.0,0.0,271.5364583333333
vpd_simhash,1.0,1.0,715.3351955307263
vpd_simhash,1.0,2.0,1535.7731958762886
vpd_simhash,1.0,3.0,2705.495495495496
vpd_simhash,1.0,4.0,3594.3646408839777
vpd_simhash,1.0,5.0,4262.083333333333
vpd_simhash,1.0,6.0,4714.318181818182
vpd_simhash,1.0,7.0,4798.194444444444
vpd_simhash,1.0,8.0,4617.761194029851
vpd_simhash,1.0,9.0,4793.189655172414
vpd_simhash,1.0,10.0,4950.206896551724
vpd_simhash,1.0,11.0,5164.891304347826
vpd_simhash,1.0,12.0,4930.645161290323
vpd_simhash,1.0,13.0,5066.583333333333
vpd_simhash,1.0,14.0,5204.049079754601
vpd_simhash,1.0,15.0,5170.632911392405
vpd_simhash,1.0,16.0,5730.208333333333
vpd_simhash,1.0,17.0,5644.868421052632
vpd_simhash,1.0,18.0,6350.857142857143
vpd_simhash,1.0,19.0,6618.2962962962965
vpd_simhash,1.0,20.0,6619.064748201439
vpd_simhash,1.0,21.0,6615.241379310345
vpd_simhash,1.0,22.0,6736.133333333333
vpd_simhash,1.0,23.0,7060.579710144928
vpd_simhash,1.0,24.0,6892.923076923077
vpd_simhash,1.0,25.0,7064.964539007092
vpd_simhash,1.0,26.0,7417.101449275362
vpd_simhash,1.0,27.0,7071.986301369863
vpd_simhash,1.0,28.0,6796.319444444444
vpd_simhash,1.0,29.0,6995.034965034965
vpd_simhash,1.0,30.0,6999.92700729927
vpd_simhash,1.0,31.0,6988.992805755395
vpd_simhash,1.0,32.0,7190.878378378378
vpd_simhash,1.0,33.0,6971.032258064516
vpd_simhash,1.0,34.0,6608.041958041958
vpd_simhash,1.0,35.0,7213.259259259259
vpd_simhash,1.0,36.0,7003.082191780822
vpd_simhash,1.0,37.0,6684.683544303797
vpd_simhash,1.0,38.0,6802.847682119205
vpd_simhash,1.0,39.0,6534.153846153846
vpd_simhash,1.0,40.0,6905.620437956204
vpd_simhash,1.0,41.0,6630.320512820513
vpd_simhash,1.0,42.0,6282.784090909091
vpd_simhash,1.0,43.0,6050.060240963855
vpd_simhash,1.0,44.0,6358.658536585366
vpd_simhash,1.0,45.0,6349.518072289156
vpd_simhash,1.0,46.0,6097.687074829932
vpd_simhash,1.0,47.0,6136.264367816092
