method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,-23.367272727272727
vpd_simhash,0.0,1.0,-30.594202898550726
vpd_simhash,0.0,2.0,-20.0
vpd_simhash,0.0,3.0,-4.0
vpd_simhash,0.0,4.0,0.0
vpd_simhash,0.0,5.0,-15.151515151515152
vpd_simhash,0.0,6.0,0.0
vpd_simhash,0.0,7.0,0.0
vpd_simhash,0.0,8.0,0.0
vpd_simhash,0.0,9.0,0.0
vpd_simhash,0.0,10.0,0.0
vpd_simhash,0.0,11.0,0.0
vpd_simhash,0.0,12.0,-10.0
vpd_simhash,0.0,13.0,-6.625
vpd_simhash,0.0,14.0,0.0
vpd_simhash,0.0,15.0,-7.5
vpd_simhash,0.0,16.0,0.0
vpd_simhash,0.0,17.0,-3.023809523809524
vpd_simhash,0.0,18.0,-14.692307692307692
vpd_simhash,0.0,19.0,-6.114285714285714
vpd_simhash,0.0,20.0,-0.6709677419354839
vpd_simhash,0.0,21.0,-3.703703703703704
vpd_simhash,0.0,22.0,0.0
vpd_simhash,0.0,23.0,-4.074074074074074
vpd_simhash,0.0,24.0,0.0
vpd_simhash,0.0,25.0,-1.8333333333333333
vpd_simhash,0.0,26.0,-3.173076923076923
vpd_simhash,0.0,27.0,-38.27272727272727
vpd_simhash,0.0,28.0,-27.58620689655172
vpd_simhash,0.0,29.0,-11.266666666666667
vpd_simhash,0.0,30.0,-13.0
vpd_simhash,0.0,31.0,0.0
vpd_simhash,0.0,32.0,-2.4390243902439024
vpd_simhash,0.0,33.0,-3.1746031746031744
vpd_simhash,0.0,34.0,0.0
vpd_simhash,0.0,35.0,-5.473684210526316
vpd_simhash,0.0,36.0,-9.375
vpd_simhash,0.0,37.0,-6.779661016949152
vpd_simhash,0.0,38.0,-6.065217391304348
vpd_simhash,0.0,39.0,-13.636363636363637
vpd_simhash,0.0,40.0,-3.225806451612903
vpd_simhash,0.0,41.0,0.0
vpd_simhash,0.0,42.0,-0.1458333333333333
vpd_simhash,0.0,43.0,-4.888888888888889
vpd_simhash,0.0,44.0,-1.4
vpd_simhash,0.0,45.0,-0.6896551724137931
vpd_simhash,0.0,46.0,0.0
vpd_simhash,0.0,47.0,0.0
vpd_simhash,0.0,48.0,-3.4482758620689653
vpd_simhash,0.0,49.0,-5.555555555555555
vpd_simhash,0.0,50.0,0.0
vpd_simhash,0.0,51.0,0.0
vpd_simhash,0.0,52.0,0.0
vpd_simhash,0.0,53.0,0.0
vpd_simhash,0.0,54.0,0.0
vpd_simhash,0.0,55.0,0.0
vpd_simhash,0.0,56.0,-0.5882352941176471
vpd_simhash,0.0,57.0,-0.2586206896551724
vpd_simhash,0.0,58.0,0.0
vpd_simhash,0.0,59.0,0.0
vpd_simhash,0.0,60.0,0.0
vpd_simhash,0.0,61.0,0.0
vpd_simhash,0.0,62.0,0.0
vpd_simhash,0.0,63.0,0.0
vpd_simhash,0.0,64.0,0.0
vpd_simhash,0.0,65.0,0.0
vpd_simhash,0.0,66.0,0.0
vpd_simhash,0.0,67.0,0.0
vpd_simhash,0.0,68.0,0.0
vpd_simhash,0.0,69.0,0.0
vpd_simhash,0.0,70.0,0.0
vpd_simhash,0.0,71.0,0.0
vpd_simhash,0.0,72.0,0.0
vpd_simhash,0.0,73.0,0.0
vpd_simhash,0.0,74.0,0.0
vpd_simhash,0.0,75.0,0.0
vpd_simhash,0.0,76.0,0.0
vpd_simhash,0.0,77.0,0.0
vpd_simhash,0.0,78.0,0.0
vpd_simhash,0.0,79.0,0.0
vpd_simhash,0.0,80.0,0.0
vpd_simhash,0.0,81.0,0.0
vpd_simhash,0.0,82.0,0.0
vpd_simhash,0.0,83.0,0.0
vpd_simhash,0.0,84.0,0.0
vpd_simhash,0.0,85.0,0.0
vpd_simhash,0.0,86.0,0.0
vpd_simhash,0.0,87.0,0.0
vpd_simhash,0.0,88.0,0.0
vpd_simhash,0.0,89.0,0.0
vpd_simhash,0.0,90.0,0.0
vpd_simhash,0.0,91.0,0.0
vpd_simhash,0.0,92.0,0.0
vpd_simhash,0.0,93.0,0.0
vpd_simhash,0.0,94.0,0.0
vpd_simhash,0.0,95.0,0.0
vpd_simhash,0.0,96.0,0.0
vpd_simhash,0.0,97.0,0.0
vpd_simhash,0.0,98.0,0.0
vpd_simhash,0.0,99.0,0.0
vpd_simhash,1.0,0.0,-26.965034965034967
vpd_simhash,1.0,1.0,-24.625
vpd_simhash,1.0,2.0,-6.043715846994536
vpd_simhash,1.0,3.0,-0.0231958762886597
vpd_simhash,1.0,4.0,0.0
vpd_simhash,1.0,5.0,0.0
vpd_simhash,1.0,6.0,-2.5974025974025974
vpd_simhash,1.0,7.0,-1.3430232558139534
vpd_simhash,1.0,8.0,-0.7557603686635944
vpd_simhash,1.0,9.0,-0.1595744680851064
vpd_simhash,1.0,10.0,-3.389830508474576
vpd_simhash,1.0,11.0,-7.416666666666667
vpd_simhash,1.0,12.0,-3.246153846153846
vpd_simhash,1.0,13.0,-1.851851851851852
vpd_simhash,1.0,14.0,-0.6938775510204082
vpd_simhash,1.0,15.0,-3.260869565217391
vpd_simhash,1.0,16.0,-8.892307692307693
vpd_simhash,1.0,17.0,-1.900383141762452
vpd_simhash,1.0,18.0,-4.308510638297872
vpd_simhash,1.0,19.0,-0.3164556962025316
vpd_simhash,1.0,20.0,-0.2871287128712871
vpd_simhash,1.0,21.0,-2.0
vpd_simhash,1.0,22.0,-5.128205128205129
vpd_simhash,1.0,23.0,-2.0
vpd_simhash,1.0,24.0,-9.935483870967742
vpd_simhash,1.0,25.0,-0.2197802197802197
vpd_simhash,1.0,26.0,-0.4319526627218935
vpd_simhash,1.0,27.0,-1.9823529411764709
vpd_simhash,1.0,28.0,-1.0303030303030305
vpd_simhash,1.0,29.0,-0.7183098591549296
vpd_simhash,1.0,30.0,-1.425
vpd_simhash,1.0,31.0,-1.355140186915888
vpd_simhash,1.0,32.0,-0.4503816793893129
vpd_simhash,1.0,33.0,-0.0606060606060606
vpd_simhash,1.0,34.0,-0.2196969696969697
vpd_simhash,1.0,35.0,-1.36986301369863
vpd_simhash,1.0,36.0,0.0
vpd_simhash,1.0,37.0,-6.115384615384615
vpd_simhash,1.0,38.0,-12.755102040816327
vpd_simhash,1.0,39.0,-4.847058823529411
vpd_simhash,1.0,40.0,-2.743589743589744
vpd_simhash,1.0,41.0,-10.34375
vpd_simhash,1.0,42.0,-4.566037735849057
vpd_simhash,1.0,43.0,-1.62
vpd_simhash,1.0,44.0,-3.333333333333333
vpd_simhash,1.0,45.0,-1.7755102040816326
vpd_simhash,1.0,46.0,-6.523809523809524
vpd_simhash,1.0,47.0,-1.0456852791878173
vpd_simhash,1.0,48.0,-1.712
vpd_simhash,1.0,49.0,-0.9803921568627452
vpd_simhash,1.0,50.0,-4.543689320388349
vpd_simhash,1.0,51.0,-3.849056603773585
vpd_simhash,1.0,52.0,-0.6086956521739131
vpd_simhash,1.0,53.0,-1.276190476190476
vpd_simhash,1.0,54.0,-6.127659574468085
vpd_simhash,1.0,55.0,-0.5068493150684932
vpd_simhash,1.0,56.0,-4.886363636363637
vpd_simhash,1.0,57.0,0.0
vpd_simhash,1.0,58.0,-3.546875
vpd_simhash,1.0,59.0,-8.703703703703704
vpd_simhash,1.0,60.0,-1.834862385321101
vpd_simhash,1.0,61.0,-1.423728813559322
vpd_simhash,1.0,62.0,-1.6666666666666667
vpd_simhash,1.0,63.0,-4.959183673469388
vpd_simhash,1.0,64.0,0.0
vpd_simhash,1.0,65.0,-4.68
vpd_simhash,1.0,66.0,-16.264705882352942
vpd_simhash,1.0,67.0,-13.835051546391751
vpd_simhash,1.0,68.0,-24.424242424242426
vpd_simhash,1.0,69.0,-0.6896551724137931
vpd_simhash,1.0,70.0,-1.2549019607843137
vpd_simhash,1.0,71.0,-1.4705882352941178
vpd_simhash,1.0,72.0,-24.375
vpd_simhash,1.0,73.0,0.0
vpd_simhash,1.0,74.0,-17.185185185185187
vpd_simhash,1.0,75.0,-0.8064516129032258
