method,run,iteration,train_episode_returns
e-greedy,0.0,0.0,-20.458483754512635
e-greedy,0.0,1.0,-19.85087719298245
e-greedy,0.0,2.0,-15.870967741935484
e-greedy,0.0,3.0,-12.613636363636363
e-greedy,0.0,4.0,-7.661764705882353
e-greedy,0.0,5.0,-4.021739130434782
e-greedy,0.0,6.0,1.9534883720930232
e-greedy,0.0,7.0,8.185185185185185
e-greedy,0.0,8.0,9.709677419354838
e-greedy,0.0,9.0,12.578125
e-greedy,0.0,10.0,13.422535211267606
e-greedy,0.0,11.0,14.253521126760564
e-greedy,0.0,12.0,14.178082191780822
e-greedy,0.0,13.0,15.584415584415584
e-greedy,0.0,14.0,16.13095238095238
e-greedy,0.0,15.0,16.072289156626507
e-greedy,0.0,16.0,16.55294117647059
e-greedy,0.0,17.0,16.441860465116278
e-greedy,0.0,18.0,16.238095238095237
e-greedy,0.0,19.0,16.770114942528735
e-greedy,0.0,20.0,16.7
e-greedy,0.0,21.0,17.07777777777778
e-greedy,0.0,22.0,16.725274725274726
e-greedy,0.0,23.0,17.086021505376344
e-greedy,0.0,24.0,17.152173913043477
e-greedy,0.0,25.0,17.50537634408602
e-greedy,0.0,26.0,17.652631578947368
e-greedy,0.0,27.0,17.21505376344086
e-greedy,0.0,28.0,17.585106382978722
e-greedy,0.0,29.0,17.873684210526317
e-greedy,0.0,30.0,18.0
e-greedy,0.0,31.0,17.736842105263158
e-greedy,0.0,32.0,18.22448979591837
e-greedy,0.0,33.0,17.99009900990099
e-greedy,0.0,34.0,18.04
e-greedy,0.0,35.0,18.37623762376237
e-greedy,0.0,36.0,18.574257425742573
e-greedy,0.0,37.0,18.425742574257427
e-greedy,0.0,38.0,18.485148514851485
e-greedy,0.0,39.0,18.51960784313725
e-greedy,0.0,40.0,18.32673267326733
e-greedy,0.0,41.0,18.30392156862745
e-greedy,0.0,42.0,18.71698113207547
e-greedy,0.0,43.0,18.37864077669903
e-greedy,0.0,44.0,18.70192307692308
e-greedy,0.0,45.0,18.695238095238096
e-greedy,0.0,46.0,18.64423076923077
e-greedy,0.0,47.0,18.75
e-greedy,0.0,48.0,18.63809523809524
e-greedy,0.0,49.0,18.77358490566038
e-greedy,0.0,50.0,18.590476190476192
e-greedy,0.0,51.0,18.58252427184466
e-greedy,0.0,52.0,18.990384615384617
e-greedy,0.0,53.0,18.98095238095238
e-greedy,0.0,54.0,19.07547169811321
e-greedy,0.0,55.0,18.764150943396228
e-greedy,0.0,56.0,18.858490566037737
e-greedy,0.0,57.0,18.77570093457944
e-greedy,0.0,58.0,18.99065420560748
e-greedy,0.0,59.0,18.97222222222222
e-greedy,0.0,60.0,18.695238095238096
e-greedy,0.0,61.0,19.04716981132076
e-greedy,0.0,62.0,19.02830188679245
e-greedy,0.0,63.0,18.962616822429908
e-greedy,0.0,64.0,18.761904761904763
e-greedy,0.0,65.0,19.074766355140188
e-greedy,0.0,66.0,19.10280373831776
e-greedy,0.0,67.0,18.66355140186916
e-greedy,0.0,68.0,18.97222222222222
e-greedy,0.0,69.0,19.01851851851852
e-greedy,0.0,70.0,18.83962264150944
e-greedy,0.0,71.0,19.04672897196261
e-greedy,0.0,72.0,18.9622641509434
e-greedy,0.0,73.0,19.0
e-greedy,0.0,74.0,18.97196261682243
e-greedy,0.0,75.0,19.10185185185185
e-greedy,0.0,76.0,18.704761904761902
e-greedy,0.0,77.0,18.89622641509434
e-greedy,0.0,78.0,19.09345794392523
e-greedy,0.0,79.0,19.027272727272727
e-greedy,0.0,80.0,19.01801801801802
e-greedy,0.0,81.0,18.85185185185185
e-greedy,0.0,82.0,18.963636363636365
e-greedy,0.0,83.0,19.25663716814159
e-greedy,0.0,84.0,19.160714285714285
e-greedy,0.0,85.0,18.90909090909091
e-greedy,0.0,86.0,19.371681415929203
e-greedy,0.0,87.0,18.928571428571427
e-greedy,0.0,88.0,19.07079646017699
e-greedy,0.0,89.0,19.1875
e-greedy,0.0,90.0,19.07017543859649
e-greedy,0.0,91.0,19.22608695652174
e-greedy,0.0,92.0,18.963963963963963
e-greedy,0.0,93.0,19.121739130434783
e-greedy,0.0,94.0,19.23684210526316
e-greedy,0.0,95.0,19.24561403508772
e-greedy,0.0,96.0,19.43103448275862
e-greedy,0.0,97.0,19.384615384615383
e-greedy,0.0,98.0,19.310344827586206
e-greedy,0.0,99.0,19.15929203539823
ez-greedy,0.0,0.0,-20.632302405498283
ez-greedy,0.0,1.0,-19.4
ez-greedy,0.0,2.0,-13.707692307692309
ez-greedy,0.0,3.0,-4.2625
ez-greedy,0.0,4.0,1.4745762711864407
ez-greedy,0.0,5.0,3.345454545454545
ez-greedy,0.0,6.0,7.967213114754099
ez-greedy,0.0,7.0,7.5344827586206895
ez-greedy,0.0,8.0,10.11864406779661
ez-greedy,0.0,9.0,10.53448275862069
ez-greedy,0.0,10.0,12.278688524590164
ez-greedy,0.0,11.0,11.372881355932204
ez-greedy,0.0,12.0,12.8
ez-greedy,0.0,13.0,12.469696969696969
ez-greedy,0.0,14.0,13.28358208955224
ez-greedy,0.0,15.0,14.294117647058824
ez-greedy,0.0,16.0,13.28358208955224
ez-greedy,0.0,17.0,13.830769230769231
ez-greedy,0.0,18.0,14.684931506849315
ez-greedy,0.0,19.0,15.013698630136986
ez-greedy,0.0,20.0,15.013157894736842
ez-greedy,0.0,21.0,15.526315789473683
ez-greedy,0.0,22.0,14.947368421052632
ez-greedy,0.0,23.0,15.24
ez-greedy,0.0,24.0,15.13157894736842
ez-greedy,0.0,25.0,16.134146341463413
ez-greedy,0.0,26.0,15.94047619047619
ez-greedy,0.0,27.0,16.270588235294117
ez-greedy,0.0,28.0,15.542168674698797
ez-greedy,0.0,29.0,16.058823529411764
ez-greedy,0.0,30.0,16.16470588235294
ez-greedy,0.0,31.0,16.60919540229885
ez-greedy,0.0,32.0,16.839080459770116
ez-greedy,0.0,33.0,16.49411764705882
ez-greedy,0.0,34.0,16.523255813953487
ez-greedy,0.0,35.0,16.091954022988507
ez-greedy,0.0,36.0,16.75862068965517
ez-greedy,0.0,37.0,16.25609756097561
ez-greedy,0.0,38.0,16.852272727272727
ez-greedy,0.0,39.0,16.84269662921348
ez-greedy,0.0,40.0,16.931818181818183
ez-greedy,0.0,41.0,16.865168539325843
ez-greedy,0.0,42.0,16.50561797752809
ez-greedy,0.0,43.0,16.695652173913043
ez-greedy,0.0,44.0,17.211111111111112
ez-greedy,0.0,45.0,17.21978021978022
ez-greedy,0.0,46.0,16.714285714285715
ez-greedy,0.0,47.0,16.835164835164836
ez-greedy,0.0,48.0,16.858695652173914
ez-greedy,0.0,49.0,17.347368421052632
ez-greedy,0.0,50.0,16.885416666666668
ez-greedy,0.0,51.0,17.11578947368421
ez-greedy,0.0,52.0,17.42105263157895
ez-greedy,0.0,53.0,17.255102040816325
ez-greedy,0.0,54.0,17.58
ez-greedy,0.0,55.0,17.21
ez-greedy,0.0,56.0,17.27
ez-greedy,0.0,57.0,17.297029702970296
ez-greedy,0.0,58.0,17.33009708737864
ez-greedy,0.0,59.0,17.666666666666668
ez-greedy,0.0,60.0,17.640776699029125
ez-greedy,0.0,61.0,17.723809523809525
ez-greedy,0.0,62.0,17.33009708737864
ez-greedy,0.0,63.0,17.567307692307693
ez-greedy,0.0,64.0,17.98181818181818
ez-greedy,0.0,65.0,18.36752136752137
ez-greedy,0.0,66.0,18.58870967741936
ez-greedy,0.0,67.0,19.3587786259542
ez-greedy,0.0,68.0,19.348484848484848
ez-greedy,0.0,69.0,19.206106870229007
ez-greedy,0.0,70.0,19.204545454545453
ez-greedy,0.0,71.0,19.31578947368421
ez-greedy,0.0,72.0,19.18320610687023
ez-greedy,0.0,73.0,19.30827067669173
ez-greedy,0.0,74.0,19.185185185185187
ez-greedy,0.0,75.0,19.451851851851853
ez-greedy,0.0,76.0,19.150375939849624
ez-greedy,0.0,77.0,19.598540145985403
ez-greedy,0.0,78.0,19.29850746268657
ez-greedy,0.0,79.0,19.48905109489051
ez-greedy,0.0,80.0,19.335766423357665
ez-greedy,0.0,81.0,19.51824817518248
ez-greedy,0.0,82.0,19.397058823529413
ez-greedy,0.0,83.0,19.444444444444443
ez-greedy,0.0,84.0,19.67153284671533
ez-greedy,0.0,85.0,19.41176470588235
ez-greedy,0.0,86.0,19.45985401459854
ez-greedy,0.0,87.0,19.558823529411764
ez-greedy,0.0,88.0,19.45925925925926
ez-greedy,0.0,89.0,19.41176470588235
ez-greedy,0.0,90.0,19.38686131386861
ez-greedy,0.0,91.0,19.54014598540146
ez-greedy,0.0,92.0,19.554744525547445
ez-greedy,0.0,93.0,19.21804511278195
ez-greedy,0.0,94.0,19.56204379562044
ez-greedy,0.0,95.0,19.198529411764707
ez-greedy,0.0,96.0,19.46715328467153
ez-greedy,0.0,97.0,19.583941605839417
ez-greedy,0.0,98.0,19.551470588235293
ez-greedy,0.0,99.0,19.548148148148147
ez-greedy,1.0,0.0,-20.67708333333333
ez-greedy,1.0,1.0,-19.72608695652174
ez-greedy,1.0,2.0,-15.41880341880342
ez-greedy,1.0,3.0,-10.255813953488373
ez-greedy,1.0,4.0,-5.057971014492754
ez-greedy,1.0,5.0,-0.3962264150943396
ez-greedy,1.0,6.0,4.520833333333333
ez-greedy,1.0,7.0,8.672727272727272
ez-greedy,1.0,8.0,10.433333333333334
ez-greedy,1.0,9.0,11.485294117647058
ez-greedy,1.0,10.0,11.313432835820896
ez-greedy,1.0,11.0,12.720588235294118
ez-greedy,1.0,12.0,12.149253731343284
ez-greedy,1.0,13.0,13.319444444444445
ez-greedy,1.0,14.0,14.365853658536585
ez-greedy,1.0,15.0,15.979591836734691
ez-greedy,1.0,16.0,16.783783783783782
