method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,212.1540178571429
vpd_simhash,0.0,1.0,736.5228426395939
vpd_simhash,0.0,2.0,1150.1351351351352
vpd_simhash,0.0,3.0,1525.9310344827586
vpd_simhash,0.0,4.0,2318.3478260869565
vpd_simhash,0.0,5.0,2644.054054054054
vpd_simhash,0.0,6.0,3502.872340425532
vpd_simhash,0.0,7.0,3672.234042553192
vpd_simhash,0.0,8.0,3754.368421052632
vpd_simhash,0.0,9.0,3870.157894736842
vpd_simhash,0.0,10.0,3688.469387755102
vpd_simhash,0.0,11.0,3747.4
vpd_simhash,0.0,12.0,3753.484848484849
vpd_simhash,0.0,13.0,4234.269662921349
vpd_simhash,0.0,14.0,4186.5
vpd_simhash,0.0,15.0,4458.941176470588
vpd_simhash,0.0,16.0,4127.833333333333
vpd_simhash,0.0,17.0,4545.176470588235
vpd_simhash,0.0,18.0,4269.090909090909
vpd_simhash,0.0,19.0,4519.176470588235
vpd_simhash,0.0,20.0,4614.176470588235
vpd_simhash,0.0,21.0,5018.701298701299
vpd_simhash,0.0,22.0,4626.130952380952
vpd_simhash,0.0,23.0,5140.466666666666
vpd_simhash,0.0,24.0,4727.289156626506
vpd_simhash,0.0,25.0,4308.70786516854
vpd_simhash,0.0,26.0,4761.190476190476
vpd_simhash,0.0,27.0,4773.536585365854
vpd_simhash,0.0,28.0,4748.641975308642
vpd_simhash,0.0,29.0,4137.771739130435
vpd_simhash,0.0,30.0,4483.96551724138
vpd_simhash,0.0,31.0,4774.880952380952
vpd_simhash,0.0,32.0,4467.102272727273
vpd_simhash,0.0,33.0,4490.977011494253
vpd_simhash,0.0,34.0,4804.21686746988
vpd_simhash,0.0,35.0,4662.976190476191
vpd_simhash,0.0,36.0,4994.9375
vpd_simhash,0.0,37.0,4581.0
vpd_simhash,0.0,38.0,4835.060240963855
vpd_simhash,0.0,39.0,5062.625
vpd_simhash,0.0,40.0,4857.962962962963
vpd_simhash,0.0,41.0,4680.294117647059
vpd_simhash,0.0,42.0,4925.4375
vpd_simhash,0.0,43.0,4277.666666666667
vpd_simhash,0.0,44.0,4384.888888888889
vpd_simhash,0.0,45.0,4437.816091954023
vpd_simhash,0.0,46.0,5017.3125
vpd_simhash,0.0,47.0,4339.277777777777
vpd_simhash,0.0,48.0,4950.987654320988
vpd_simhash,0.0,49.0,4719.176470588235
vpd_simhash,0.0,50.0,5092.151898734177
vpd_simhash,0.0,51.0,4642.559523809524
vpd_simhash,0.0,52.0,4830.304878048781
vpd_simhash,0.0,53.0,4441.853932584269
vpd_simhash,0.0,54.0,4792.142857142857
vpd_simhash,0.0,55.0,4995.1875
vpd_simhash,0.0,56.0,4718.630952380952
vpd_simhash,0.0,57.0,4961.645569620253
vpd_simhash,0.0,58.0,4438.444444444444
vpd_simhash,0.0,59.0,4253.118279569892
vpd_simhash,0.0,60.0,4659.285714285715
vpd_simhash,0.0,61.0,4531.306818181818
vpd_simhash,0.0,62.0,4669.823529411765
vpd_simhash,0.0,63.0,4485.340909090909
vpd_simhash,0.0,64.0,4843.55421686747
vpd_simhash,0.0,65.0,4578.6781609195405
vpd_simhash,0.0,66.0,4671.724137931034
vpd_simhash,0.0,67.0,4896.280487804878
vpd_simhash,0.0,68.0,5347.179487179487
vpd_simhash,0.0,69.0,5006.481481481482
vpd_simhash,0.0,70.0,4641.091954022989
vpd_simhash,0.0,71.0,4559.887640449439
vpd_simhash,0.0,72.0,4611.896551724138
vpd_simhash,0.0,73.0,4621.436781609195
vpd_simhash,0.0,74.0,5100.6875
vpd_simhash,0.0,75.0,4645.574712643678
vpd_simhash,0.0,76.0,5226.688311688312
vpd_simhash,0.0,77.0,5459.013157894737
vpd_simhash,0.0,78.0,5155.705128205128
vpd_simhash,0.0,79.0,5044.634146341464
vpd_simhash,0.0,80.0,4874.156626506024
vpd_simhash,0.0,81.0,5477.027027027027
vpd_simhash,0.0,82.0,4702.470588235294
vpd_simhash,0.0,83.0,5289.87012987013
vpd_simhash,0.0,84.0,5384.0
vpd_simhash,0.0,85.0,4884.817073170731
vpd_simhash,0.0,86.0,5347.5
vpd_simhash,0.0,87.0,5194.506172839506
vpd_simhash,0.0,88.0,5040.0625
vpd_simhash,0.0,89.0,5182.721518987341
vpd_simhash,0.0,90.0,4948.392857142857
vpd_simhash,0.0,91.0,5168.9375
vpd_simhash,0.0,92.0,5316.7307692307695
vpd_simhash,0.0,93.0,5148.395061728395
vpd_simhash,0.0,94.0,5743.239436619719
vpd_simhash,0.0,95.0,5672.671232876713
vpd_simhash,0.0,96.0,5684.7945205479455
vpd_simhash,0.0,97.0,5604.324324324324
vpd_simhash,0.0,98.0,5204.74358974359
vpd_simhash,0.0,99.0,5514.2
vpd_simhash,1.0,0.0,214.24242424242425
vpd_simhash,1.0,1.0,1410.2884615384614
vpd_simhash,1.0,2.0,4841.202531645569
vpd_simhash,1.0,3.0,4623.795180722892
vpd_simhash,1.0,4.0,4057.755102040816
vpd_simhash,1.0,5.0,4581.162790697675
vpd_simhash,1.0,6.0,5017.098765432099
vpd_simhash,1.0,7.0,4512.808988764045
vpd_simhash,1.0,8.0,6097.64705882353
vpd_simhash,1.0,9.0,5790.070422535211
vpd_simhash,1.0,10.0,5734.256756756757
vpd_simhash,1.0,11.0,5560.0
vpd_simhash,1.0,12.0,5410.789473684211
vpd_simhash,1.0,13.0,5993.188405797101
vpd_simhash,1.0,14.0,5316.9078947368425
vpd_simhash,1.0,15.0,5104.9358974358975
vpd_simhash,1.0,16.0,5043.0625
vpd_simhash,1.0,17.0,5026.772151898735
vpd_simhash,1.0,18.0,4862.5625
vpd_simhash,1.0,19.0,4940.25
vpd_simhash,1.0,20.0,4578.529411764706
vpd_simhash,1.0,21.0,4249.780219780219
vpd_simhash,1.0,22.0,4745.963855421687
vpd_simhash,1.0,23.0,4810.555555555556
vpd_simhash,1.0,24.0,4616.190476190476
vpd_simhash,1.0,25.0,5023.3125
vpd_simhash,1.0,26.0,4746.44578313253
vpd_simhash,1.0,27.0,4681.011904761905
vpd_simhash,1.0,28.0,5048.571428571428
vpd_simhash,1.0,29.0,5163.881578947368
vpd_simhash,1.0,30.0,4962.012195121952
vpd_simhash,1.0,31.0,4342.247191011236
vpd_simhash,1.0,32.0,4894.259259259259
vpd_simhash,1.0,33.0,4818.231707317073
vpd_simhash,1.0,34.0,5018.417721518988
vpd_simhash,1.0,35.0,4849.506172839506
