method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,112.0752688172043
vpd_simhash,0.0,1.0,740.494623655914
vpd_simhash,0.0,2.0,141.93548387096774
vpd_simhash,0.0,3.0,100.0
vpd_simhash,0.0,4.0,100.0
vpd_simhash,0.0,5.0,100.0
vpd_simhash,0.0,6.0,100.0
vpd_simhash,0.0,7.0,84.06451612903226
vpd_simhash,0.0,8.0,95.6989247311828
vpd_simhash,0.0,9.0,100.0
vpd_simhash,0.0,10.0,100.0
vpd_simhash,0.0,11.0,100.0
vpd_simhash,0.0,12.0,98.06451612903226
vpd_simhash,0.0,13.0,100.0
vpd_simhash,0.0,14.0,93.5483870967742
vpd_simhash,0.0,15.0,95.55913978494624
vpd_simhash,0.0,16.0,100.0
vpd_simhash,0.0,17.0,99.95698924731182
vpd_simhash,0.0,18.0,100.0
vpd_simhash,0.0,19.0,100.0
vpd_simhash,0.0,20.0,100.0
vpd_simhash,0.0,21.0,100.0
vpd_simhash,0.0,22.0,100.0
vpd_simhash,0.0,23.0,100.0
vpd_simhash,0.0,24.0,100.0
vpd_simhash,0.0,25.0,100.0
vpd_simhash,0.0,26.0,100.0
vpd_simhash,0.0,27.0,100.0
vpd_simhash,0.0,28.0,100.0
vpd_simhash,0.0,29.0,100.0
vpd_simhash,0.0,30.0,100.0
vpd_simhash,0.0,31.0,100.0
vpd_simhash,0.0,32.0,100.0
vpd_simhash,0.0,33.0,100.0
vpd_simhash,0.0,34.0,73.53763440860214
vpd_simhash,0.0,35.0,100.0
vpd_simhash,0.0,36.0,96.36559139784946
vpd_simhash,0.0,37.0,95.6989247311828
vpd_simhash,0.0,38.0,92.47311827956987
vpd_simhash,0.0,39.0,93.5483870967742
vpd_simhash,0.0,40.0,100.0
vpd_simhash,0.0,41.0,100.0
vpd_simhash,0.0,42.0,96.7741935483871
vpd_simhash,0.0,43.0,100.0
vpd_simhash,0.0,44.0,100.0
vpd_simhash,0.0,45.0,100.0
vpd_simhash,0.0,46.0,100.0
vpd_simhash,0.0,47.0,100.0
vpd_simhash,0.0,48.0,100.0
vpd_simhash,0.0,49.0,100.0
vpd_simhash,0.0,50.0,100.0
vpd_simhash,0.0,51.0,100.0
vpd_simhash,0.0,52.0,100.0
vpd_simhash,0.0,53.0,100.0
vpd_simhash,0.0,54.0,100.0
vpd_simhash,0.0,55.0,100.0
vpd_simhash,0.0,56.0,100.0
vpd_simhash,0.0,57.0,100.0
vpd_simhash,0.0,58.0,100.0
vpd_simhash,0.0,59.0,100.0
vpd_simhash,0.0,60.0,100.0
vpd_simhash,0.0,61.0,100.0
vpd_simhash,0.0,62.0,100.0
vpd_simhash,0.0,63.0,100.0
vpd_simhash,0.0,64.0,100.0
vpd_simhash,0.0,65.0,100.0
vpd_simhash,0.0,66.0,100.0
vpd_simhash,0.0,67.0,100.0
vpd_simhash,0.0,68.0,100.0
vpd_simhash,0.0,69.0,100.0
vpd_simhash,0.0,70.0,100.0
vpd_simhash,0.0,71.0,100.0
vpd_simhash,0.0,72.0,100.0
vpd_simhash,0.0,73.0,100.0
vpd_simhash,0.0,74.0,100.0
vpd_simhash,0.0,75.0,100.0
vpd_simhash,0.0,76.0,100.0
vpd_simhash,0.0,77.0,100.0
vpd_simhash,0.0,78.0,100.0
vpd_simhash,0.0,79.0,100.0
vpd_simhash,0.0,80.0,100.0
vpd_simhash,0.0,81.0,100.0
vpd_simhash,0.0,82.0,100.0
vpd_simhash,0.0,83.0,100.0
vpd_simhash,0.0,84.0,100.0
vpd_simhash,0.0,85.0,100.0
vpd_simhash,0.0,86.0,100.0
vpd_simhash,0.0,87.0,100.0
vpd_simhash,0.0,88.0,100.0
vpd_simhash,0.0,89.0,100.0
vpd_simhash,0.0,90.0,100.0
vpd_simhash,0.0,91.0,100.0
vpd_simhash,0.0,92.0,100.0
vpd_simhash,0.0,93.0,100.0
vpd_simhash,0.0,94.0,100.0
vpd_simhash,0.0,95.0,100.0
vpd_simhash,0.0,96.0,100.0
vpd_simhash,0.0,97.0,100.0
vpd_simhash,0.0,98.0,100.0
vpd_simhash,0.0,99.0,100.0
vpd_simhash,1.0,0.0,346.7956989247312
vpd_simhash,1.0,1.0,136.53763440860214
vpd_simhash,1.0,2.0,1.989247311827957
vpd_simhash,1.0,3.0,100.0
vpd_simhash,1.0,4.0,100.0
vpd_simhash,1.0,5.0,95.6989247311828
vpd_simhash,1.0,6.0,100.0
vpd_simhash,1.0,7.0,100.0
vpd_simhash,1.0,8.0,101.0752688172043
vpd_simhash,1.0,9.0,82.27956989247312
vpd_simhash,1.0,10.0,100.0
vpd_simhash,1.0,11.0,80.60215053763442
vpd_simhash,1.0,12.0,94.3010752688172
vpd_simhash,1.0,13.0,94.7741935483871
vpd_simhash,1.0,14.0,100.0
vpd_simhash,1.0,15.0,100.0
vpd_simhash,1.0,16.0,100.0
vpd_simhash,1.0,17.0,100.0
vpd_simhash,1.0,18.0,60.24731182795699
vpd_simhash,1.0,19.0,100.0
vpd_simhash,1.0,20.0,100.0
vpd_simhash,1.0,21.0,100.0
vpd_simhash,1.0,22.0,100.0
vpd_simhash,1.0,23.0,100.0
vpd_simhash,1.0,24.0,100.0
vpd_simhash,1.0,25.0,100.0
vpd_simhash,1.0,26.0,100.0
vpd_simhash,1.0,27.0,100.0
vpd_simhash,1.0,28.0,100.0
vpd_simhash,1.0,29.0,100.0
vpd_simhash,1.0,30.0,100.0
vpd_simhash,1.0,31.0,99.16129032258064
vpd_simhash,1.0,32.0,98.9247311827957
vpd_simhash,1.0,33.0,100.0
vpd_simhash,1.0,34.0,100.0
vpd_simhash,1.0,35.0,100.0
vpd_simhash,1.0,36.0,100.0
vpd_simhash,1.0,37.0,100.0
vpd_simhash,1.0,38.0,100.0
vpd_simhash,1.0,39.0,100.0
vpd_simhash,1.0,40.0,100.0
vpd_simhash,1.0,41.0,100.0
vpd_simhash,1.0,42.0,100.0
vpd_simhash,1.0,43.0,100.0
vpd_simhash,1.0,44.0,100.0
vpd_simhash,1.0,45.0,100.0
vpd_simhash,1.0,46.0,100.0
vpd_simhash,1.0,47.0,100.0
vpd_simhash,1.0,48.0,100.0
vpd_simhash,1.0,49.0,100.0
vpd_simhash,1.0,50.0,100.0
vpd_simhash,1.0,51.0,100.0
vpd_simhash,1.0,52.0,100.0
