method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,183.3170254403131
vpd_simhash,0.0,1.0,359.1353996737357
vpd_simhash,0.0,2.0,546.2962962962963
vpd_simhash,0.0,3.0,1223.0417754569191
vpd_simhash,0.0,4.0,3200.294117647059
vpd_simhash,0.0,5.0,3760.751748251748
vpd_simhash,0.0,6.0,4107.48031496063
vpd_simhash,0.0,7.0,8055.128205128205
vpd_simhash,0.0,8.0,12397.57142857143
vpd_simhash,0.0,9.0,13411.42857142857
vpd_simhash,0.0,10.0,13036.581920903956
vpd_simhash,0.0,11.0,14220.331325301206
vpd_simhash,0.0,12.0,14350.0
vpd_simhash,0.0,13.0,14351.424050632912
vpd_simhash,0.0,14.0,14557.371794871797
vpd_simhash,0.0,15.0,14819.407894736842
vpd_simhash,0.0,16.0,15932.705479452055
vpd_simhash,0.0,17.0,16881.474820143885
vpd_simhash,0.0,18.0,16509.895833333332
vpd_simhash,0.0,19.0,16336.690647482015
vpd_simhash,0.0,20.0,17454.545454545456
vpd_simhash,0.0,21.0,16255.575539568345
vpd_simhash,0.0,22.0,16053.1914893617
vpd_simhash,0.0,23.0,16431.617647058825
vpd_simhash,0.0,24.0,17952.75590551181
vpd_simhash,0.0,25.0,17754.296875
vpd_simhash,0.0,26.0,18001.574803149608
vpd_simhash,0.0,27.0,18334.55284552845
vpd_simhash,0.0,28.0,18160.62992125984
vpd_simhash,0.0,29.0,19032.352941176472
vpd_simhash,0.0,30.0,20293.96551724138
vpd_simhash,0.0,31.0,19486.764705882357
vpd_simhash,0.0,32.0,19928.813559322032
vpd_simhash,0.0,33.0,20262.391304347828
vpd_simhash,0.0,34.0,19136.15702479339
vpd_simhash,0.0,35.0,20308.40707964602
vpd_simhash,0.0,36.0,21242.28971962617
vpd_simhash,0.0,37.0,20739.90825688073
vpd_simhash,0.0,38.0,20721.527777777777
vpd_simhash,0.0,39.0,21388.09523809524
vpd_simhash,0.0,40.0,22046.844660194176
vpd_simhash,0.0,41.0,20866.74311926605
vpd_simhash,0.0,42.0,21062.14953271028
vpd_simhash,0.0,43.0,21683.09523809524
vpd_simhash,0.0,44.0,20664.31818181818
vpd_simhash,0.0,45.0,21641.98113207547
vpd_simhash,0.0,46.0,21960.81730769231
vpd_simhash,0.0,47.0,20253.125
vpd_simhash,0.0,48.0,22249.7572815534
vpd_simhash,0.0,49.0,22271.844660194176
vpd_simhash,0.0,50.0,20831.48148148148
vpd_simhash,0.0,51.0,22361.029411764703
vpd_simhash,0.0,52.0,23033.76288659794
vpd_simhash,0.0,53.0,20786.92660550459
vpd_simhash,0.0,54.0,22025.735294117647
vpd_simhash,0.0,55.0,19833.92857142857
vpd_simhash,0.0,56.0,21561.778846153848
vpd_simhash,0.0,57.0,23303.865979381444
vpd_simhash,0.0,58.0,22216.336633663366
vpd_simhash,0.0,59.0,21820.14563106796
vpd_simhash,0.0,60.0,22170.873786407767
vpd_simhash,0.0,61.0,21924.02912621359
vpd_simhash,0.0,62.0,21905.392156862745
vpd_simhash,0.0,63.0,22358.0
vpd_simhash,0.0,64.0,22109.95145631068
vpd_simhash,0.0,65.0,22005.147058823528
vpd_simhash,0.0,66.0,22761.616161616163
