method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,776.195652173913
vpd_simhash,0.0,1.0,2241.6363636363635
vpd_simhash,0.0,2.0,2596.881720430108
vpd_simhash,0.0,3.0,3294.791086350975
vpd_simhash,0.0,4.0,3312.118226600985
vpd_simhash,0.0,5.0,3394.8091603053435
vpd_simhash,0.0,6.0,3383.067331670823
vpd_simhash,0.0,7.0,3467.632241813602
vpd_simhash,0.0,8.0,3778.994708994709
vpd_simhash,0.0,9.0,4364.344023323615
vpd_simhash,0.0,10.0,4838.895705521472
vpd_simhash,0.0,11.0,5159.837662337663
vpd_simhash,0.0,12.0,5611.276595744681
vpd_simhash,0.0,13.0,6177.566539923954
vpd_simhash,0.0,14.0,6884.669421487603
vpd_simhash,0.0,15.0,7288.828451882845
vpd_simhash,0.0,16.0,7994.33628318584
vpd_simhash,0.0,17.0,8089.086956521739
vpd_simhash,0.0,18.0,8316.157205240175
vpd_simhash,0.0,19.0,8749.305555555555
vpd_simhash,0.0,20.0,9228.382352941177
vpd_simhash,0.0,21.0,9602.746113989637
vpd_simhash,0.0,22.0,10003.369565217392
vpd_simhash,0.0,23.0,10069.946524064171
vpd_simhash,0.0,24.0,10543.53591160221
vpd_simhash,0.0,25.0,10659.722222222224
vpd_simhash,0.0,26.0,10950.171428571428
vpd_simhash,0.0,27.0,11134.011627906975
vpd_simhash,0.0,28.0,11237.03488372093
vpd_simhash,0.0,29.0,11285.739644970414
vpd_simhash,0.0,30.0,11612.73291925466
vpd_simhash,0.0,31.0,11993.0
vpd_simhash,0.0,32.0,12079.375
vpd_simhash,0.0,33.0,12681.8
vpd_simhash,0.0,34.0,12786.133333333331
vpd_simhash,0.0,35.0,13102.68456375839
vpd_simhash,0.0,36.0,13259.591836734691
vpd_simhash,0.0,37.0,13366.780821917808
vpd_simhash,0.0,38.0,13442.328767123288
vpd_simhash,0.0,39.0,13576.458333333334
vpd_simhash,0.0,40.0,13525.13698630137
vpd_simhash,0.0,41.0,13279.666666666666
vpd_simhash,0.0,42.0,13541.081081081082
vpd_simhash,0.0,43.0,14030.921985815605
vpd_simhash,0.0,44.0,14127.622377622378
vpd_simhash,0.0,45.0,14172.323943661971
vpd_simhash,0.0,46.0,14176.09929078014
vpd_simhash,0.0,47.0,14234.825174825177
vpd_simhash,0.0,48.0,14488.08510638298
vpd_simhash,0.0,49.0,14688.41726618705
vpd_simhash,0.0,50.0,14851.459854014598
vpd_simhash,0.0,51.0,14640.714285714286
vpd_simhash,0.0,52.0,14873.138686131388
vpd_simhash,0.0,53.0,14620.57142857143
vpd_simhash,0.0,54.0,14668.489208633093
vpd_simhash,0.0,55.0,14468.30985915493
vpd_simhash,0.0,56.0,14752.101449275362
vpd_simhash,0.0,57.0,14677.642857142857
vpd_simhash,0.0,58.0,14582.127659574468
vpd_simhash,0.0,59.0,14677.857142857143
vpd_simhash,0.0,60.0,14812.94964028777
vpd_simhash,0.0,61.0,14953.623188405798
vpd_simhash,0.0,62.0,15280.296296296296
vpd_simhash,0.0,63.0,15192.5
vpd_simhash,0.0,64.0,14844.388489208632
vpd_simhash,0.0,65.0,14833.453237410073
vpd_simhash,0.0,66.0,14619.5
vpd_simhash,0.0,67.0,15277.62962962963
