method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,725.760649087221
vpd_simhash,0.0,1.0,4663.870967741936
vpd_simhash,0.0,2.0,12364.119601328905
vpd_simhash,0.0,3.0,21204.72440944882
vpd_simhash,0.0,4.0,27529.01785714286
vpd_simhash,0.0,5.0,29826.146788990827
vpd_simhash,0.0,6.0,32811.206896551725
vpd_simhash,0.0,7.0,34073.991031390135
vpd_simhash,0.0,8.0,35086.95652173913
vpd_simhash,0.0,9.0,34918.85964912281
vpd_simhash,0.0,10.0,36393.273542600895
vpd_simhash,0.0,11.0,40480.75117370892
vpd_simhash,0.0,12.0,42335.5
vpd_simhash,0.0,13.0,43138.82978723404
vpd_simhash,0.0,14.0,46871.89189189189
vpd_simhash,0.0,15.0,46842.307692307695
vpd_simhash,0.0,16.0,48928.82352941176
vpd_simhash,0.0,17.0,49134.756097560974
vpd_simhash,0.0,18.0,50225.90361445784
vpd_simhash,0.0,19.0,49873.91304347826
vpd_simhash,0.0,20.0,49544.78527607362
vpd_simhash,0.0,21.0,50832.48407643312
vpd_simhash,0.0,22.0,51660.645161290326
vpd_simhash,0.0,23.0,53347.16981132075
vpd_simhash,0.0,24.0,50784.66257668712
vpd_simhash,0.0,25.0,52789.17197452229
vpd_simhash,0.0,26.0,51776.21951219512
vpd_simhash,0.0,27.0,54010.256410256414
vpd_simhash,0.0,28.0,55336.05442176871
vpd_simhash,0.0,29.0,54806.41025641026
vpd_simhash,0.0,30.0,54642.2077922078
vpd_simhash,0.0,31.0,55482.16560509554
vpd_simhash,0.0,32.0,54653.64238410596
vpd_simhash,0.0,33.0,55720.833333333336
vpd_simhash,0.0,34.0,55810.81081081081
vpd_simhash,0.0,35.0,55378.37837837838
vpd_simhash,0.0,36.0,55518.42105263158
vpd_simhash,0.0,37.0,55597.93103448276
vpd_simhash,0.0,38.0,56769.93006993007
vpd_simhash,0.0,39.0,56552.41379310345
vpd_simhash,0.0,40.0,56454.72972972973
vpd_simhash,0.0,41.0,57305.36912751678
vpd_simhash,0.0,42.0,56612.66666666666
vpd_simhash,0.0,43.0,57994.366197183095
vpd_simhash,0.0,44.0,55480.95238095238
vpd_simhash,0.0,45.0,56197.91666666666
vpd_simhash,0.0,46.0,56444.8275862069
vpd_simhash,0.0,47.0,57661.07382550336
vpd_simhash,0.0,48.0,58580.68965517241
vpd_simhash,0.0,49.0,57050.33112582781
vpd_simhash,0.0,50.0,58017.56756756757
vpd_simhash,0.0,51.0,57729.05405405405
vpd_simhash,0.0,52.0,58222.06896551724
vpd_simhash,0.0,53.0,58360.41666666666
vpd_simhash,0.0,54.0,57634.22818791946
vpd_simhash,0.0,55.0,57792.41379310345
vpd_simhash,0.0,56.0,58067.808219178085
vpd_simhash,0.0,57.0,56762.32876712329
vpd_simhash,0.0,58.0,57945.890410958906
vpd_simhash,0.0,59.0,59335.21126760564
vpd_simhash,0.0,60.0,57993.79310344828
vpd_simhash,0.0,61.0,58610.56338028169
vpd_simhash,0.0,62.0,59027.77777777778
vpd_simhash,0.0,63.0,59350.704225352114
vpd_simhash,0.0,64.0,60265.71428571428
vpd_simhash,0.0,65.0,58542.857142857145
vpd_simhash,0.0,66.0,59484.73282442748
vpd_simhash,0.0,67.0,59572.142857142855
vpd_simhash,0.0,68.0,60285.611510791365
vpd_simhash,0.0,69.0,62188.63636363636
vpd_simhash,0.0,70.0,59748.61111111111
vpd_simhash,0.0,71.0,58834.50704225352
vpd_simhash,0.0,72.0,59634.75177304965
vpd_simhash,0.0,73.0,59869.71830985916
vpd_simhash,0.0,74.0,58976.2962962963
vpd_simhash,0.0,75.0,61311.02941176471
vpd_simhash,0.0,76.0,61137.58865248227
vpd_simhash,0.0,77.0,60448.55072463768
vpd_simhash,0.0,78.0,60085.0
vpd_simhash,0.0,79.0,61094.96402877698
vpd_simhash,0.0,80.0,59713.6690647482
vpd_simhash,0.0,81.0,59836.69064748201
vpd_simhash,0.0,82.0,61635.50724637681
vpd_simhash,0.0,83.0,59629.19708029197
vpd_simhash,0.0,84.0,60233.57664233576
vpd_simhash,0.0,85.0,61037.22627737226
vpd_simhash,0.0,86.0,60223.52941176471
vpd_simhash,0.0,87.0,59055.55555555556
vpd_simhash,0.0,88.0,59613.28671328671
vpd_simhash,0.0,89.0,61741.79104477612
vpd_simhash,0.0,90.0,61325.73529411765
vpd_simhash,0.0,91.0,59251.79856115108
vpd_simhash,0.0,92.0,61510.86956521739
vpd_simhash,0.0,93.0,59769.01408450704
vpd_simhash,0.0,94.0,61151.79856115108
vpd_simhash,0.0,95.0,59402.857142857145
vpd_simhash,0.0,96.0,61279.710144927536
vpd_simhash,0.0,97.0,60344.055944055945
vpd_simhash,0.0,98.0,57663.945578231294
vpd_simhash,0.0,99.0,58118.88111888112
vpd_simhash,1.0,0.0,1075.6923076923076
vpd_simhash,1.0,1.0,2625.663716814159
vpd_simhash,1.0,2.0,10007.443365695794
vpd_simhash,1.0,3.0,20442.08494208494
vpd_simhash,1.0,4.0,29070.08547008547
vpd_simhash,1.0,5.0,32287.06467661692
vpd_simhash,1.0,6.0,34569.30693069307
vpd_simhash,1.0,7.0,36008.82352941176
vpd_simhash,1.0,8.0,36111.59420289855
vpd_simhash,1.0,9.0,36528.761061946905
vpd_simhash,1.0,10.0,37541.25560538117
vpd_simhash,1.0,11.0,37947.706422018346
vpd_simhash,1.0,12.0,37419.634703196345
vpd_simhash,1.0,13.0,39162.376237623765
vpd_simhash,1.0,14.0,40821.02564102564
vpd_simhash,1.0,15.0,41916.02209944752
vpd_simhash,1.0,16.0,42570.454545454544
vpd_simhash,1.0,17.0,42995.50561797753
vpd_simhash,1.0,18.0,43179.661016949154
