method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,164.61988304093566
vpd_simhash,0.0,1.0,412.21153846153845
vpd_simhash,0.0,2.0,511.4124293785311
vpd_simhash,0.0,3.0,692.6086956521739
vpd_simhash,0.0,4.0,666.7549668874173
vpd_simhash,0.0,5.0,802.9940119760479
vpd_simhash,0.0,6.0,1231.4925373134329
vpd_simhash,0.0,7.0,1510.3389830508474
vpd_simhash,0.0,8.0,1583.859649122807
vpd_simhash,0.0,9.0,1598.4347826086955
vpd_simhash,0.0,10.0,1639.4736842105262
vpd_simhash,0.0,11.0,1644.0
vpd_simhash,0.0,12.0,1697.5
vpd_simhash,0.0,13.0,1695.3982300884957
vpd_simhash,0.0,14.0,1724.107142857143
vpd_simhash,0.0,15.0,1717.345132743363
vpd_simhash,0.0,16.0,1706.842105263158
vpd_simhash,0.0,17.0,1721.0619469026549
vpd_simhash,0.0,18.0,1736.071428571429
vpd_simhash,0.0,19.0,1756.071428571429
vpd_simhash,0.0,20.0,1748.75
vpd_simhash,0.0,21.0,1752.857142857143
vpd_simhash,0.0,22.0,1745.892857142857
vpd_simhash,0.0,23.0,1766.9642857142858
vpd_simhash,0.0,24.0,1775.4954954954956
vpd_simhash,0.0,25.0,1769.821428571429
vpd_simhash,0.0,26.0,1774.107142857143
vpd_simhash,0.0,27.0,1742.4778761061948
vpd_simhash,0.0,28.0,1767.857142857143
vpd_simhash,0.0,29.0,1749.0265486725664
vpd_simhash,0.0,30.0,1760.8849557522124
vpd_simhash,0.0,31.0,1795.1351351351352
vpd_simhash,0.0,32.0,1785.2252252252251
vpd_simhash,0.0,33.0,1781.428571428571
vpd_simhash,0.0,34.0,1789.107142857143
vpd_simhash,0.0,35.0,1775.0
vpd_simhash,0.0,36.0,1784.4642857142858
vpd_simhash,0.0,37.0,1793.0357142857142
vpd_simhash,0.0,38.0,1785.178571428571
vpd_simhash,0.0,39.0,1780.0
vpd_simhash,0.0,40.0,1767.857142857143
vpd_simhash,0.0,41.0,1802.3423423423424
vpd_simhash,0.0,42.0,1803.063063063063
vpd_simhash,0.0,43.0,1787.321428571429
vpd_simhash,0.0,44.0,1773.2142857142858
vpd_simhash,0.0,45.0,1804.3243243243244
vpd_simhash,0.0,46.0,1760.8849557522124
vpd_simhash,0.0,47.0,1782.678571428571
vpd_simhash,0.0,48.0,1798.738738738739
vpd_simhash,0.0,49.0,1794.5945945945946
vpd_simhash,0.0,50.0,1762.654867256637
vpd_simhash,0.0,51.0,1793.3333333333333
vpd_simhash,0.0,52.0,1798.3783783783783
vpd_simhash,0.0,53.0,1787.321428571429
vpd_simhash,0.0,54.0,1794.107142857143
vpd_simhash,0.0,55.0,1789.4642857142858
vpd_simhash,0.0,56.0,1801.261261261261
vpd_simhash,0.0,57.0,1801.981981981982
vpd_simhash,0.0,58.0,1800.7207207207207
vpd_simhash,0.0,59.0,1784.107142857143
vpd_simhash,0.0,60.0,1778.2142857142858
vpd_simhash,0.0,61.0,1785.0
vpd_simhash,0.0,62.0,1778.2142857142858
vpd_simhash,0.0,63.0,1789.4642857142858
vpd_simhash,0.0,64.0,1779.107142857143
vpd_simhash,0.0,65.0,1795.178571428571
vpd_simhash,0.0,66.0,1803.783783783784
vpd_simhash,0.0,67.0,1794.2857142857142
vpd_simhash,0.0,68.0,1780.357142857143
vpd_simhash,0.0,69.0,1793.3333333333333
vpd_simhash,0.0,70.0,1779.821428571429
vpd_simhash,0.0,71.0,1786.428571428571
vpd_simhash,0.0,72.0,1784.107142857143
vpd_simhash,0.0,73.0,1784.4642857142858
vpd_simhash,0.0,74.0,1798.1981981981985
vpd_simhash,0.0,75.0,1788.392857142857
vpd_simhash,0.0,76.0,1789.107142857143
vpd_simhash,0.0,77.0,1788.928571428571
vpd_simhash,0.0,78.0,1806.126126126126
vpd_simhash,0.0,79.0,1776.6371681415928
vpd_simhash,0.0,80.0,1779.642857142857
vpd_simhash,0.0,81.0,1785.7142857142858
vpd_simhash,0.0,82.0,1794.642857142857
vpd_simhash,0.0,83.0,1799.821428571429
vpd_simhash,0.0,84.0,1774.1592920353985
vpd_simhash,0.0,85.0,1788.928571428571
vpd_simhash,0.0,86.0,1795.357142857143
vpd_simhash,0.0,87.0,1780.178571428571
vpd_simhash,0.0,88.0,1792.321428571429
vpd_simhash,0.0,89.0,1789.107142857143
