method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,752.8571428571429
vpd_simhash,0.0,1.0,919.3939393939394
vpd_simhash,0.0,2.0,491.875
vpd_simhash,0.0,3.0,785.7142857142857
vpd_simhash,0.0,4.0,664.6153846153846
vpd_simhash,0.0,5.0,938.125
vpd_simhash,0.0,6.0,871.1111111111111
vpd_simhash,0.0,7.0,1007.2222222222222
vpd_simhash,0.0,8.0,1031.25
vpd_simhash,0.0,9.0,1227.5
vpd_simhash,0.0,10.0,942.5
vpd_simhash,0.0,11.0,1576.774193548387
vpd_simhash,0.0,12.0,1424.0
vpd_simhash,0.0,13.0,1327.878787878788
vpd_simhash,0.0,14.0,1087.0588235294117
vpd_simhash,0.0,15.0,1053.75
vpd_simhash,0.0,16.0,1332.258064516129
vpd_simhash,0.0,17.0,1370.0
vpd_simhash,0.0,18.0,1160.645161290323
vpd_simhash,0.0,19.0,702.5
vpd_simhash,0.0,20.0,1478.6666666666667
vpd_simhash,0.0,21.0,1293.7931034482758
vpd_simhash,0.0,22.0,1306.25
vpd_simhash,0.0,23.0,1899.3333333333333
vpd_simhash,0.0,24.0,1812.0
vpd_simhash,0.0,25.0,1623.8709677419354
vpd_simhash,0.0,26.0,1588.571428571429
vpd_simhash,0.0,27.0,1959.3333333333333
vpd_simhash,0.0,28.0,1444.8484848484848
vpd_simhash,0.0,29.0,1551.3333333333333
vpd_simhash,0.0,30.0,1511.875
vpd_simhash,0.0,31.0,1618.0645161290322
vpd_simhash,0.0,32.0,1800.6896551724135
vpd_simhash,0.0,33.0,1570.3225806451612
vpd_simhash,0.0,34.0,1503.8709677419354
vpd_simhash,0.0,35.0,1675.7142857142858
vpd_simhash,0.0,36.0,1986.4285714285716
vpd_simhash,0.0,37.0,1984.2857142857144
vpd_simhash,0.0,38.0,1936.6666666666667
vpd_simhash,0.0,39.0,2222.6666666666665
vpd_simhash,0.0,40.0,2045.3333333333333
vpd_simhash,0.0,41.0,2036.551724137931
vpd_simhash,0.0,42.0,1985.625
vpd_simhash,0.0,43.0,2599.259259259259
vpd_simhash,0.0,44.0,2066.896551724138
vpd_simhash,0.0,45.0,2162.8571428571427
vpd_simhash,0.0,46.0,2917.9310344827586
vpd_simhash,0.0,47.0,2061.4814814814813
vpd_simhash,0.0,48.0,1910.7142857142856
vpd_simhash,0.0,49.0,2074.6666666666665
vpd_simhash,0.0,50.0,1816.551724137931
vpd_simhash,0.0,51.0,1341.9354838709678
vpd_simhash,0.0,52.0,2185.714285714286
vpd_simhash,0.0,53.0,2740.0
vpd_simhash,0.0,54.0,1454.4827586206898
vpd_simhash,0.0,55.0,3002.8571428571427
vpd_simhash,0.0,56.0,2022.857142857143
vpd_simhash,0.0,57.0,2175.1724137931037
vpd_simhash,0.0,58.0,2517.9310344827586
vpd_simhash,0.0,59.0,2140.0
vpd_simhash,0.0,60.0,3237.777777777778
vpd_simhash,0.0,61.0,2247.8571428571427
vpd_simhash,0.0,62.0,2237.9310344827586
vpd_simhash,0.0,63.0,2432.6666666666665
vpd_simhash,0.0,64.0,2210.344827586207
vpd_simhash,0.0,65.0,2276.551724137931
vpd_simhash,0.0,66.0,1576.6666666666667
vpd_simhash,0.0,67.0,1726.6666666666667
vpd_simhash,0.0,68.0,2038.5185185185185
vpd_simhash,0.0,69.0,1686.896551724138
vpd_simhash,0.0,70.0,1951.6129032258063
vpd_simhash,0.0,71.0,1931.3333333333333
vpd_simhash,0.0,72.0,2234.4827586206898
