method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,592.3076923076923
vpd_simhash,0.0,1.0,740.1709401709402
vpd_simhash,0.0,2.0,1046.9026548672566
vpd_simhash,0.0,3.0,1345.5795677799606
vpd_simhash,0.0,4.0,1434.375
vpd_simhash,0.0,5.0,1488.3333333333333
vpd_simhash,0.0,6.0,1515.7894736842106
vpd_simhash,0.0,7.0,1565.814696485623
vpd_simhash,0.0,8.0,1661.9130434782608
vpd_simhash,0.0,9.0,1800.0
vpd_simhash,0.0,10.0,2025.5445544554452
vpd_simhash,0.0,11.0,2189.6907216494847
vpd_simhash,0.0,12.0,2302.4793388429757
vpd_simhash,0.0,13.0,2453.8126361655773
vpd_simhash,0.0,14.0,2583.1140350877195
vpd_simhash,0.0,15.0,2677.181208053691
vpd_simhash,0.0,16.0,2980.705882352941
vpd_simhash,0.0,17.0,3087.7750611246943
vpd_simhash,0.0,18.0,3386.445012787724
vpd_simhash,0.0,19.0,3694.369973190349
vpd_simhash,0.0,20.0,3939.566395663957
vpd_simhash,0.0,21.0,4283.667621776504
vpd_simhash,0.0,22.0,4383.094555873926
vpd_simhash,0.0,23.0,4759.459459459459
vpd_simhash,0.0,24.0,4906.325301204819
vpd_simhash,0.0,25.0,5457.692307692308
vpd_simhash,0.0,26.0,5890.697674418605
vpd_simhash,0.0,27.0,6397.260273972603
vpd_simhash,0.0,28.0,6557.638888888889
vpd_simhash,0.0,29.0,7064.310954063604
vpd_simhash,0.0,30.0,8375.2
vpd_simhash,0.0,31.0,10252.99539170507
vpd_simhash,0.0,32.0,11817.821782178218
vpd_simhash,0.0,33.0,11957.213930348258
vpd_simhash,0.0,34.0,15182.84023668639
vpd_simhash,0.0,35.0,19979.856115107912
vpd_simhash,0.0,36.0,24428.92561983471
vpd_simhash,0.0,37.0,29881.73076923077
vpd_simhash,0.0,38.0,29965.420560747665
vpd_simhash,0.0,39.0,33316.49484536082
vpd_simhash,0.0,40.0,34548.42105263158
vpd_simhash,0.0,41.0,38062.92134831461
vpd_simhash,0.0,42.0,40290.58823529412
vpd_simhash,0.0,43.0,44424.05063291139
vpd_simhash,0.0,44.0,44085.0
vpd_simhash,0.0,45.0,45148.14814814815
vpd_simhash,0.0,46.0,46345.454545454544
vpd_simhash,0.0,47.0,46074.6835443038
vpd_simhash,0.0,48.0,46013.75
vpd_simhash,0.0,49.0,46208.641975308645
vpd_simhash,0.0,50.0,48507.69230769231
vpd_simhash,0.0,51.0,47835.443037974685
vpd_simhash,0.0,52.0,47392.5
vpd_simhash,0.0,53.0,49403.896103896106
vpd_simhash,0.0,54.0,48817.72151898734
vpd_simhash,0.0,55.0,50722.36842105263
vpd_simhash,0.0,56.0,48845.56962025316
vpd_simhash,0.0,57.0,51355.26315789474
vpd_simhash,0.0,58.0,50022.78481012658
vpd_simhash,0.0,59.0,50740.25974025974
vpd_simhash,0.0,60.0,50693.506493506495
vpd_simhash,0.0,61.0,52220.0
vpd_simhash,0.0,62.0,51536.84210526316
vpd_simhash,0.0,63.0,50820.77922077922
vpd_simhash,0.0,64.0,52661.333333333336
vpd_simhash,0.0,65.0,50713.92405063291
vpd_simhash,0.0,66.0,51997.4025974026
vpd_simhash,0.0,67.0,54122.66666666666
vpd_simhash,0.0,68.0,52232.46753246753
vpd_simhash,0.0,69.0,52174.02597402597
vpd_simhash,0.0,70.0,51300.0
vpd_simhash,0.0,71.0,53577.63157894737
vpd_simhash,0.0,72.0,54055.40540540541
vpd_simhash,0.0,73.0,51394.8717948718
vpd_simhash,0.0,74.0,55224.65753424657
vpd_simhash,0.0,75.0,55152.7027027027
vpd_simhash,0.0,76.0,53347.36842105263
vpd_simhash,0.0,77.0,54522.66666666666
vpd_simhash,0.0,78.0,54789.333333333336
vpd_simhash,0.0,79.0,56356.16438356164
vpd_simhash,0.0,80.0,55428.37837837838
vpd_simhash,0.0,81.0,56772.602739726026
vpd_simhash,0.0,82.0,56616.438356164384
vpd_simhash,0.0,83.0,54450.0
vpd_simhash,0.0,84.0,56650.0
vpd_simhash,0.0,85.0,57672.602739726026
vpd_simhash,0.0,86.0,54501.2987012987
vpd_simhash,0.0,87.0,55778.66666666666
vpd_simhash,0.0,88.0,55800.0
vpd_simhash,0.0,89.0,56533.333333333336
vpd_simhash,0.0,90.0,55760.52631578947
vpd_simhash,0.0,91.0,56897.333333333336
vpd_simhash,0.0,92.0,58840.27777777778
vpd_simhash,0.0,93.0,58508.333333333336
vpd_simhash,0.0,94.0,58425.0
vpd_simhash,0.0,95.0,58488.88888888889
vpd_simhash,0.0,96.0,58168.05555555556
vpd_simhash,0.0,97.0,58331.50684931507
vpd_simhash,0.0,98.0,57438.66666666666
vpd_simhash,0.0,99.0,58104.05405405405
vpd_simhash,1.0,0.0,525.5813953488372
vpd_simhash,1.0,1.0,742.2391857506361
vpd_simhash,1.0,2.0,1071.25
vpd_simhash,1.0,3.0,1231.1871227364186
vpd_simhash,1.0,4.0,1389.051094890511
vpd_simhash,1.0,5.0,1531.578947368421
vpd_simhash,1.0,6.0,1566.034755134281
vpd_simhash,1.0,7.0,1659.531772575251
vpd_simhash,1.0,8.0,1802.162162162162
vpd_simhash,1.0,9.0,1988.212927756654
vpd_simhash,1.0,10.0,2305.7971014492755
vpd_simhash,1.0,11.0,2663.718820861678
vpd_simhash,1.0,12.0,3025.9523809523807
vpd_simhash,1.0,13.0,3519.74025974026
vpd_simhash,1.0,14.0,4465.507246376812
vpd_simhash,1.0,15.0,5614.617940199336
vpd_simhash,1.0,16.0,6852.707581227437
vpd_simhash,1.0,17.0,9186.075949367088
vpd_simhash,1.0,18.0,10715.962441314554
vpd_simhash,1.0,19.0,12263.5
vpd_simhash,1.0,20.0,13364.36170212766
vpd_simhash,1.0,21.0,14393.9226519337
vpd_simhash,1.0,22.0,15655.813953488372
vpd_simhash,1.0,23.0,16850.920245398775
vpd_simhash,1.0,24.0,18584.0
