method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,1686.5168539325844
vpd_simhash,0.0,1.0,1243.1472081218274
vpd_simhash,0.0,2.0,1501.8433179723502
vpd_simhash,0.0,3.0,1563.843648208469
vpd_simhash,0.0,4.0,1619.452887537994
vpd_simhash,0.0,5.0,2331.012658227848
vpd_simhash,0.0,6.0,2801.6611295681064
vpd_simhash,0.0,7.0,3155.944055944056
vpd_simhash,0.0,8.0,3384.6428571428573
vpd_simhash,0.0,9.0,3806.115107913669
vpd_simhash,0.0,10.0,4360.31746031746
vpd_simhash,0.0,11.0,4407.287449392713
vpd_simhash,0.0,12.0,4594.779116465864
vpd_simhash,0.0,13.0,5078.111587982833
vpd_simhash,0.0,14.0,5439.189189189189
vpd_simhash,0.0,15.0,5620.0
vpd_simhash,0.0,16.0,6108.962264150943
vpd_simhash,0.0,17.0,6156.190476190476
vpd_simhash,0.0,18.0,6760.696517412936
vpd_simhash,0.0,19.0,6865.365853658536
vpd_simhash,0.0,20.0,7174.747474747474
vpd_simhash,0.0,21.0,7200.50505050505
vpd_simhash,0.0,22.0,7538.829787234043
vpd_simhash,0.0,23.0,7681.0526315789475
vpd_simhash,0.0,24.0,7738.172043010752
vpd_simhash,0.0,25.0,7956.756756756757
vpd_simhash,0.0,26.0,8383.522727272728
vpd_simhash,0.0,27.0,8150.273224043716
vpd_simhash,0.0,28.0,8471.186440677966
vpd_simhash,0.0,29.0,8633.908045977012
vpd_simhash,0.0,30.0,8800.0
vpd_simhash,0.0,31.0,8498.863636363636
vpd_simhash,0.0,32.0,8846.857142857143
vpd_simhash,0.0,33.0,9215.853658536584
vpd_simhash,0.0,34.0,9050.299401197604
vpd_simhash,0.0,35.0,9153.293413173653
vpd_simhash,0.0,36.0,9095.29411764706
vpd_simhash,0.0,37.0,9754.375
vpd_simhash,0.0,38.0,9833.333333333334
vpd_simhash,0.0,39.0,9023.976608187137
vpd_simhash,0.0,40.0,9016.374269005848
vpd_simhash,0.0,41.0,9740.372670807454
vpd_simhash,0.0,42.0,9727.329192546584
vpd_simhash,0.0,43.0,10084.07643312102
vpd_simhash,0.0,44.0,9878.260869565218
vpd_simhash,0.0,45.0,9596.894409937888
vpd_simhash,0.0,46.0,9955.483870967742
vpd_simhash,0.0,47.0,10077.707006369426
vpd_simhash,0.0,48.0,10487.417218543049
vpd_simhash,0.0,49.0,10306.451612903224
vpd_simhash,0.0,50.0,10219.871794871797
vpd_simhash,0.0,51.0,10234.615384615385
vpd_simhash,0.0,52.0,10464.74358974359
vpd_simhash,0.0,53.0,10233.333333333334
vpd_simhash,0.0,54.0,10521.192052980132
vpd_simhash,0.0,55.0,10061.006289308176
vpd_simhash,0.0,56.0,10384.313725490196
vpd_simhash,0.0,57.0,10693.421052631578
vpd_simhash,0.0,58.0,10270.51282051282
vpd_simhash,0.0,59.0,10456.774193548386
vpd_simhash,0.0,60.0,10968.456375838929
vpd_simhash,0.0,61.0,10063.46153846154
vpd_simhash,0.0,62.0,10482.894736842103
vpd_simhash,0.0,63.0,10315.483870967742
vpd_simhash,0.0,64.0,10476.470588235294
vpd_simhash,0.0,65.0,10589.403973509934
vpd_simhash,0.0,66.0,10382.467532467532
vpd_simhash,0.0,67.0,10810.596026490066
vpd_simhash,0.0,68.0,10604.0
vpd_simhash,0.0,69.0,10459.354838709678
vpd_simhash,0.0,70.0,10660.0
vpd_simhash,0.0,71.0,10301.28205128205
vpd_simhash,0.0,72.0,10938.0
vpd_simhash,0.0,73.0,11097.297297297297
vpd_simhash,0.0,74.0,11119.86301369863
vpd_simhash,0.0,75.0,10654.605263157897
vpd_simhash,0.0,76.0,10807.333333333334
vpd_simhash,0.0,77.0,10342.207792207791
vpd_simhash,0.0,78.0,10695.333333333334
vpd_simhash,0.0,79.0,11136.241610738254
vpd_simhash,0.0,80.0,10510.828025477707
vpd_simhash,0.0,81.0,11183.221476510069
vpd_simhash,0.0,82.0,11175.0
vpd_simhash,0.0,83.0,11416.551724137931
vpd_simhash,0.0,84.0,12407.246376811594
vpd_simhash,0.0,85.0,11732.624113475178
vpd_simhash,0.0,86.0,11791.09589041096
vpd_simhash,0.0,87.0,12080.281690140846
vpd_simhash,0.0,88.0,11429.530201342282
vpd_simhash,0.0,89.0,11174.172185430463
vpd_simhash,0.0,90.0,11778.472222222224
vpd_simhash,0.0,91.0,12022.916666666666
vpd_simhash,0.0,92.0,12230.496453900709
vpd_simhash,0.0,93.0,12019.014084507042
vpd_simhash,0.0,94.0,11917.857142857143
vpd_simhash,0.0,95.0,11978.72340425532
vpd_simhash,0.0,96.0,12123.23943661972
vpd_simhash,0.0,97.0,11818.181818181818
vpd_simhash,0.0,98.0,11917.241379310344
vpd_simhash,0.0,99.0,11380.794701986755
vpd_simhash,1.0,0.0,1484.042553191489
vpd_simhash,1.0,1.0,1054.2553191489362
vpd_simhash,1.0,2.0,1341.923076923077
vpd_simhash,1.0,3.0,1338.6792452830189
vpd_simhash,1.0,4.0,1817.948717948718
vpd_simhash,1.0,5.0,2407.3825503355706
vpd_simhash,1.0,6.0,2926.8115942028985
vpd_simhash,1.0,7.0,3110.3571428571427
vpd_simhash,1.0,8.0,3315.1079136690646
vpd_simhash,1.0,9.0,3651.851851851852
vpd_simhash,1.0,10.0,3875.187969924812
vpd_simhash,1.0,11.0,4096.24060150376
vpd_simhash,1.0,12.0,4395.219123505976
vpd_simhash,1.0,13.0,4946.443514644351
vpd_simhash,1.0,14.0,5032.618025751073
vpd_simhash,1.0,15.0,5333.777777777777
vpd_simhash,1.0,16.0,5375.770925110132
vpd_simhash,1.0,17.0,5622.666666666667
vpd_simhash,1.0,18.0,5763.22869955157
vpd_simhash,1.0,19.0,7064.141414141414
vpd_simhash,1.0,20.0,7248.186528497409
vpd_simhash,1.0,21.0,7192.929292929293
vpd_simhash,1.0,22.0,7547.422680412371
vpd_simhash,1.0,23.0,7767.379679144385
