method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,3.5454545454545454
vpd_simhash,0.0,1.0,10.176470588235292
vpd_simhash,0.0,2.0,59.770114942528735
vpd_simhash,0.0,3.0,78.3896103896104
vpd_simhash,0.0,4.0,97.79166666666669
vpd_simhash,0.0,5.0,105.625
vpd_simhash,0.0,6.0,121.1875
vpd_simhash,0.0,7.0,125.34482758620688
vpd_simhash,0.0,8.0,141.8
vpd_simhash,0.0,9.0,139.2
vpd_simhash,0.0,10.0,139.1818181818182
vpd_simhash,0.0,11.0,135.22222222222223
vpd_simhash,0.0,12.0,148.4375
vpd_simhash,0.0,13.0,144.8
vpd_simhash,0.0,14.0,146.2
vpd_simhash,0.0,15.0,144.4
vpd_simhash,0.0,16.0,142.38888888888889
vpd_simhash,0.0,17.0,144.11111111111111
vpd_simhash,0.0,18.0,141.11764705882354
vpd_simhash,0.0,19.0,142.0
vpd_simhash,0.0,20.0,142.9090909090909
vpd_simhash,0.0,21.0,142.58823529411765
vpd_simhash,0.0,22.0,147.53846153846155
vpd_simhash,0.0,23.0,160.25
vpd_simhash,0.0,24.0,154.7
vpd_simhash,0.0,25.0,142.5
vpd_simhash,0.0,26.0,141.54545454545453
vpd_simhash,0.0,27.0,151.4
vpd_simhash,0.0,28.0,150.1
vpd_simhash,0.0,29.0,144.41666666666666
vpd_simhash,0.0,30.0,153.53846153846155
vpd_simhash,0.0,31.0,153.0
vpd_simhash,0.0,32.0,151.88888888888889
vpd_simhash,0.0,33.0,161.46153846153845
vpd_simhash,0.0,34.0,161.0
vpd_simhash,0.0,35.0,154.3
vpd_simhash,0.0,36.0,166.72727272727272
vpd_simhash,0.0,37.0,169.0
vpd_simhash,0.0,38.0,164.1818181818182
vpd_simhash,0.0,39.0,164.63636363636363
vpd_simhash,0.0,40.0,168.1875
vpd_simhash,0.0,41.0,169.75
vpd_simhash,0.0,42.0,170.0
vpd_simhash,0.0,43.0,170.4
vpd_simhash,0.0,44.0,170.8181818181818
vpd_simhash,0.0,45.0,163.0909090909091
vpd_simhash,0.0,46.0,164.16666666666666
vpd_simhash,0.0,47.0,173.8181818181818
vpd_simhash,0.0,48.0,170.66666666666666
vpd_simhash,0.0,49.0,172.0
vpd_simhash,0.0,50.0,177.30434782608697
vpd_simhash,0.0,51.0,180.0909090909091
vpd_simhash,0.0,52.0,179.1764705882353
vpd_simhash,0.0,53.0,164.83333333333334
vpd_simhash,0.0,54.0,179.6
vpd_simhash,0.0,55.0,165.78571428571428
vpd_simhash,0.0,56.0,175.41666666666666
vpd_simhash,0.0,57.0,185.07142857142856
