method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,623.8213399503722
vpd_simhash,0.0,1.0,1071.3307984790874
vpd_simhash,0.0,2.0,1532.863436123348
vpd_simhash,0.0,3.0,2126.5284974093265
vpd_simhash,0.0,4.0,2757.294117647059
vpd_simhash,0.0,5.0,3414.038461538461
vpd_simhash,0.0,6.0,3907.962962962963
vpd_simhash,0.0,7.0,5206.39705882353
vpd_simhash,0.0,8.0,6879.669421487603
vpd_simhash,0.0,9.0,10597.32558139535
vpd_simhash,0.0,10.0,12079.466666666667
vpd_simhash,0.0,11.0,13163.333333333334
vpd_simhash,0.0,12.0,16416.72131147541
vpd_simhash,0.0,13.0,19430.925925925927
vpd_simhash,0.0,14.0,18056.22950819672
vpd_simhash,0.0,15.0,18278.360655737702
vpd_simhash,0.0,16.0,16062.361111111111
vpd_simhash,0.0,17.0,23771.0
vpd_simhash,0.0,18.0,19605.8064516129
vpd_simhash,0.0,19.0,18931.846153846152
vpd_simhash,0.0,20.0,20726.10169491525
vpd_simhash,0.0,21.0,17384.722222222223
vpd_simhash,0.0,22.0,18504.39393939394
vpd_simhash,0.0,23.0,19300.5
vpd_simhash,0.0,24.0,20480.967741935485
vpd_simhash,0.0,25.0,21128.305084745763
vpd_simhash,0.0,26.0,19947.74193548387
vpd_simhash,0.0,27.0,18586.36363636364
vpd_simhash,0.0,28.0,18358.840579710144
vpd_simhash,0.0,29.0,21162.37288135593
vpd_simhash,0.0,30.0,20452.0
vpd_simhash,0.0,31.0,19548.92307692308
vpd_simhash,0.0,32.0,18047.74647887324
vpd_simhash,0.0,33.0,18694.05797101449
vpd_simhash,0.0,34.0,19131.42857142857
vpd_simhash,0.0,35.0,20091.42857142857
vpd_simhash,0.0,36.0,17012.083333333332
vpd_simhash,0.0,37.0,18159.58333333333
vpd_simhash,0.0,38.0,17770.0
vpd_simhash,0.0,39.0,17122.957746478874
vpd_simhash,0.0,40.0,16899.178082191782
vpd_simhash,0.0,41.0,16377.837837837838
vpd_simhash,0.0,42.0,16406.973684210527
vpd_simhash,0.0,43.0,16627.17948717949
vpd_simhash,0.0,44.0,16418.354430379746
vpd_simhash,0.0,45.0,17127.432432432433
vpd_simhash,0.0,46.0,16115.0
vpd_simhash,0.0,47.0,15695.060240963856
vpd_simhash,0.0,48.0,16639.21052631579
vpd_simhash,0.0,49.0,15263.132530120482
vpd_simhash,0.0,50.0,16384.133333333335
vpd_simhash,0.0,51.0,17208.83116883117
vpd_simhash,0.0,52.0,15295.172413793103
vpd_simhash,0.0,53.0,16157.215189873416
vpd_simhash,0.0,54.0,15350.35294117647
vpd_simhash,0.0,55.0,15949.0
vpd_simhash,0.0,56.0,15730.843373493975
vpd_simhash,0.0,57.0,16939.74025974026
vpd_simhash,0.0,58.0,16632.40506329114
vpd_simhash,0.0,59.0,15337.439024390244
vpd_simhash,0.0,60.0,18006.714285714286
vpd_simhash,0.0,61.0,18461.666666666668
vpd_simhash,0.0,62.0,15244.431818181818
vpd_simhash,0.0,63.0,16636.265060240963
vpd_simhash,0.0,64.0,15567.32558139535
vpd_simhash,0.0,65.0,17854.285714285714
vpd_simhash,0.0,66.0,16055.357142857143
vpd_simhash,0.0,67.0,16942.59259259259
vpd_simhash,0.0,68.0,16918.024691358023
vpd_simhash,0.0,69.0,16253.64705882353
vpd_simhash,0.0,70.0,15435.90909090909
vpd_simhash,0.0,71.0,17255.454545454544
vpd_simhash,0.0,72.0,15897.29411764706
vpd_simhash,0.0,73.0,16141.32530120482
vpd_simhash,0.0,74.0,16632.650602409638
vpd_simhash,0.0,75.0,15358.068181818182
vpd_simhash,0.0,76.0,16908.875
vpd_simhash,0.0,77.0,17347.59493670886
vpd_simhash,0.0,78.0,16746.02564102564
vpd_simhash,0.0,79.0,18269.594594594597
vpd_simhash,1.0,0.0,1003.4140435835352
vpd_simhash,1.0,1.0,2220.174672489083
vpd_simhash,1.0,2.0,4651.111111111111
vpd_simhash,1.0,3.0,6548.650793650793
vpd_simhash,1.0,4.0,7080.928571428572
vpd_simhash,1.0,5.0,8890.350877192983
vpd_simhash,1.0,6.0,8281.031746031746
vpd_simhash,1.0,7.0,8634.48
vpd_simhash,1.0,8.0,9606.639344262296
vpd_simhash,1.0,9.0,9977.964601769912
vpd_simhash,1.0,10.0,10360.265486725664
vpd_simhash,1.0,11.0,9624.64
vpd_simhash,1.0,12.0,10573.921568627453
vpd_simhash,1.0,13.0,11018.137254901962
vpd_simhash,1.0,14.0,10727.456140350878
vpd_simhash,1.0,15.0,11197.757009345794
vpd_simhash,1.0,16.0,11715.0
vpd_simhash,1.0,17.0,12888.846153846154
vpd_simhash,1.0,18.0,13659.30693069307
vpd_simhash,1.0,19.0,13755.809523809525
vpd_simhash,1.0,20.0,13231.603773584906
vpd_simhash,1.0,21.0,15177.01030927835
vpd_simhash,1.0,22.0,15520.222222222224
