method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,8344.968253968254
vpd_simhash,0.0,1.0,9176.795774647888
vpd_simhash,0.0,2.0,19900.56321839081
vpd_simhash,0.0,3.0,18119.23232323232
vpd_simhash,0.0,4.0,17168.625
vpd_simhash,0.0,5.0,23075.939024390245
vpd_simhash,0.0,6.0,23302.70786516854
vpd_simhash,0.0,7.0,23307.84705882353
vpd_simhash,0.0,8.0,34608.725
vpd_simhash,0.0,9.0,26272.516853932582
vpd_simhash,0.0,10.0,24357.44897959184
vpd_simhash,0.0,11.0,25956.58510638298
vpd_simhash,0.0,12.0,28669.13978494624
vpd_simhash,0.0,13.0,28371.58947368421
vpd_simhash,0.0,14.0,31901.224719101123
vpd_simhash,0.0,15.0,42143.58441558442
vpd_simhash,0.0,16.0,52827.535211267605
vpd_simhash,0.0,17.0,74969.80952380953
vpd_simhash,0.0,18.0,53770.28947368421
vpd_simhash,0.0,19.0,60308.3875
vpd_simhash,0.0,20.0,67475.80597014926
vpd_simhash,0.0,21.0,76376.57534246576
vpd_simhash,0.0,22.0,91114.64788732394
vpd_simhash,0.0,23.0,120500.9552238806
vpd_simhash,0.0,24.0,137868.01612903227
vpd_simhash,0.0,25.0,138015.7868852459
vpd_simhash,0.0,26.0,116875.20689655172
vpd_simhash,0.0,27.0,127193.82432432432
vpd_simhash,0.0,28.0,178686.07462686568
vpd_simhash,0.0,29.0,210535.43103448275
vpd_simhash,0.0,30.0,197284.87719298244
vpd_simhash,0.0,31.0,180911.98529411765
vpd_simhash,0.0,32.0,193750.83606557376
vpd_simhash,0.0,33.0,227208.32258064515
vpd_simhash,0.0,34.0,217489.77777777775
vpd_simhash,0.0,35.0,272082.537037037
vpd_simhash,0.0,36.0,283521.73076923075
vpd_simhash,0.0,37.0,338430.21276595746
vpd_simhash,0.0,38.0,309130.0731707317
vpd_simhash,0.0,39.0,300844.17391304346
vpd_simhash,0.0,40.0,358332.73529411765
vpd_simhash,0.0,41.0,385094.56
vpd_simhash,0.0,42.0,376257.4166666667
vpd_simhash,0.0,43.0,289906.6666666667
vpd_simhash,0.0,44.0,370064.5
vpd_simhash,0.0,45.0,469747.125
vpd_simhash,0.0,46.0,521665.63157894736
vpd_simhash,0.0,47.0,390103.8888888889
vpd_simhash,0.0,48.0,570738.8125
vpd_simhash,0.0,49.0,444168.7142857143
vpd_simhash,0.0,50.0,439780.6666666667
vpd_simhash,0.0,51.0,451824.8
vpd_simhash,0.0,52.0,468551.125
vpd_simhash,0.0,53.0,498537.5
