method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,187.3972602739726
vpd_simhash,0.0,1.0,370.3296703296703
vpd_simhash,0.0,2.0,672.6890756302521
vpd_simhash,0.0,3.0,843.265306122449
vpd_simhash,0.0,4.0,1375.7575757575758
vpd_simhash,0.0,5.0,2113.7566137566137
vpd_simhash,0.0,6.0,2324.170616113744
vpd_simhash,0.0,7.0,2949.4845360824743
vpd_simhash,0.0,8.0,3164.795918367347
vpd_simhash,0.0,9.0,4326.589595375723
vpd_simhash,0.0,10.0,4384.883720930233
vpd_simhash,0.0,11.0,4503.954802259887
vpd_simhash,0.0,12.0,4382.32044198895
vpd_simhash,0.0,13.0,4509.2307692307695
vpd_simhash,0.0,14.0,4425.742574257426
vpd_simhash,0.0,15.0,5272.131147540984
vpd_simhash,0.0,16.0,5777.401129943502
vpd_simhash,0.0,17.0,5040.837696335078
vpd_simhash,0.0,18.0,5467.582417582417
vpd_simhash,0.0,19.0,5640.112994350283
vpd_simhash,0.0,20.0,5864.9717514124295
vpd_simhash,0.0,21.0,6265.680473372781
vpd_simhash,0.0,22.0,6180.571428571428
vpd_simhash,0.0,23.0,5856.666666666667
vpd_simhash,0.0,24.0,6189.53488372093
vpd_simhash,0.0,25.0,6175.739644970414
vpd_simhash,0.0,26.0,7739.473684210527
vpd_simhash,0.0,27.0,6329.824561403509
vpd_simhash,0.0,28.0,7145.911949685535
vpd_simhash,0.0,29.0,6345.238095238095
vpd_simhash,0.0,30.0,5785.310734463277
vpd_simhash,0.0,31.0,7048.765432098766
vpd_simhash,0.0,32.0,7569.811320754717
vpd_simhash,0.0,33.0,7113.580246913581
vpd_simhash,0.0,34.0,7340.384615384615
vpd_simhash,0.0,35.0,7454.777070063694
vpd_simhash,0.0,36.0,6952.760736196319
vpd_simhash,0.0,37.0,7265.822784810127
vpd_simhash,0.0,38.0,7020.915032679739
vpd_simhash,0.0,39.0,7587.179487179487
vpd_simhash,0.0,40.0,7423.648648648648
vpd_simhash,0.0,41.0,6977.300613496933
vpd_simhash,0.0,42.0,6913.333333333333
vpd_simhash,0.0,43.0,7178.823529411765
vpd_simhash,0.0,44.0,7155.900621118012
vpd_simhash,0.0,45.0,6998.795180722892
vpd_simhash,0.0,46.0,7450.310559006211
vpd_simhash,0.0,47.0,7607.453416149068
vpd_simhash,0.0,48.0,8159.74025974026
vpd_simhash,0.0,49.0,8448.979591836734
vpd_simhash,0.0,50.0,8084.967320261438
vpd_simhash,0.0,51.0,7534.567901234568
vpd_simhash,0.0,52.0,8217.333333333334
vpd_simhash,0.0,53.0,8311.333333333334
vpd_simhash,0.0,54.0,8110.322580645161
vpd_simhash,0.0,55.0,6972.39263803681
vpd_simhash,0.0,56.0,7145.121951219512
vpd_simhash,0.0,57.0,8039.869281045751
vpd_simhash,0.0,58.0,8125.657894736842
vpd_simhash,0.0,59.0,7660.0
vpd_simhash,0.0,60.0,8368.918918918918
vpd_simhash,0.0,61.0,7725.16129032258
vpd_simhash,0.0,62.0,7964.814814814815
vpd_simhash,0.0,63.0,8657.692307692309
vpd_simhash,0.0,64.0,7575.316455696203
vpd_simhash,0.0,65.0,8169.426751592357
vpd_simhash,0.0,66.0,8953.424657534246
vpd_simhash,0.0,67.0,8367.549668874171
vpd_simhash,0.0,68.0,8086.928104575163
vpd_simhash,0.0,69.0,7293.90243902439
vpd_simhash,0.0,70.0,8133.333333333333
vpd_simhash,0.0,71.0,8329.054054054053
vpd_simhash,0.0,72.0,7084.567901234568
vpd_simhash,0.0,73.0,8440.410958904109
vpd_simhash,0.0,74.0,8440.666666666666
vpd_simhash,0.0,75.0,8066.883116883117
vpd_simhash,0.0,76.0,7195.454545454545
vpd_simhash,0.0,77.0,7064.375
vpd_simhash,0.0,78.0,6938.414634146341
vpd_simhash,0.0,79.0,7370.51282051282
vpd_simhash,0.0,80.0,7396.296296296296
vpd_simhash,0.0,81.0,8671.140939597315
vpd_simhash,0.0,82.0,8320.77922077922
vpd_simhash,0.0,83.0,7540.8536585365855
vpd_simhash,0.0,84.0,7981.818181818182
vpd_simhash,0.0,85.0,7827.631578947368
vpd_simhash,0.0,86.0,8000.0
vpd_simhash,0.0,87.0,7583.225806451613
vpd_simhash,0.0,88.0,7488.75
vpd_simhash,0.0,89.0,7656.129032258064
vpd_simhash,0.0,90.0,8351.700680272108
vpd_simhash,0.0,91.0,7627.272727272727
vpd_simhash,0.0,92.0,8260.526315789473
vpd_simhash,0.0,93.0,7101.910828025478
vpd_simhash,0.0,94.0,6928.048780487805
vpd_simhash,0.0,95.0,8054.193548387097
vpd_simhash,0.0,96.0,7346.913580246914
vpd_simhash,0.0,97.0,7288.607594936709
vpd_simhash,0.0,98.0,7946.7532467532465
vpd_simhash,0.0,99.0,8792.763157894737
vpd_simhash,1.0,0.0,280.37974683544303
vpd_simhash,1.0,1.0,574.1007194244604
vpd_simhash,1.0,2.0,844.2953020134228
vpd_simhash,1.0,3.0,1289.344262295082
vpd_simhash,1.0,4.0,1605.5555555555557
vpd_simhash,1.0,5.0,1928.03738317757
vpd_simhash,1.0,6.0,2775.418994413408
vpd_simhash,1.0,7.0,2738.251366120219
vpd_simhash,1.0,8.0,3102.6881720430106
vpd_simhash,1.0,9.0,3212.6315789473683
vpd_simhash,1.0,10.0,3832.786885245901
vpd_simhash,1.0,11.0,4555.0898203592815
vpd_simhash,1.0,12.0,4575.294117647059
vpd_simhash,1.0,13.0,4458.959537572255
vpd_simhash,1.0,14.0,5060.975609756098
vpd_simhash,1.0,15.0,5023.391812865497
vpd_simhash,1.0,16.0,5479.503105590062
vpd_simhash,1.0,17.0,5342.592592592592
vpd_simhash,1.0,18.0,5123.312883435583
vpd_simhash,1.0,19.0,5866.24203821656
vpd_simhash,1.0,20.0,5506.666666666667
vpd_simhash,1.0,21.0,5986.390532544378
vpd_simhash,1.0,22.0,5754.335260115607
vpd_simhash,1.0,23.0,5552.298850574713
vpd_simhash,1.0,24.0,5785.882352941177
vpd_simhash,1.0,25.0,6391.566265060241
vpd_simhash,1.0,26.0,6939.74358974359
vpd_simhash,1.0,27.0,6963.398692810458
vpd_simhash,1.0,28.0,6810.126582278481
vpd_simhash,1.0,29.0,6841.139240506329
vpd_simhash,1.0,30.0,6431.446540880504
vpd_simhash,1.0,31.0,7130.666666666667
vpd_simhash,1.0,32.0,7152.317880794702
vpd_simhash,1.0,33.0,6674.193548387097
vpd_simhash,1.0,34.0,6540.993788819876
vpd_simhash,1.0,35.0,6428.834355828221
vpd_simhash,1.0,36.0,6173.214285714285
vpd_simhash,1.0,37.0,6773.456790123457
vpd_simhash,1.0,38.0,6785.625
vpd_simhash,1.0,39.0,7202.597402597403
vpd_simhash,1.0,40.0,6711.875
