method,run,iteration,train_episode_returns
vpd_simhash,0.0,0.0,7140.005660377358
vpd_simhash,0.0,1.0,11688.485804416405
vpd_simhash,0.0,2.0,11603.073033707866
vpd_simhash,0.0,3.0,11917.184986595174
vpd_simhash,0.0,4.0,11621.600550964187
vpd_simhash,0.0,5.0,11787.488461538462
vpd_simhash,0.0,6.0,12059.296735905044
vpd_simhash,0.0,7.0,11434.92581602374
vpd_simhash,0.0,8.0,11785.227414330218
vpd_simhash,0.0,9.0,12184.87900355872
vpd_simhash,0.0,10.0,12526.983974358976
vpd_simhash,0.0,11.0,12033.903536977492
vpd_simhash,0.0,12.0,12689.379182156134
vpd_simhash,0.0,13.0,11961.004329004329
vpd_simhash,0.0,14.0,12059.995283018869
vpd_simhash,0.0,15.0,12924.656140350877
vpd_simhash,0.0,16.0,12473.073394495414
vpd_simhash,0.0,17.0,12872.207951070335
vpd_simhash,0.0,18.0,13019.003246753247
vpd_simhash,0.0,19.0,12162.625
vpd_simhash,0.0,20.0,12775.111111111111
vpd_simhash,0.0,21.0,12807.517027863778
vpd_simhash,0.0,22.0,14246.083333333334
vpd_simhash,0.0,23.0,16415.093023255813
vpd_simhash,0.0,24.0,16638.131782945737
vpd_simhash,0.0,25.0,17612.26640926641
vpd_simhash,0.0,26.0,19796.72962962963
vpd_simhash,0.0,27.0,20053.476363636364
vpd_simhash,0.0,28.0,20690.507518796992
vpd_simhash,0.0,29.0,20701.64905660377
vpd_simhash,0.0,30.0,20981.576612903227
vpd_simhash,0.0,31.0,22968.88813559322
vpd_simhash,0.0,32.0,21920.261744966443
vpd_simhash,0.0,33.0,22637.098976109213
vpd_simhash,0.0,34.0,24484.48314606741
vpd_simhash,0.0,35.0,24110.674242424244
vpd_simhash,0.0,36.0,23065.65073529412
vpd_simhash,0.0,37.0,24987.67175572519
vpd_simhash,0.0,38.0,24312.97153024911
vpd_simhash,0.0,39.0,26425.842696629214
vpd_simhash,0.0,40.0,27351.77559055118
vpd_simhash,0.0,41.0,26962.34782608696
vpd_simhash,0.0,42.0,27809.693965517243
vpd_simhash,0.0,43.0,26345.059523809523
vpd_simhash,0.0,44.0,29226.80172413793
vpd_simhash,0.0,45.0,30952.013824884794
vpd_simhash,0.0,46.0,32366.81481481481
vpd_simhash,0.0,47.0,33368.99528301887
vpd_simhash,0.0,48.0,37111.08187134503
vpd_simhash,0.0,49.0,36716.47590361446
vpd_simhash,0.0,50.0,38461.730769230766
vpd_simhash,0.0,51.0,38621.9
vpd_simhash,0.0,52.0,37298.809782608696
vpd_simhash,0.0,53.0,38990.15384615384
vpd_simhash,0.0,54.0,39243.4606741573
vpd_simhash,0.0,55.0,40547.897142857146
vpd_simhash,0.0,56.0,41997.44378698225
vpd_simhash,0.0,57.0,41262.64367816092
vpd_simhash,0.0,58.0,44893.94838709677
vpd_simhash,0.0,59.0,42378.887573964494
vpd_simhash,0.0,60.0,40241.72571428571
vpd_simhash,0.0,61.0,39008.414364640885
vpd_simhash,0.0,62.0,42937.55029585799
vpd_simhash,0.0,63.0,42956.9156626506
vpd_simhash,0.0,64.0,42747.38554216868
vpd_simhash,0.0,65.0,43925.2229299363
vpd_simhash,0.0,66.0,44039.63125
vpd_simhash,0.0,67.0,44668.6855345912
vpd_simhash,0.0,68.0,45263.675
vpd_simhash,0.0,69.0,46989.46103896104
vpd_simhash,0.0,70.0,45431.2125
vpd_simhash,0.0,71.0,43365.596385542165
vpd_simhash,0.0,72.0,44222.1320754717
vpd_simhash,0.0,73.0,44178.93939393939
vpd_simhash,0.0,74.0,42664.55555555556
vpd_simhash,0.0,75.0,44769.88957055215
vpd_simhash,0.0,76.0,42682.87647058824
vpd_simhash,0.0,77.0,47088.412903225806
vpd_simhash,0.0,78.0,46123.62264150944
vpd_simhash,0.0,79.0,46670.72435897436
vpd_simhash,0.0,80.0,44870.14906832298
vpd_simhash,0.0,81.0,46454.8141025641
vpd_simhash,0.0,82.0,46348.46103896104
vpd_simhash,0.0,83.0,48151.85810810811
vpd_simhash,0.0,84.0,47080.38562091503
vpd_simhash,0.0,85.0,47767.68831168831
vpd_simhash,0.0,86.0,47674.509803921566
vpd_simhash,0.0,87.0,48412.12418300653
vpd_simhash,0.0,88.0,43076.48823529412
vpd_simhash,0.0,89.0,44799.82208588957
vpd_simhash,0.0,90.0,48493.79470198676
vpd_simhash,0.0,91.0,48497.006493506495
vpd_simhash,0.0,92.0,44814.2
vpd_simhash,0.0,93.0,45648.2275862069
vpd_simhash,0.0,94.0,48063.67105263158
vpd_simhash,0.0,95.0,48213.09150326798
vpd_simhash,0.0,96.0,46756.11949685535
vpd_simhash,0.0,97.0,47400.08280254777
vpd_simhash,0.0,98.0,47129.875
vpd_simhash,0.0,99.0,46154.68965517241
vpd_simhash,1.0,0.0,6509.265500794912
vpd_simhash,1.0,1.0,10223.53507014028
vpd_simhash,1.0,2.0,10306.961165048544
vpd_simhash,1.0,3.0,11315.88056206089
vpd_simhash,1.0,4.0,10470.414438502674
vpd_simhash,1.0,5.0,10217.548571428571
vpd_simhash,1.0,6.0,10430.935275080908
vpd_simhash,1.0,7.0,10814.444444444443
vpd_simhash,1.0,8.0,10647.326086956522
vpd_simhash,1.0,9.0,11558.15835777126
vpd_simhash,1.0,10.0,11468.93567251462
vpd_simhash,1.0,11.0,11583.609826589596
vpd_simhash,1.0,12.0,11501.34366197183
vpd_simhash,1.0,13.0,12179.962962962964
vpd_simhash,1.0,14.0,11541.122977346278
vpd_simhash,1.0,15.0,13067.405172413792
vpd_simhash,1.0,16.0,12799.65644171779
vpd_simhash,1.0,17.0,15080.88698630137
vpd_simhash,1.0,18.0,17546.19252873563
vpd_simhash,1.0,19.0,19167.424242424244
vpd_simhash,1.0,20.0,22056.741525423728
vpd_simhash,1.0,21.0,24197.639097744363
vpd_simhash,1.0,22.0,26919.475609756097
vpd_simhash,1.0,23.0,31194.062780269054
vpd_simhash,1.0,24.0,31632.896860986548
vpd_simhash,1.0,25.0,31492.477876106197
vpd_simhash,1.0,26.0,34508.78431372549
vpd_simhash,1.0,27.0,35192.50485436893
vpd_simhash,1.0,28.0,36562.84771573604
vpd_simhash,1.0,29.0,36369.75634517767
vpd_simhash,1.0,30.0,37589.60732984293
vpd_simhash,1.0,31.0,37407.30569948186
vpd_simhash,1.0,32.0,36607.256410256414
vpd_simhash,1.0,33.0,39893.900552486186
vpd_simhash,1.0,34.0,39888.1546961326
vpd_simhash,1.0,35.0,38850.50537634409
vpd_simhash,1.0,36.0,39378.9402173913
vpd_simhash,1.0,37.0,42205.98265895954
vpd_simhash,1.0,38.0,41433.38636363636
vpd_simhash,1.0,39.0,42150.26589595376
vpd_simhash,1.0,40.0,41990.79069767442
vpd_simhash,1.0,41.0,45319.2
vpd_simhash,1.0,42.0,40592.91379310345
vpd_simhash,1.0,43.0,44675.04294478527
vpd_simhash,1.0,44.0,43741.89696969697
vpd_simhash,1.0,45.0,45577.625
vpd_simhash,1.0,46.0,47728.62
vpd_simhash,1.0,47.0,45592.52229299363
vpd_simhash,1.0,48.0,43600.4012345679
vpd_simhash,1.0,49.0,45037.739130434784
vpd_simhash,1.0,50.0,46229.26451612904
vpd_simhash,1.0,51.0,43477.1963190184
vpd_simhash,1.0,52.0,44780.05696202532
vpd_simhash,1.0,53.0,46008.2229299363
vpd_simhash,1.0,54.0,47497.86092715232
vpd_simhash,1.0,55.0,46450.23776223776
vpd_simhash,1.0,56.0,45317.34375
vpd_simhash,1.0,57.0,45156.42307692308
vpd_simhash,1.0,58.0,42791.70731707317
vpd_simhash,1.0,59.0,44961.36111111111
vpd_simhash,1.0,60.0,44722.373239436616
vpd_simhash,1.0,61.0,44568.53459119497
vpd_simhash,1.0,62.0,44431.99378881988
vpd_simhash,1.0,63.0,42941.85207100592
vpd_simhash,1.0,64.0,45887.11320754717
vpd_simhash,1.0,65.0,48200.8
vpd_simhash,1.0,66.0,46489.05844155844
vpd_simhash,1.0,67.0,48737.68666666667
vpd_simhash,1.0,68.0,47898.21052631579
vpd_simhash,1.0,69.0,49292.204081632655
vpd_simhash,1.0,70.0,48155.08823529412
vpd_simhash,1.0,71.0,48533.67647058824
vpd_simhash,1.0,72.0,49857.5
vpd_simhash,1.0,73.0,47407.64705882353
vpd_simhash,1.0,74.0,45855.61313868613
vpd_simhash,1.0,75.0,48146.49242424242
vpd_simhash,1.0,76.0,47170.112582781454
vpd_simhash,1.0,77.0,47011.01315789474
vpd_simhash,1.0,78.0,46789.0
vpd_simhash,1.0,79.0,47997.41095890411
vpd_simhash,1.0,80.0,48834.46212121212
vpd_simhash,1.0,81.0,49122.34351145038
vpd_simhash,1.0,82.0,47668.87407407408
vpd_simhash,1.0,83.0,47145.84516129032
vpd_simhash,1.0,84.0,48457.19852941176
vpd_simhash,1.0,85.0,50034.48854961832
vpd_simhash,1.0,86.0,50293.02097902098
vpd_simhash,1.0,87.0,46305.84516129032
vpd_simhash,1.0,88.0,49563.920529801326
vpd_simhash,1.0,89.0,47575.294117647056
vpd_simhash,1.0,90.0,47150.68115942029
vpd_simhash,1.0,91.0,47105.792207792205
vpd_simhash,1.0,92.0,50468.15172413793
vpd_simhash,1.0,93.0,48925.92537313433
vpd_simhash,1.0,94.0,51272.09859154929
vpd_simhash,1.0,95.0,46372.89032258064
vpd_simhash,1.0,96.0,50202.05442176871
vpd_simhash,1.0,97.0,47220.22516556292
vpd_simhash,1.0,98.0,47717.47741935484
vpd_simhash,1.0,99.0,49027.85496183206
vpd_simhash,2.0,0.0,5911.770318021201
vpd_simhash,2.0,1.0,12034.182897862232
vpd_simhash,2.0,2.0,9947.062874251496
vpd_simhash,2.0,3.0,10128.022435897436
vpd_simhash,2.0,4.0,9890.465454545454
vpd_simhash,2.0,5.0,10652.475694444443
vpd_simhash,2.0,6.0,12512.035294117648
vpd_simhash,2.0,7.0,12760.614147909968
vpd_simhash,2.0,8.0,12480.66089965398
vpd_simhash,2.0,9.0,12886.71986970684
vpd_simhash,2.0,10.0,11365.425981873112
vpd_simhash,2.0,11.0,12247.107407407408
vpd_simhash,2.0,12.0,11828.063122923588
vpd_simhash,2.0,13.0,10962.952380952382
vpd_simhash,2.0,14.0,12231.833333333334
vpd_simhash,2.0,15.0,11261.16911764706
vpd_simhash,2.0,16.0,12614.315151515151
vpd_simhash,2.0,17.0,13268.011904761905
vpd_simhash,2.0,18.0,16077.078291814949
vpd_simhash,2.0,19.0,18462.548507462685
vpd_simhash,2.0,20.0,21450.98905109489
vpd_simhash,2.0,21.0,26562.414342629483
vpd_simhash,2.0,22.0,31245.925
vpd_simhash,2.0,23.0,34900.80540540541
vpd_simhash,2.0,24.0,37021.49230769231
